échantillon,cellule,modèle,n,justesse,justesse_ic_bas,justesse_ic_haut,d_justesse_vs_marché,d_justesse_ic_bas,d_justesse_ic_haut,auc,auc_ic_bas,auc_ic_haut,brier,brier_ic_bas,brier_ic_haut,d_brier_vs_marché,d_brier_ic_bas,d_brier_ic_haut,logloss,p_moyen,p_sd
2e moitié (test final),BTC 5m,timesfm_cal,375,0.525333,0.476833,0.576408,0.024,-0.0463408,0.0931571,0.510019,0.478323,0.544129,0.249312,0.247197,0.25133,-0.000843035,-0.00367603,0.00198355,0.691768,0.490236,0.0185125
2e moitié (test final),BTC 5m,logit_ind,375,0.514667,0.466146,0.567129,0.0133333,-0.0386762,0.0673582,0.530014,0.468631,0.591249,0.250663,0.24665,0.254545,0.000508435,-0.00290697,0.00379051,0.694515,0.49625,0.0383975
2e moitié (test final),BTC 5m,hgb_ind,375,0.544,0.493222,0.594805,0.0426667,-0.010639,0.0952448,0.523301,0.464499,0.58299,0.251226,0.246724,0.25569,0.00107179,-0.00272963,0.0050874,0.695664,0.492477,0.0436667
2e moitié (test final),BTC 5m,logit_ind1s,375,0.552,0.501326,0.602667,0.0506667,-0.0135897,0.117647,0.57626,0.521113,0.641072,0.246813,0.240395,0.253217,-0.00334202,-0.0093935,0.00263624,0.687148,0.472899,0.0576752
2e moitié (test final),BTC 5m,hgb_ind1s,375,0.552,0.502856,0.604521,0.0506667,-0.0132384,0.113575,0.554141,0.501143,0.616639,0.248545,0.241993,0.255071,-0.00160973,-0.00765784,0.00428627,0.690489,0.480691,0.061212
2e moitié (test final),BTC 5m,logit_tw,375,0.533333,0.483321,0.586305,0.032,-0.0400054,0.105684,0.553985,0.494161,0.614465,0.249748,0.242037,0.256891,-0.000406629,-0.00767772,0.00652436,0.692993,0.482529,0.0686038
2e moitié (test final),BTC 5m,hgb_tw,375,0.546667,0.494622,0.595689,0.0453333,-0.0264639,0.117159,0.54874,0.496322,0.603137,0.249923,0.243194,0.256475,-0.000231731,-0.00653335,0.00610865,0.6934,0.483995,0.0622764
2e moitié (test final),BTC 15m,market,375,0.488,0.43799,0.537191,0,0,0,0.494178,0.440853,0.548298,0.250393,0.247778,0.253268,0,0,0,0.69393,0.498427,0.0266569
2e moitié (test final),BTC 15m,timesfm,375,0.501333,0.451524,0.552363,0.0133333,-0.0519756,0.0777515,0.493765,0.430838,0.547082,0.266463,0.254144,0.280071,0.0160699,0.00361884,0.0294687,0.730444,0.490403,0.125023
2e moitié (test final),BTC 15m,timesfm_cal,375,0.52,0.468493,0.570342,0.032,-0.033012,0.100272,0.495844,0.445329,0.54808,0.25095,0.246437,0.255579,0.000556589,-0.00445725,0.00554021,0.695098,0.485473,0.0433592
2e moitié (test final),BTC 15m,logit_ind,375,0.509333,0.460886,0.562166,0.0213333,-0.0314208,0.076247,0.507943,0.454655,0.56561,0.251142,0.247063,0.255112,0.000748972,-0.00281821,0.00419787,0.695436,0.502123,0.0391389
2e moitié (test final),BTC 15m,hgb_ind,375,0.456,0.405836,0.506668,-0.032,-0.0831223,0.0186679,0.473125,0.40469,0.528988,0.253352,0.24902,0.257811,0.00295878,-0.000342144,0.00639008,0.699874,0.495745,0.0430131
2e moitié (test final),BTC 15m,logit_ind1s,375,0.501333,0.452822,0.553254,0.0133333,-0.0420246,0.0723909,0.521722,0.461132,0.573331,0.251909,0.246956,0.257119,0.00151565,-0.00278834,0.00613724,0.697345,0.490028,0.046711
2e moitié (test final),BTC 15m,hgb_ind1s,375,0.498667,0.448085,0.547079,0.0106667,-0.0495868,0.0718276,0.481139,0.427457,0.542284,0.253234,0.248489,0.258291,0.00284088,-0.00167788,0.00731047,0.69966,0.48284,0.0465496
2e moitié (test final),BTC 15m,logit_tw,375,0.56,0.510251,0.607693,0.072,0.00261549,0.146895,0.533508,0.473994,0.584214,0.250197,0.246163,0.254246,-0.000196255,-0.00509492,0.00445087,0.693616,0.499574,0.0409488
2e moitié (test final),BTC 15m,hgb_tw,375,0.517333,0.467014,0.566506,0.0293333,-0.0452246,0.101012,0.512114,0.454061,0.565368,0.250008,0.246584,0.25331,-0.000385054,-0.0047354,0.00360436,0.693162,0.496552,0.0343626
