modèle,marge,n_positions,pnl_par_part,ic_bas,ic_haut,ic_jour_bas,ic_jour_haut,tick_marge,tick_n_positions,tick_pnl_par_part,tick_ic_bas,tick_ic_haut,surcoût_mesuré,surcoût_ic_bas,surcoût_ic_haut,surcoût_n,pnl_après_surcoût,pnl_après_surcoût_ic_bas,pnl_après_surcoût_ic_haut,q_simultané,ic_simultané_bas,ic_simultané_haut
logit_ind,0.0075,7823,0.0101376,-0.00467637,0.0252496,-0.00831628,0.0276406,0.0075,7524,0.00979833,-0.00541683,0.0247805,0.0125722,0.00403355,0.0208139,120,-0.00243454,-0.0195893,0.0147202,2.60592,-0.00980628,0.0300815
hgb_ind,0.0375,2327,0.0288122,0.00283601,0.0553328,9.45719e-05,0.0590689,0.0375,2103,0.0236356,-0.00278461,0.051372,0.0213833,0.00841264,0.0360088,29,0.00742888,-0.0222252,0.037083,2.60592,-0.00576652,0.0633908
logit_ind1s,0.04,4710,0.0230682,0.00395316,0.0417855,-0.000492417,0.046207,0.04,4638,0.0215424,0.00263358,0.0402283,0.0208185,0.00713606,0.0332919,73,0.00224965,-0.0207472,0.0252465,2.60592,-0.00220143,0.0483378
hgb_ind1s,0.0275,7575,0.022016,0.00658781,0.0369013,0.00165663,0.0419264,0.03,7057,0.0237245,0.00802735,0.039023,0.0226203,0.0139197,0.0304551,144,-0.000604232,-0.0178693,0.0166608,2.60592,0.00159393,0.0424381
logit_tw,0.005,13551,0.00937675,-0.00256688,0.0212642,0.000993157,0.0178537,0.005,13108,0.00936543,-0.00277151,0.0215266,0.0201546,0.0146935,0.0256213,256,-0.0107779,-0.0238864,0.00233068,2.60592,-0.00655684,0.0253103
hgb_tw,0.0225,8712,0.00967888,-0.00421705,0.0243813,0.000328509,0.0191307,0.0225,8607,0.00945356,-0.00449238,0.0240494,0.0286201,0.0202833,0.036681,148,-0.0189413,-0.0354242,-0.00245832,2.60592,-0.00910384,0.0284616
stack,0.0125,5919,0.0225007,0.00625949,0.0388041,0.00351868,0.0405468,0.0075,6582,0.0204811,0.0053728,0.0358702,0.0314295,0.0234095,0.0399963,108,-0.00892878,-0.0271926,0.00933507,2.60592,0.000754531,0.0442468
