horizon_j,etat,n,dd_median,p_dd70,p_dd50
60,A : vient de faire 3x,54,-0.5469683769697525,0.12962962962962962,0.5740740740740741
60,"toute pièce éligible, tout jour",22451,-0.4358974358974359,0.06364972607010824,0.3555298204979734
120,A : vient de faire 3x,53,-0.5920527503036612,0.24528301886792453,0.8113207547169812
120,"toute pièce éligible, tout jour",21324,-0.5813183966538051,0.2386981804539486,0.6922716188332395
180,A : vient de faire 3x,51,-0.7527329515877148,0.6274509803921569,1.0
180,"toute pièce éligible, tout jour",20030,-0.6767943094880148,0.45586620069895156,0.8725411882176735
