horizon_j,choix,n,mois,gain_moyen,ic_lo,ic_hi,gain_median,p_gagne
30,rotation vers B (bas de fourchette),45,17,0.7043402480559275,0.17662562395119216,1.7944611491497147,0.14898257104575152,0.6
30,rotation vers une pièce quelconque,45,17,0.8032684230123899,0.3211688808327034,1.792671000557039,0.31147079849887804,0.7333333333333333
60,rotation vers B (bas de fourchette),43,16,1.4608352032763334,-0.06404574873775286,5.234891585434123,-0.10404216535204502,0.4883720930232558
60,rotation vers une pièce quelconque,43,16,1.657832018449779,0.22703307646468945,5.006476649371331,0.2508668133536156,0.6976744186046512
