horizon_j,choix,n,semaines,gain_log_moyen,ic_lo,ic_hi,gain_median,p_gagne
30,rotation vers B (bas de fourchette),45,28,0.13203288141073588,-0.13034847941634356,0.4384275749085181,0.13887682994891798,0.6
30,rotation vers une pièce quelconque,45,28,0.22280497130178695,0.006081867673720138,0.49277024111641066,0.20212543083276807,0.7333333333333333
60,rotation vers B (bas de fourchette),43,26,-0.017775521022668595,-0.34981281652132945,0.39741118780408796,-0.10986192665923489,0.4883720930232558
60,rotation vers une pièce quelconque,43,26,0.1852899793309771,-0.119288560012145,0.5754139944646234,0.11239327809842137,0.627906976744186
