horizon_j,etat,n,semaines,ret_median,ret_moyen,p_double,p_triple,p_moins30,p_moins70,max_median,min_median,ret_median_lo,ret_median_hi,p_triple_lo,p_triple_hi,p_moins30_lo,p_moins30_hi
30,A : vient de faire 3x,56,33,-0.2692347377353305,0.03594587922556293,0.10714285714285714,0.08928571428571429,0.6071428571428571,0.05357142857142857,0.1638515401780427,-0.3443750754141492,-0.3634976560782649,-0.12681340670335162,0.029780153287615976,0.1628025628856193,0.4576271186440678,0.7380952380952381
30,B : bas de fourchette,836,126,-0.06798570323471514,-0.01060403623602369,0.0430622009569378,0.01674641148325359,0.31220095693779903,0.008373205741626795,0.14387141953555616,-0.18556490319446828,-0.1325750588012901,-0.016619242625948945,0.007271197552447552,0.027708720105252597,0.2315709222229653,0.3922804686875562
30,"toute pièce éligible, tout jour",22930,136,-0.10301961759878758,0.006260055616916036,0.06127344090710859,0.020279110335804623,0.3336676842564326,0.00793720017444396,0.14027110379007657,-0.21375682772182247,,,,,,
60,A : vient de faire 3x,54,31,-0.2215754686633012,0.10980128551638575,0.12962962962962962,0.09259259259259259,0.7037037037037037,0.09259259259259259,0.18785876600504658,-0.4172221750346201,-0.3063357046021467,-0.09063255032927514,0.02564102564102564,0.17461309523809518,0.5554964539007092,0.8148526077097503
60,B : bas de fourchette,829,122,-0.19425928445109508,-0.05553659765340726,0.09891435464414958,0.04101326899879373,0.5042219541616405,0.038600723763570564,0.20335698689956327,-0.30143180105501133,-0.2623955431754875,-0.10048825144949658,0.026502845916038253,0.05771565435945948,0.40954897815362934,0.5977558614609997
60,"toute pièce éligible, tout jour",22456,132,-0.18084922068988507,-0.020183602080726285,0.11965621660135375,0.043640897755610975,0.5449323120769505,0.043284645529034556,0.20183286548710866,-0.3281949181195425,,,,,,
