regime,strategie,jours,rendement_log_an,multiple
haussier (indice > MM 200 j),rotation,440,-1.2644936805587241,0.217768839256458
haussier (indice > MM 200 j),détenteur,440,1.0276035461977469,3.4513137642888587
haussier (indice > MM 200 j),panier,440,-0.251850418228679,0.7381556976807533
baissier (indice < MM 200 j),rotation,539,0.4396862831578744,1.914181574668216
baissier (indice < MM 200 j),détenteur,539,-0.39627208292982974,0.5570056639647009
baissier (indice < MM 200 j),panier,539,-0.03035666836053215,0.9561618640256978
