signal,horizon_j,jours,ic_moyen,t_nw,part_positive
position dans la fourchette 60 j,7,973,0.020551188867134078,1.1374241248348942,0.5190133607399794
rendement des 30 derniers jours,7,973,-0.012786462192233809,-0.6126240147919852,0.46659815005138744
rendement des 7 derniers jours,7,973,-0.026809838519846786,-1.5809788053184046,0.4686536485097636
position dans la fourchette 60 j,30,950,0.026044500216740582,0.6707779543988037,0.4789473684210526
rendement des 30 derniers jours,30,950,-0.010864907571502876,-0.2992000916759177,0.42105263157894735
rendement des 7 derniers jours,30,950,0.004374720867937889,0.17334264816265055,0.5021052631578947
