variante,trigger,mult,range_win,bottom,k,total_x,detenteur_x,rotations,exces_detenteur_log_an,sharpe_exces,bat_detenteur,bat_panier,a_priori
range mult=3 range=60 bottom=0.2 k=2,range,3.0,60,0.2,2,0.4168490996415977,1.9224013148282184,2,-0.5699093160894533,-0.46473538510935725,False,False,False
range mult=3 range=60 bottom=0.2 k=3,range,3.0,60,0.2,3,0.40971854564484533,1.560212637245893,5,-0.49851280453245334,-0.5349200479836713,False,False,False
range mult=3 range=60 bottom=0.2 k=5,range,3.0,60,0.2,5,0.47619581022184304,1.1216774292580132,11,-0.3194221304429892,-0.39791215918508444,False,False,False
range mult=3 range=60 bottom=0.3 k=1,range,3.0,60,0.3,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
range mult=3 range=60 bottom=0.3 k=2,range,3.0,60,0.3,2,0.4168490996415977,1.9224013148282184,2,-0.5699093160894533,-0.46473538510935725,False,False,False
range mult=3 range=60 bottom=0.3 k=3,range,3.0,60,0.3,3,0.4121312788413954,1.560212637245893,5,-0.49632374159088255,-0.5333066584798296,False,False,False
range mult=3 range=60 bottom=0.3 k=5,range,3.0,60,0.3,5,0.4162410958317444,1.1216774292580132,10,-0.369591729405824,-0.5001407360999472,False,False,False
range mult=3 range=90 bottom=0.1 k=1,range,3.0,90,0.1,1,0.8404848622438011,3.8187805453142376,2,-0.5643546782208034,-0.413394670811877,False,True,False
range mult=3 range=90 bottom=0.1 k=2,range,3.0,90,0.1,2,0.6794029321484449,2.3273079136977395,5,-0.4590473783483398,-0.46995499649918004,False,False,False
range mult=3 range=90 bottom=0.1 k=3,range,3.0,90,0.1,3,0.656249271587099,1.754852592619969,5,-0.36671480490449027,-0.5202269933062487,False,False,False
range mult=3 range=90 bottom=0.1 k=5,range,3.0,90,0.1,5,9.021379180908259,1.3303931633213066,11,0.7136412573266214,0.7596714776948363,True,True,False
range mult=3 range=90 bottom=0.2 k=1,range,3.0,90,0.2,1,0.7740414681821689,3.8187805453142376,2,-0.5950584833104182,-0.4356188610791157,False,True,False
range mult=3 range=90 bottom=0.2 k=2,range,3.0,90,0.2,2,0.6208233828256439,2.3273079136977395,5,-0.4926645635023501,-0.4990047892524353,False,False,False
range mult=3 range=90 bottom=0.2 k=3,range,3.0,90,0.2,3,0.48647501188157377,1.754852592619969,7,-0.47832321740321787,-0.5545712938412276,False,False,False
range mult=3 range=90 bottom=0.2 k=5,range,3.0,90,0.2,5,0.45595916344999954,1.3303931633213066,11,-0.39923563446924154,-0.565624669593674,False,False,False
range mult=3 range=90 bottom=0.3 k=1,range,3.0,90,0.3,1,0.8076761149409784,3.8187805453142376,2,-0.5791999298685565,-0.42377645741580167,False,True,False
range mult=3 range=90 bottom=0.3 k=2,range,3.0,90,0.3,2,0.6504061453830857,2.3273079136977395,5,-0.4753092150336023,-0.4812843038632881,False,False,False
range mult=3 range=90 bottom=0.3 k=3,range,3.0,90,0.3,3,0.4984280033337297,1.754852592619969,7,-0.4692732996216043,-0.5362302729270335,False,False,False
range mult=3 range=90 bottom=0.3 k=5,range,3.0,90,0.3,5,0.45711951060066647,1.3303931633213066,11,-0.3982880451808803,-0.5552537964766122,False,False,False
range mult=4 range=30 bottom=0.1 k=1,range,4.0,30,0.1,1,0.14853666294984721,3.8187805453142376,1,-1.2105229121028667,-1.1486070165569864,False,False,False
range mult=4 range=30 bottom=0.1 k=2,range,4.0,30,0.1,2,0.23317197351891794,2.068293914701102,1,-0.8137759205532598,-1.232017679291602,False,False,False
range mult=4 range=30 bottom=0.1 k=3,range,4.0,30,0.1,3,0.16412201046001673,1.3875366379148142,1,-0.7958696871720589,-1.2731852997334228,False,False,False
range mult=4 range=30 bottom=0.1 k=5,range,4.0,30,0.1,5,0.23466748355358308,0.9687162600264554,1,-0.5285983699236853,-1.105189409762939,False,False,False
range mult=4 range=30 bottom=0.2 k=1,range,4.0,30,0.2,1,0.9699289529659623,3.8187805453142376,1,-0.5109491450275679,-0.3292810228153601,False,True,False
range mult=4 range=30 bottom=0.2 k=2,range,4.0,30,0.2,2,0.643868118526975,2.068293914701102,1,-0.43508649856203835,-0.44998587009204805,False,False,False
range mult=4 range=30 bottom=0.2 k=3,range,4.0,30,0.2,3,0.4379194404653903,1.3875366379148142,1,-0.42996563170476887,-0.4626371960379045,False,False,False
range mult=4 range=30 bottom=0.2 k=5,range,4.0,30,0.2,5,0.3989459415568063,0.9687162600264554,1,-0.33075406283530673,-0.49134282824438325,False,False,False
range mult=4 range=30 bottom=0.3 k=1,range,4.0,30,0.3,1,0.990414365099424,3.8187805453142376,1,-0.5031567933151585,-0.3242877482292789,False,True,False
range mult=4 range=30 bottom=0.3 k=2,range,4.0,30,0.3,2,0.654110824593705,2.068293914701102,1,-0.42920217905060704,-0.4417445755145605,False,False,False
range mult=4 range=30 bottom=0.3 k=3,range,4.0,30,0.3,3,0.4447479111765403,1.3875366379148142,1,-0.4241969680171845,-0.4540977707351219,False,False,False
range mult=4 range=30 bottom=0.3 k=5,range,4.0,30,0.3,5,0.4030430239834974,0.9687162600264554,1,-0.3269447182930168,-0.4822449941664847,False,False,False
range mult=4 range=60 bottom=0.1 k=1,range,4.0,60,0.1,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
range mult=4 range=60 bottom=0.1 k=2,range,4.0,60,0.1,2,1.0729240318542128,1.9224013148282184,2,-0.21742942923848405,-0.18911339358021456,False,True,False
range mult=4 range=60 bottom=0.1 k=3,range,4.0,60,0.1,3,0.762971624947068,1.560212637245893,3,-0.2667059679332703,-0.280210394946244,False,True,False
range mult=4 range=60 bottom=0.1 k=5,range,4.0,60,0.1,5,0.6433328218787177,1.1216774292580132,3,-0.20726271487903086,-0.3737149498635074,False,False,False
range mult=4 range=60 bottom=0.2 k=1,range,4.0,60,0.2,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
