horizon,n,coverage_q10_q90,rho_past_60,ic_p_up,ic_partial,median_abs_pred_bps,median_abs_ret_bps,frac_pred_gt_cost
5,1500,0.784,-0.29124355699713644,0.01932715882925029,0.0023693474827001684,1.3459267938742414,7.184152501737984,0.02266666666666667
10,1500,0.7793333333333333,-0.3092041374240611,-0.02610037962336906,-0.03824826899683071,2.2528896806761622,9.096739340446192,0.068
15,1499,0.7771847898599066,-0.3023526570456254,-0.013647706392601744,-0.023202919678479397,2.863358677132055,11.378833681741085,0.11933333333333333
