signal,h,threshold,cost_bps,n_signals,n_trades,n_long,n_short,hit_rate,gross_bps_mean,net_bps_mean,net_bps_se,gross_bps_sum,net_bps_sum
timesfm,5,0.55,10.0,365,365,190,175,0.5013698630136987,0.32101516807156977,-9.67898483192843,0.8613753794399627,117.17053634612296,-3532.8294636538767
timesfm_cal,5,0.55,10.0,83,83,14,69,0.4939759036144578,-3.5135053225974158,-13.513505322597414,2.024779280903604,-291.6209417755855,-1121.6209417755854
reversal_h,5,0.5,10.0,599,599,300,299,0.5158597662771286,0.09278093007354614,-9.907219069926454,0.6339904547159676,55.575777114054134,-5934.424222885946
timesfm,10,0.55,10.0,402,402,205,197,0.48756218905472637,-0.519627965949044,-10.519627965949043,1.1207394318396255,-208.8904423115157,-4228.8904423115155
timesfm_cal,10,0.55,10.0,53,53,35,18,0.5660377358490566,0.05271392717602237,-9.947286072823978,3.0442506023441687,2.7938381403291856,-527.2061618596708
reversal_h,10,0.5,10.0,597,597,274,323,0.5058626465661642,-0.34454857214362206,-10.344548572143623,0.8661635407639837,-205.69549756974237,-6175.695497569743
timesfm,15,0.55,10.0,401,401,201,200,0.486284289276808,-0.9628980921004061,-10.962898092100405,1.4494976007432991,-386.12213493226284,-4396.122134932262
timesfm_cal,15,0.55,10.0,0,0,0,0,,,,,0.0,0.0
reversal_h,15,0.5,10.0,598,598,297,301,0.5301003344481605,0.07702838060507457,-9.922971619394925,1.0836251742392564,46.06297160183459,-5933.937028398165
