model,sample,horizon,h_eff,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,p_binom,pt_stat,pt_pvalue,base_rate,excess_accuracy,pt_hac_t,pt_hac_pvalue,acc_w,dm_brier_vs_reversal_t
timesfm,toutes,5,1,198,198,0.5151515151515151,0.515,0.5536734693877552,0.24664165181238973,0.685838671797162,0.361218846314931,0.42338032050366553,0.33600890035766207,0.5050505050505051,0.010101010101010055,0.4360905215101902,0.3313855269542949,0.491156309948496,-0.5936044062442698
timesfm,toutes,10,1,199,199,0.4623115577889447,0.46253033980582525,0.49494336569579284,0.2607124868628434,0.7161147525600119,0.8716747043896806,-1.0592799099816423,0.8552638392091687,0.4824120603015075,-0.055276381909547756,-1.0928661159110031,0.8627737063028937,0.5197114965466484,1.374584554157212
timesfm,toutes,15,1,200,200,0.46,0.45999999999999996,0.4563000000000001,0.26898664193786936,0.7343702499373626,0.8853767013701419,-1.1344368380742273,0.8716943229801495,0.5,-0.03999999999999998,-1.2479805765062615,0.8939809148032214,0.4986527437093581,2.5516499044290692
reversal_h,toutes,5,1,198,198,0.51010101010101,0.5104081632653061,0.5131122448979593,0.24989292929292925,0.6929331373552134,0.4156188605791032,0.29417995889598764,0.38431019695977975,0.5050505050505051,0.005050505050504972,0.2806265385126195,0.38949842942485347,0.530628041951001,
reversal_h,toutes,10,1,199,199,0.47738693467336685,0.47815533980582525,0.47815533980582525,0.2513045226130653,0.6957578322209744,0.7607543995087266,-0.6181181938673016,0.7317512849918424,0.4824120603015075,-0.040201005025125636,-0.632025142824601,0.7363147759964366,0.4061138392382407,
reversal_h,toutes,15,1,200,200,0.495,0.495,0.49495,0.250596,0.6943400283749651,0.5839648127811198,-0.1419537942847688,0.5564417485954914,0.5,-0.0050000000000000044,-0.1315498382960082,0.5523298180851418,0.4853035818236772,
momentum_h,toutes,5,1,198,198,0.48484848484848486,0.48459183673469386,0.4868877551020408,0.2509030303030303,0.6949544178520198,0.6905145005833511,-0.43525662063776627,0.6683119158760094,0.5050505050505051,-0.02020202020202022,-0.41497824013667467,0.6609210837274564,0.459744815826844,0.3376481503392942
momentum_h,toutes,10,1,199,199,0.5226130653266332,0.5218446601941747,0.5218446601941747,0.24949547738693464,0.6921378102658899,0.2853767552310412,0.6181181938673032,0.2682487150081571,0.4824120603015075,0.005025125628140725,0.6320251428246022,0.2636852240035631,0.5938861607617593,-0.654782095294515
momentum_h,toutes,15,1,200,200,0.505,0.505,0.50505,0.250196,0.6935396012982297,0.4718257604953717,0.14212487454484649,0.44349068528390545,0.5,0.0050000000000000044,0.13211609347272496,0.4474462333717765,0.5161783269804004,-0.13306361568532996
always_up,toutes,5,1,198,198,0.5050505050505051,0.5,0.5,0.25019797979797975,0.693543565144071,0.4716841814023839,,,0.5050505050505051,0.0,,,0.5043547020720934,0.13753132586556474
always_up,toutes,10,1,199,199,0.4824120603015075,0.5,0.5,0.25110351758793964,0.6953556075592984,0.7146232447689588,,,0.4824120603015075,-0.035175879396984966,,,0.45289131077215894,-0.10333938677260343
always_up,toutes,15,1,200,200,0.5,0.5,0.5,0.2504,0.6939478212434321,0.5281742395046283,,,0.5,0.0,,,0.4405226117725704,-0.0906840563120791
majority_prev_day,toutes,5,1,198,198,0.4444444444444444,0.44561224489795914,0.44841836734693885,0.2525191919191919,0.6981884666469103,0.9490478227741089,-1.5775732462542595,0.9426681586773891,0.5050505050505051,-0.06060606060606066,-1.5408476255776795,0.9383230623976512,0.4747894374097171,1.280600214110723
majority_prev_day,toutes,10,1,199,199,0.5125628140703518,0.5089502427184466,0.509253640776699,0.24989346733668338,0.692934212949207,0.3884188534470172,0.2585445277483148,0.3979933442692713,0.4824120603015075,-0.005025125628140725,0.27352915881625034,0.39222324056960184,0.5589341031375921,-0.7703273756740667
majority_prev_day,toutes,15,1,200,200,0.5,0.5,0.49695000000000006,0.250498,0.6941439248091987,0.5281742395046283,0.0,0.5,0.5,0.0,1.7438434627325672e-15,0.4999999999999993,0.5549163746434532,-0.04931244330903378
