signal,h,threshold,cost_bps,n_signals,n_trades,n_long,n_short,hit_rate,gross_bps_mean,net_bps_mean,net_bps_se,gross_bps_sum,net_bps_sum
timesfm,5,0.55,10.0,97,97,46,51,0.5979381443298969,1.6570271505643341,-8.342972849435666,1.259176630267991,160.7316336047404,-809.2683663952596
reversal_h,5,0.5,10.0,198,198,93,105,0.51010101010101,0.5785485935887054,-9.421451406411293,0.9149406782630113,114.55262153056367,-1865.4473784694362
timesfm,10,0.55,10.0,104,104,54,50,0.5096153846153846,0.9851501071837905,-9.014849892816208,1.4459273573604094,102.45561114711421,-937.5443888528857
reversal_h,10,0.5,10.0,199,199,104,95,0.47738693467336685,-2.014594841458824,-12.014594841458825,1.2243230797296583,-400.90437345030597,-2390.904373450306
timesfm,15,0.55,10.0,124,124,63,61,0.4435483870967742,-0.4120952999791198,-10.41209529997912,1.9330350246835653,-51.09981719741086,-1291.0998171974109
reversal_h,15,0.5,10.0,198,198,105,93,0.494949494949495,-0.4475283294326688,-10.447528329432668,1.63526721570216,-88.61060922766842,-2068.610609227668
