signal,h,threshold,cost_bps,n_signals,n_trades,n_long,n_short,hit_rate,gross_bps_mean,net_bps_mean,net_bps_se,gross_bps_sum,net_bps_sum
timesfm,5,0.55,10.0,38,38,20,18,0.4473684210526316,3.536321961841288,-6.4636780381587124,3.491056427461161,134.38023454996895,-245.61976545003108
reversal_h,5,0.5,10.0,59,59,32,27,0.5084745762711864,0.42820489197999345,-9.571795108020005,2.9120170817552897,25.264088626819614,-564.7359113731803
timesfm,10,0.55,10.0,43,43,22,21,0.6046511627906976,5.187979247835363,-4.812020752164637,4.567441941985983,223.08310765692062,-206.91689234307938
reversal_h,10,0.5,10.0,58,58,28,30,0.603448275862069,6.374460396709822,-3.6255396032901768,4.0559825340810685,369.7187030091697,-210.28129699083024
timesfm,15,0.55,10.0,44,44,22,22,0.4772727272727273,6.584739098666697,-3.415260901333303,4.509166017778507,289.7285203413347,-150.27147965866533
reversal_h,15,0.5,10.0,60,60,32,28,0.5666666666666667,7.660413987303697,-2.339586012696304,4.313717925616183,459.6248392382218,-140.37516076177826
