signal,h,threshold,cost_bps,n_signals,n_trades,n_long,n_short,hit_rate,gross_bps_mean,net_bps_mean,net_bps_se,gross_bps_sum,net_bps_sum
timesfm,5,0.55,10.0,373,373,179,194,0.4906166219839142,-0.6786250199428647,-10.678625019942865,0.6529633353639529,-253.12713243868856,-3983.127132438689
timesfm_cal,5,0.55,10.0,65,65,1,64,0.5076923076923077,0.6014823153029497,-9.398517684697051,1.5001714686538465,39.096350494691734,-610.9036495053083
reversal_h,5,0.5,10.0,597,597,318,279,0.5175879396984925,0.17561286125428502,-9.824387138745715,0.512831517200219,104.84087816880816,-5865.159121831191
timesfm,10,0.55,10.0,402,402,188,214,0.48258706467661694,0.628547492731435,-9.371452507268566,0.7637293101961579,252.67609207803687,-3767.3239079219634
timesfm_cal,10,0.55,10.0,299,299,2,297,0.4414715719063545,-1.283748960511872,-11.283748960511872,0.7483572638184389,-383.84093919304973,-3373.84093919305
reversal_h,10,0.5,10.0,599,599,313,286,0.4941569282136895,-0.06300114410221219,-10.063001144102214,0.6095252718295997,-37.7376853172251,-6027.737685317226
timesfm,15,0.55,10.0,412,412,192,220,0.5048543689320388,0.07527610682810845,-9.924723893171892,0.9750935676603137,31.013756013180682,-4088.9862439868193
timesfm_cal,15,0.55,10.0,111,111,8,103,0.38738738738738737,-2.6981989497443237,-12.698198949744326,1.674280224527079,-299.50008342161993,-1409.50008342162
reversal_h,15,0.5,10.0,597,597,311,286,0.5393634840871022,1.9406531992799916,-8.059346800720009,0.7779447875511354,1158.569959970155,-4811.430040029845
