run,ticker,generated_at,command,backend,covariates,covariate_names,stride,context_len,transform,symmetric,max_origins,n_candidates,n_excluded_gaps,n_origins,first_origin,last_origin,test_part_start,days,train_frac,cost_bps,threshold,walk_forward_s,origins_per_s
BTCUSDT_timesfm3_none_s30_c512_logprice,BTCUSDT,2026-09-25 22:55 UTC,python -m tradebot timesfm-backtest --tickers BTCUSDT --covariates none --stride 30 --max-origins 200,timesfm3,none,,30,512,logprice,True,200,7008,0,200,2026-05-02 23:00:00+00:00,2026-09-25 22:30:00+00:00,2026-05-02 22:54:00+00:00,365,0.6,10.0,0.55,19.5,10.25
SOLUSDT_timesfm3_top5_s60_c512_logprice,SOLUSDT,2026-09-25 22:56 UTC,python -m tradebot timesfm-backtest --tickers SOLUSDT --covariates top --top-k 5 --stride 60 --max-origins 60,timesfm3,top5,tick_imb_60;obv_slope_60;ema_dist_240;ret_60;ret_vol_60,60,512,logprice,True,60,288,0,60,2026-09-13 23:00:00+00:00,2026-09-25 22:00:00+00:00,2026-05-02 22:55:00+00:00,365,0.6,10.0,0.55,28.9,2.08
BTCUSDT_timesfm3_none_s15_c512_logprice,BTCUSDT,2026-09-25 23:26 UTC,python -m tradebot timesfm-backtest --tickers BTCUSDT SOLUSDT ETHUSDT --covariates none --stride 15 --max-origins 1500,timesfm3,none,,15,512,logprice,True,1500,14016,0,1500,2026-05-02 23:30:00+00:00,2026-09-25 23:15:00+00:00,2026-05-02 23:22:00+00:00,365,0.6,10.0,0.55,184.1,8.15
SOLUSDT_timesfm3_none_s15_c512_logprice,SOLUSDT,2026-09-25 23:30 UTC,python -m tradebot timesfm-backtest --tickers BTCUSDT SOLUSDT ETHUSDT --covariates none --stride 15 --max-origins 1500,timesfm3,none,,15,512,logprice,True,1500,14016,0,1500,2026-05-02 23:30:00+00:00,2026-09-25 23:15:00+00:00,2026-05-02 23:26:00+00:00,365,0.6,10.0,0.55,260.3,5.76
ETHUSDT_timesfm3_none_s15_c512_logprice,ETHUSDT,2026-09-25 23:34 UTC,python -m tradebot timesfm-backtest --tickers BTCUSDT SOLUSDT ETHUSDT --covariates none --stride 15 --max-origins 1500,timesfm3,none,,15,512,logprice,True,1500,14016,0,1500,2026-05-02 23:30:00+00:00,2026-09-25 23:15:00+00:00,2026-05-02 23:30:00+00:00,365,0.6,10.0,0.55,253.8,5.91
BTCUSDT_timesfm3_top5_s15_c512_logprice,BTCUSDT,2026-09-25 23:42 UTC,python -m tradebot timesfm-backtest --tickers BTCUSDT SOLUSDT ETHUSDT --covariates top --top-k 5 --stride 15 --max-origins 600,timesfm3,top5,ema_dist_60;ema_dist_30;sma_dist_30;di_diff_14;ema_gap_5_20,15,512,logprice,True,600,14016,0,600,2026-05-02 23:45:00+00:00,2026-09-25 23:30:00+00:00,2026-05-02 23:34:00+00:00,365,0.6,10.0,0.55,435.9,1.38
SOLUSDT_timesfm3_top5_s15_c512_logprice,SOLUSDT,2026-09-25 23:50 UTC,python -m tradebot timesfm-backtest --tickers BTCUSDT SOLUSDT ETHUSDT --covariates top --top-k 5 --stride 15 --max-origins 600,timesfm3,top5,ema_dist_60;ema_dist_30;sma_dist_30;di_diff_14;ema_gap_5_20,15,512,logprice,True,600,14016,0,600,2026-05-02 23:45:00+00:00,2026-09-25 23:30:00+00:00,2026-05-02 23:42:00+00:00,365,0.6,10.0,0.55,489.2,1.23
ETHUSDT_timesfm3_top5_s15_c512_logprice,ETHUSDT,2026-09-26 00:06 UTC,python -m tradebot timesfm-backtest --tickers BTCUSDT SOLUSDT ETHUSDT --covariates top --top-k 5 --stride 15 --max-origins 600,timesfm3,top5,ema_dist_60;ema_dist_30;sma_dist_30;di_diff_14;ema_gap_5_20,15,512,logprice,True,600,14016,0,600,2026-05-03 00:00:00+00:00,2026-09-25 23:45:00+00:00,2026-05-02 23:50:00+00:00,365,0.6,10.0,0.55,977.2,0.61
