signal,h,threshold,cost_bps,n_signals,n_trades,n_long,n_short,hit_rate,gross_bps_mean,net_bps_mean,net_bps_se,gross_bps_sum,net_bps_sum
timesfm,5,0.55,10.0,810,810,407,403,0.5209876543209877,0.24208807126825765,-9.757911928731742,0.6367517936484295,196.0913377272887,-7903.908662272711
timesfm_cal,5,0.55,10.0,314,314,7,307,0.5031847133757962,0.1161256730324737,-9.883874326967526,0.7392842485954819,36.463461332196744,-3103.536538667803
reversal_h,5,0.5,10.0,1495,1495,722,773,0.48494983277591974,-0.5582266235920287,-10.558226623592029,0.45817070923365216,-834.5488022700829,-15784.548802270083
timesfm,10,0.55,10.0,890,890,433,457,0.4898876404494382,-0.3777929442824044,-10.377792944282405,0.8696041200407162,-336.2357204113399,-9236.23572041134
timesfm_cal,10,0.55,10.0,3,3,3,0,0.6666666666666666,6.198527988316253,-3.8014720116837473,5.089772833938351,18.59558396494876,-11.404416035051241
reversal_h,10,0.5,10.0,1499,1499,733,766,0.5116744496330887,-0.7903639221079293,-10.790363922107929,0.6178885856837634,-1184.755519239786,-16174.755519239785
timesfm,15,0.55,10.0,917,917,442,475,0.514721919302072,-0.7431831252763469,-10.743183125276346,1.0717161474982546,-681.4989258784101,-9851.49892587841
timesfm_cal,15,0.55,10.0,0,0,0,0,,,,,0.0,0.0
reversal_h,15,0.5,10.0,1498,1498,742,756,0.5066755674232309,-0.6674949213839723,-10.667494921383973,0.7741532499248737,-999.9073922331904,-15979.907392233192
