cellule,instant_s,mesure,n,median,p25,p75
BTC 15m,0,bid_up_048,6,47.5,35,60
BTC 15m,0,bid_up_049,6,37.5,35,55
BTC 15m,0,bid_up_050,6,25,13.75,32.5
BTC 15m,0,bid_up_051,6,0,0,7.5
BTC 15m,0,bid_up_052,6,0,0,0
BTC 15m,0,bid_dn_048,6,0,0,31.8075
BTC 15m,0,bid_dn_049,6,0,0,0
BTC 15m,0,bid_dn_050,6,0,0,0
BTC 15m,0,bid_dn_051,6,0,0,0
BTC 15m,0,bid_dn_052,6,0,0,0
BTC 15m,30,spread,6,0.01,0.01,0.01
BTC 15m,30,mid,6,0.55,0.4875,0.5825
BTC 15m,30,depth_best_bid,6,71.575,61.25,154.808
BTC 15m,30,depth_best_ask,6,175.125,92.5125,209.835
BTC 15m,30,depth_bid_10c,6,10217.4,9514.34,10784.4
BTC 15m,30,depth_ask_10c,6,8906.67,8584.98,9412.94
BTC 15m,30,bid_up_048,6,108.76,22.34,273.06
BTC 15m,30,bid_up_049,6,341.5,83.75,364.5
BTC 15m,30,bid_up_050,6,132.5,17.5,262.5
BTC 15m,30,bid_up_051,6,354.655,54.41,1227.67
BTC 15m,30,bid_up_052,6,182.965,27.5,1557.23
BTC 15m,30,bid_dn_048,6,0,0,168.75
BTC 15m,30,bid_dn_049,6,0,0,167.25
BTC 15m,30,bid_dn_050,6,0,0,30
BTC 15m,30,bid_dn_051,6,0,0,279.75
BTC 15m,30,bid_dn_052,6,0,0,158.535
BTC 5m,-60,spread,21,0.01,0.01,0.01
BTC 5m,-60,mid,21,0.505,0.5,0.515
BTC 5m,-60,depth_best_bid,21,65.45,35,158.4
BTC 5m,-60,depth_best_ask,21,61,26.46,155
BTC 5m,-60,depth_bid_10c,21,1768.22,1577.95,1864.24
BTC 5m,-60,depth_ask_10c,21,1679.69,1567.26,1829.4
BTC 5m,-60,bid_up_048,21,123.82,112.82,137.82
BTC 5m,-60,bid_up_049,21,167.1,135.1,205.1
BTC 5m,-60,bid_up_050,21,55,0,242
BTC 5m,-60,bid_up_051,21,0,0,35
BTC 5m,-60,bid_up_052,21,0,0,0
BTC 5m,-60,bid_dn_048,21,107.82,20.82,137.82
BTC 5m,-60,bid_dn_049,21,24,0,160.26
BTC 5m,-60,bid_dn_050,21,0,0,0
BTC 5m,-60,bid_dn_051,21,0,0,0
BTC 5m,-60,bid_dn_052,21,0,0,0
BTC 5m,-30,spread,21,0.01,0.01,0.01
BTC 5m,-30,mid,21,0.505,0.495,0.535
BTC 5m,-30,depth_best_bid,21,61.06,30.1,126.65
BTC 5m,-30,depth_best_ask,21,73.36,30,160.59
BTC 5m,-30,depth_bid_10c,21,1282.17,1023.85,1392.89
BTC 5m,-30,depth_ask_10c,21,1213.07,881.36,1306.6
BTC 5m,-30,bid_up_048,21,97.82,80.82,132.82
BTC 5m,-30,bid_up_049,21,65.1,30.1,124.96
BTC 5m,-30,bid_up_050,21,28.48,0,260.77
BTC 5m,-30,bid_up_051,21,0,0,91.32
BTC 5m,-30,bid_up_052,21,0,0,55
BTC 5m,-30,bid_dn_048,21,90.32,0,147.82
BTC 5m,-30,bid_dn_049,21,5,0,111.38
BTC 5m,-30,bid_dn_050,21,0,0,6.32
BTC 5m,-30,bid_dn_051,21,0,0,0
BTC 5m,-30,bid_dn_052,21,0,0,0
BTC 5m,0,spread,21,0.02,0.01,0.03
BTC 5m,0,mid,21,0.53,0.5,0.59
BTC 5m,0,depth_best_bid,21,32,20,40.32
BTC 5m,0,depth_best_ask,21,34.34,15,68.26
BTC 5m,0,depth_bid_10c,21,549.54,315.59,679.32
BTC 5m,0,depth_ask_10c,21,487.51,380.9,615.33
BTC 5m,0,bid_up_048,21,36.82,20,90.81
BTC 5m,0,bid_up_049,21,30,0,69.68
BTC 5m,0,bid_up_050,21,25,0,106.44
BTC 5m,0,bid_up_051,21,11,0,36.65
BTC 5m,0,bid_up_052,21,0,0,50
BTC 5m,0,bid_dn_048,21,0,0,15
BTC 5m,0,bid_dn_049,21,0,0,5
BTC 5m,0,bid_dn_050,21,0,0,0
BTC 5m,0,bid_dn_051,21,0,0,0
BTC 5m,0,bid_dn_052,21,0,0,0
BTC 5m,30,spread,21,0.01,0.01,0.01
BTC 5m,30,mid,21,0.515,0.425,0.595
BTC 5m,30,depth_best_bid,21,148.59,100,384.25
BTC 5m,30,depth_best_ask,21,351.61,96.67,587.56
BTC 5m,30,depth_bid_10c,21,3274.74,2587.91,3955.67
BTC 5m,30,depth_ask_10c,21,3751.36,3002.16,4325.69
BTC 5m,30,bid_up_048,21,65,0,258.4
BTC 5m,30,bid_up_049,21,82,0,263.4
BTC 5m,30,bid_up_050,21,65,0,446
BTC 5m,30,bid_up_051,21,45,0,385.4
BTC 5m,30,bid_up_052,21,0,0,268.4
BTC 5m,30,bid_dn_048,21,50.4,0,202.27
BTC 5m,30,bid_dn_049,21,0,0,308.21
BTC 5m,30,bid_dn_050,21,0,0,243
BTC 5m,30,bid_dn_051,21,0,0,258
BTC 5m,30,bid_dn_052,21,0,0,168.4
ETH 5m,-60,spread,21,0.01,0.01,0.02
ETH 5m,-60,mid,21,0.5,0.495,0.505
ETH 5m,-60,depth_best_bid,21,35.67,20.25,50
ETH 5m,-60,depth_best_ask,21,15.45,10,45
ETH 5m,-60,depth_bid_10c,21,611.04,586.41,632.72
ETH 5m,-60,depth_ask_10c,21,636.44,611.96,651.69
ETH 5m,-60,bid_up_048,21,66.25,60.83,76.25
ETH 5m,-60,bid_up_049,21,50,35.26,60.45
ETH 5m,-60,bid_up_050,21,0,0,17.1
ETH 5m,-60,bid_up_051,21,0,0,0
ETH 5m,-60,bid_up_052,21,0,0,0
ETH 5m,-60,bid_dn_048,21,66.51,50.41,86.5
ETH 5m,-60,bid_dn_049,21,45,5.21,60.38
ETH 5m,-60,bid_dn_050,21,0,0,15
ETH 5m,-60,bid_dn_051,21,0,0,0
ETH 5m,-60,bid_dn_052,21,0,0,0
ETH 5m,-30,spread,21,0.01,0.01,0.01
ETH 5m,-30,mid,21,0.5,0.495,0.52
ETH 5m,-30,depth_best_bid,21,20.5,10.42,30
ETH 5m,-30,depth_best_ask,21,20,10,30
ETH 5m,-30,depth_bid_10c,21,437.11,291.52,464.47
ETH 5m,-30,depth_ask_10c,21,471.44,356.44,482.79
ETH 5m,-30,bid_up_048,21,50.83,40.41,66.51
ETH 5m,-30,bid_up_049,21,15.45,8.22,40
ETH 5m,-30,bid_up_050,21,0,0,30
ETH 5m,-30,bid_up_051,21,0,0,30
