ticker,n_bars,start,end,missing_bars,split_time,n_indicators,n_skipped,benchmark,deriv_coverage
BTCUSDT,525599,2025-09-25 23:00:00+00:00,2026-09-25 22:58:00+00:00,0,2026-05-02 22:59:00+00:00,158,9,,0.9974923848789666
SOLUSDT,525599,2025-09-25 23:04:00+00:00,2026-09-25 23:02:00+00:00,0,2026-05-02 23:03:00+00:00,167,0,BTCUSDT,0.9974847745144112
ETHUSDT,525599,2025-09-25 23:09:00+00:00,2026-09-25 23:07:00+00:00,0,2026-05-02 23:08:00+00:00,167,0,BTCUSDT,0.9974752615587168
XRPUSDT,525599,2025-09-25 23:12:00+00:00,2026-09-25 23:10:00+00:00,0,2026-05-02 23:11:00+00:00,167,0,BTCUSDT,0.9974695537853002
BNBUSDT,525599,2025-09-25 23:16:00+00:00,2026-09-25 23:14:00+00:00,0,2026-05-02 23:15:00+00:00,167,0,BTCUSDT,0.9974619434207447
DOGEUSDT,525599,2025-09-25 23:19:00+00:00,2026-09-25 23:17:00+00:00,0,2026-05-02 23:18:00+00:00,167,0,BTCUSDT,0.9974562356473281
