ticker,indicator,horizon,n,ic_spearman,ic_daily_mean,ic_daily_t,n_days,frac_months_same_sign,ic_nw_t,ic_nw_t_2h,p_value,t_cons,p_value_cons,ic_train,ic_test,train_sign,median_train,hit_rate_oos,auc_oos,up_rate_oos,n_oos,n_eff_oos,p_hit
BNBUSDT,sma_dist_5,5,525534,-0.010763269748217084,-0.015306751640350995,-6.764073342434736,365,0.8461538461538461,-5.232113930978814,-5.051732498325834,1.6758240278503064e-07,-5.051732498325834,4.3782058084283783e-07,-0.010087029196388998,-0.011826070186674583,-1.0,0.008910958972826646,0.5063788310197967,0.5096209575584946,0.5013132181286521,208267,41653.4,0.004703261359866178
BNBUSDT,sma_dist_5,10,525529,-0.0043419793839933225,-0.010148308738264665,-4.560485372828437,365,0.8461538461538461,-1.9376688173014827,-1.9063361957174025,0.05266364064399452,-1.9063361957174025,0.05660660100689103,-0.00024091527291894514,-0.01163245394821272,-1.0,0.008926234519054128,0.5065764282432226,0.5096000138215482,0.5021490657068464,208928,20892.8,0.029461907243461358
BNBUSDT,sma_dist_5,15,525524,-0.006388964324562629,-0.01327359283968175,-6.070474593870592,365,1.0,-2.770928270401563,-2.7533263251257716,0.005589673883619918,-2.7533263251257716,0.005899306140005705,-0.002205767556644209,-0.014162352920162553,-1.0,0.008953915729229305,0.5071880363537269,0.5111565945066517,0.5032294769251364,209167,13944.466666666667,0.045970237858100824
BNBUSDT,sma_dist_15,5,525534,-0.014465172325536199,-0.02134264336028758,-8.380199991504762,365,1.0,-5.904305652543082,-5.549316713406851,3.5413506564015336e-09,-5.549316713406851,2.8678823382904815e-08,-0.01056673962143316,-0.0208562692375651,-1.0,0.016972536070409897,0.511069924664013,0.513816881344741,0.5013132181286521,208267,41653.4,3.124634761117358e-06
BNBUSDT,sma_dist_15,10,525529,-0.014120706893568181,-0.023219229067073757,-7.445133328576756,365,1.0,-4.5394961445607835,-4.298008910207838,5.638881140106599e-06,-4.298008910207838,1.723392370526699e-05,-0.008027028559181002,-0.024718565291307712,-1.0,0.017018219808619544,0.5127316587532547,0.5168816924833826,0.5021490657068464,208928,20892.8,0.00011944274320354122
BNBUSDT,sma_dist_15,15,525524,-0.02090187289044967,-0.03244403043062921,-9.221168628625398,365,1.0,-6.01235332875123,-5.763971832921439,1.8284924564794384e-09,-5.763971832921439,8.215713255167986e-09,-0.016436000141520378,-0.029051874459355184,-1.0,0.017045839471241282,0.5146175065856469,0.5194956062223633,0.5032294769251364,209167,13944.466666666667,0.00028352685573376476
BNBUSDT,sma_dist_30,5,525534,-0.024327906379297274,-0.03483033359922622,-13.240805521490925,365,1.0,-9.55346971348519,-8.914362045630122,1.2542374945701197e-21,-8.914362045630122,4.9063273418536205e-19,-0.0219645540347952,-0.028214790711546058,-1.0,0.04617295986440716,0.5144453994151738,0.5180829656598502,0.5013132181286521,208267,41653.4,1.9317219298623023e-09
BNBUSDT,sma_dist_30,10,525529,-0.028078260844822955,-0.04187194363801229,-11.688235752871302,365,1.0,-8.310334274710248,-7.738499767435173,9.543285821282983e-17,-7.738499767435173,1.0059673369081312e-14,-0.02470160087143844,-0.033885358621711374,-1.0,0.04620653305016825,0.516488933986828,0.5219685690279605,0.5021490657068464,208928,20892.8,1.000132128016125e-06
BNBUSDT,sma_dist_30,15,525524,-0.03345432087277304,-0.05029519392528403,-11.688077914271775,365,1.0,-8.498582397197744,-7.9522181883151974,1.9191999678255642e-17,-7.9522181883151974,1.8320122615747517e-15,-0.030989145918494967,-0.03773185189789355,-1.0,0.04621055740825519,0.5171035584007038,0.5242222662816739,0.5032294769251364,209167,13944.466666666667,2.8742839494304005e-05
BNBUSDT,sma_dist_60,5,525534,-0.028869846795125966,-0.043999757000075745,-16.026333971811862,365,1.0,-11.09422892875124,-10.325942861699803,1.3380890732087357e-28,-10.325942861699803,5.378772699468493e-25,-0.02836314388196164,-0.029287767283286744,-1.0,0.11293026846255166,0.5141621092155743,0.5186485807881664,0.5013132181286521,208267,41653.4,3.909423851329847e-09
BNBUSDT,sma_dist_60,10,525529,-0.03434507628470915,-0.05401114277218241,-14.226651682302718,365,1.0,-9.750705379775308,-9.000251829326775,1.8319091767629418e-22,-9.000251829326775,2.2520051779212785e-19,-0.03291879868853021,-0.03631134148116357,-1.0,0.11300814842518409,0.5170297901669475,0.52312932821919,0.5021490657068464,208928,20892.8,4.3385731304109395e-07
