indicator,horizon,family,n_tickers,ic_mean,ic_std,ic_t_cross,frac_same_sign,ic_daily_t_mean,ic_train_mean,ic_test_mean,hit_rate_oos_mean,auc_oos_mean,z_combined,p_combined,q_value,q_value_by
amihud_60,5,microstructure,6,0.0010330792436593404,0.0017058479918286755,1.4834364040333008,0.8333333333333334,0.9830625710074891,0.004665669492588686,-0.007111578391315212,0.4986073985642537,0.49782800104407504,1.0802276194966054,0.28004083208147057,0.33807339005498016,1.0
garman_klass_15,10,volatilite,6,-0.0010068446779761468,0.002504695140927006,-0.9846530505766957,0.6666666666666666,1.8171590000075983,-0.0025513232233544693,0.0011813192009711834,0.4975757164886186,0.49768940585625215,0.24261662700473058,0.808302399517687,0.8634530962864845,1.0
amihud_60,15,microstructure,6,0.000977293570495184,0.0025390876164331807,0.9428073931449147,0.6666666666666666,0.9000515380653143,0.006341321462408705,-0.012513216507461645,0.49671993797103786,0.4969840202866875,0.6730037093508263,0.5009449310678722,0.5769503688850666,1.0
oi_x_ret_15,5,derives,6,0.000908938534702338,0.0032576420115326818,0.6834500567256121,0.5,-0.2786565393079613,0.0014358347666274147,5.691008667699776e-05,0.5011920985703591,0.5014122009524101,-0.07629440767320557,0.9391848749083875,0.9563650860347604,1.0
ls_ratio_top_z_1440,10,derives,6,-0.0009051811592806442,0.006513159360067557,-0.34042341703052176,0.5,1.8113300070418419,-0.000689927353662384,-0.0017932596616996373,0.5000120922614572,0.5002499926616656,1.3261023738993245,0.1848057899376595,0.22804852403637293,1.0
session_us,5,calendrier,6,-0.0008774604408449851,0.002045022534843479,-1.0510057043025693,0.8333333333333334,0.46503973213371336,-0.0027236258735854114,0.001953354666733933,0.5023613590495103,0.49927893946437507,0.28715267813041156,0.773995418439723,0.835714880685994,1.0
oi_x_ret_15,15,derives,6,0.0008736221484244834,0.004104189597211911,0.5214009832995258,0.5,-0.5139579430452191,0.000986820724516226,0.0007467065545512711,0.4999454569714949,0.5000444670744083,-0.48883269544864777,0.6249601485042788,0.6973386066829481,1.0
amihud_60,10,microstructure,6,0.0008626663494351224,0.002256880172765191,0.9362891304045277,0.6666666666666666,0.9157044171460083,0.005174555812789839,-0.009798698494220508,0.497417515680976,0.49752397726128583,0.7465763655240751,0.45531931926009617,0.5329789227787575,1.0
rel_volume_tod,5,volume,6,-0.0007827116758041777,0.0024489968509612257,-0.7828692065024303,0.6666666666666666,0.08537894743595764,-0.0021001498100130106,0.0012734760423677638,0.5007673584621976,0.5009266870858474,-0.19171592555972464,0.8479647305958748,0.8906296227013276,1.0
kurt_60,10,statistique,6,-0.0007530483244900603,0.00460054337625883,-0.4009491913884486,0.6666666666666666,-0.5394340155521237,-0.003700183561554736,0.0041167582292444575,0.4991984558725802,0.49798715866750576,-0.5977588896952201,0.5500008250689715,0.6265698835715916,1.0
roll_spread_240,5,microstructure,6,0.0007289875859012479,0.002425075526180301,0.736326598905529,0.6666666666666666,0.5818862238332385,0.0010434105020022987,-0.0002694699479044186,0.4998695177291874,0.5005281656695103,0.8002368882016202,0.42357356115040845,0.4993184803208344,1.0
jump_ratio_240,15,volatilite,6,-0.0007056422120569203,0.0026755347901617358,-0.6460253728951785,0.6666666666666666,-0.8787240610094288,-0.0018774240388287813,0.0007190748100978467,0.500244450266336,0.5001326043501491,-0.8299315063008547,0.4065775103385054,0.480413520470734,1.0
hour_cos,15,calendrier,6,-0.0006598179438122483,0.0028963408650763355,-0.5580203991044378,0.6666666666666666,-0.3011949713353221,0.00600500653620781,-0.011378561306776771,0.492264063539038,0.49342959620036403,-0.6235875588585423,0.5328984831890495,0.6095482650176115,1.0
hour_cos,10,calendrier,6,-0.0006494291979702167,0.002442608679594881,-0.6512587023787162,0.6666666666666666,-0.33693317862781424,0.004613578587101105,-0.00899369459516861,0.49442393697452913,0.4952145125173553,-0.7129568576953726,0.4758724539331335,0.5557391594883447,1.0
kurt_60,5,statistique,6,0.0006343508652229794,0.0035692080383927086,0.43534473781725763,0.8333333333333334,-0.2868654105064445,-0.0014590139017280682,0.003956720182431568,0.5001467390773033,0.5001759020339622,0.08578814300860074,0.9316348322367746,0.9525490835727022,1.0
ls_ratio_top_z_1440,5,derives,6,-0.0006060414389284066,0.0043065348758988525,-0.34470690035845797,0.5,1.7195488797005307,-0.0004157544644225756,-0.0011900108428982937,0.49978551149722,0.4996540968854595,1.2634653945004521,0.20642197554243213,0.25347404349695707,1.0
parkinson_15,10,volatilite,6,-0.0005622875749279709,0.00246181730257698,-0.5594719176921636,0.6666666666666666,1.9805076768241834,-0.0013406833836035377,0.0005743668036895434,0.49787709092332005,0.49768925242376333,0.39747441997123373,0.6910176461523316,0.7608787708182816,1.0
rel_volume_60,5,volume,6,-0.0005134968923448218,0.0022061137335420973,-0.570145297418628,0.5,-0.07067532603793347,-0.0014986873555152952,0.0010770265314233053,0.49977304083538393,0.49988232981191194,-0.42930518885084584,0.6677011411895752,0.741725657951169,1.0
jump_ratio_240,10,volatilite,6,-0.0004233996192783705,0.0022323786566277237,-0.4645775578625873,0.5,-0.8892388912833532,-0.0019259480844745717,0.001728869676173102,0.49958805952726343,0.4995697042656155,-0.6802504919722318,0.49634586645254575,0.5742939470963635,1.0
rv_60,15,volatilite,6,-0.00039492516999572867,0.003126710316893099,-0.3093875207578157,0.5,1.8931244744025084,-0.0009696825097058014,0.0016043934595955298,0.4974874776352125,0.4980474684156569,0.511291755948085,0.6091467768451324,0.6842657739897116,1.0
rel_volume_tod,10,volume,6,0.00037416436218284374,0.0026626834298187825,0.34420605807587945,0.3333333333333333,0.2831281881683482,-0.0008957048420687915,0.0022694477670733956,0.5003263162187963,0.5005151460890374,0.39775184946162906,0.6908131135567372,0.7608787708182816,1.0
min_since_funding,10,calendrier,6,0.00029359673530255016,0.0011512733422192095,0.6246667626751071,0.5,0.03190840548755943,-0.0005421138661203621,0.0015103212761933167,0.5001284656491841,0.49986974145239965,0.1429973612395272,0.8862922652024147,0.9121063086696115,1.0
min_to_funding,10,calendrier,6,-0.00029359673530255016,0.0011512733422192095,-0.6246667626751071,0.5,-0.03190840548755943,0.0005421138661203621,-0.0015103212761933167,0.5001284656491841,0.49986974145239965,-0.1429973612395272,0.8862922652024147,0.9121063086696115,1.0
