jump,asset,n,n_markets,delay_first_ms_p25,delay_first_ms_median,delay_first_ms_p75,delay_first_ms_p90,delay_first_ms_censored,delay_first_ms_neg,delay_placebo_ms_p25,delay_placebo_ms_median,delay_placebo_ms_p75,delay_placebo_ms_p90,delay_placebo_ms_censored,delay_placebo_ms_neg,delay_50_ms_p25,delay_50_ms_median,delay_50_ms_p75,delay_50_ms_p90,delay_50_ms_censored,delay_50_ms_neg,delay_90_ms_p25,delay_90_ms_median,delay_90_ms_p75,delay_90_ms_p90,delay_90_ms_censored,delay_90_ms_neg
0.05,btc,99,12,126.40857696533203,242.39802360534668,352.13208198547363,829.4246196746826,0.010101010101010102,0.0,1183.0604076385498,2427.6559352874756,inf,inf,0.42424242424242425,0.0,240.5412197113037,393.73302459716797,754.2388439178467,18118.202209472656,0.09090909090909091,0.06666666666666667,364.809513092041,708.2390785217285,10227.12230682373,inf,0.21212121212121213,0.02564102564102564
0.05,eth,75,10,60.83250045776367,112.70785331726074,221.41003608703613,635.4868412017822,0.04,0.0,826.1668682098389,2306.17356300354,inf,inf,0.3333333333333333,0.0,96.08769416809082,213.85693550109863,491.4722442626953,12056.143760681152,0.08,0.15942028985507245,217.4851894378662,456.68816566467285,10644.071817398071,inf,0.17333333333333334,0.03225806451612903
0.1,btc,42,11,106.61101341247559,220.70837020874023,314.5334720611572,543.1826114654541,0.0,0.0,887.1376514434814,2579.5350074768066,inf,inf,0.38095238095238093,0.0,247.79725074768066,408.7095260620117,596.5559482574463,2616.4956092834473,0.07142857142857142,0.0,442.92140007019043,591.7720794677734,4399.27864074707,inf,0.11904761904761904,0.0
0.1,eth,33,9,48.56109619140625,148.33474159240723,223.86455535888672,635.4868412017822,0.030303030303030304,0.0,683.7673187255859,1574.9783515930176,2981.337785720825,inf,0.18181818181818182,0.0,200.81329345703125,248.83055686950684,491.4722442626953,inf,0.12121212121212122,0.06896551724137931,331.2654495239258,559.5839023590088,16840.953588485718,inf,0.18181818181818182,0.0
0.05,tous,174,22,96.24195098876953,196.763277053833,324.1267204284668,713.219404220581,0.022988505747126436,0.0,926.5697002410889,2379.5855045318604,inf,inf,0.3850574712643678,0.0,158.34355354309082,299.29614067077637,697.9341506958008,12056.143760681152,0.08620689655172414,0.1069182389937107,283.60915184020996,576.9872665405273,10227.12230682373,inf,0.19540229885057472,0.02857142857142857
0.1,tous,75,20,86.30704879760742,178.969144821167,306.7655563354492,635.4868412017822,0.013333333333333334,0.0,683.7673187255859,2377.434253692627,inf,inf,0.29333333333333333,0.0,227.7817726135254,307.3763847351074,500.1206398010254,18118.202209472656,0.09333333333333334,0.029411764705882353,371.05798721313477,589.7679328918457,6361.652851104736,inf,0.14666666666666667,0.0
