market,t_event,t_prev,t0,dP,p_prev,p_event,mid0,phase,delay_first_ms,delay_ask_ms,delay_bid_ms,delay_placebo_ms,delay_50_ms,delay_90_ms,censored_50,censored_90,jump,asset,duration
btc-updown-15m-1790419500,1790419544.8,1790419543.8,1790419544.7772453,0.06272551664333248,0.5992545230423296,0.6619800396856621,0.585,3,649.5180130004883,649.5180130004883,661.0140800476074,,661.0140800476074,868.3974742889404,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790419858.2,1790419857.2,1790419858.13517,0.13448569850388714,0.6185603608255985,0.7530460593294857,0.585,3,274.7347354888916,274.7347354888916,275.205135345459,,363.452672958374,571.4702606201172,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790420041.999,1790420040.999,1790420041.9643073,-0.07312867136729595,0.721737701826249,0.648609030458953,0.495,3,241.013765335083,241.3318157196045,241.013765335083,1689.7666454315186,,,True,True,0.05,btc,15m
btc-updown-15m-1790419500,1790420089.199,1790420088.199,1790420089.167832,-0.062499200091454266,0.6575518615872423,0.5950526614957881,0.525,3,109.98821258544922,110.80288887023926,109.98821258544922,,110.80288887023926,2035.5944633483887,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790420133.299,1790420132.299,1790420133.2465699,-0.08329893619362105,0.5197396853489659,0.4364407491553448,0.295,3,88.42778205871582,119.17948722839355,88.42778205871582,2427.6559352874756,119.17948722839355,136.2168788909912,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790420142.099,1790420141.099,1790420142.0078192,-0.07885427761280539,0.4357659017876334,0.356911624174828,0.195,3,219.6047306060791,223.71792793273926,219.6047306060791,1769.4823741912842,,,True,True,0.05,btc,15m
btc-updown-15m-1790419500,1790420144.099,1790420143.099,1790420143.2017956,0.05855211187098025,0.35791932086966893,0.4164714327406492,0.185,3,205.1990032196045,205.1990032196045,205.78336715698242,,205.78336715698242,364.809513092041,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790420155.099,1790420154.099,1790420155.04867,0.1061023273995263,0.4140579711765764,0.5201602985761027,0.46499999999999997,3,329.72216606140137,329.72216606140137,332.03673362731934,,496.13189697265625,589.7679328918457,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790420157.399,1790420156.399,1790420157.3487577,0.06678092764144294,0.5199054173772744,0.5866863450187173,0.525,3,110.55421829223633,110.55421829223633,112.28680610656738,1029.6344757080078,-292.0348644256592,-291.52846336364746,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790420161.499,1790420160.499,1790420161.4082778,0.15379304742660227,0.5869218104720468,0.7407148578986491,0.655,3,256.0734748840332,256.0734748840332,256.9594383239746,98.2205867767334,2616.4956092834473,10125.626802444458,False,False,0.05,btc,15m
btc-updown-15m-1790419500,1790420171.399,1790420170.399,1790420171.3981726,0.05250008946142892,0.7892368465439425,0.8417369360053715,0.755,3,126.40857696533203,126.40857696533203,126.40857696533203,2569.12899017334,126.40857696533203,3109.1463565826416,False,False,0.05,btc,15m
