margin,trigger,asset,n,n_markets,life_median_ms,life_p25_ms,life_p75_ms,life_p90_ms,surv_50ms,surv_150ms,surv_300ms,surv_1s,edge_life_median_ms,edge0_median_c,edge0_mean_c,size0_median,size_edge_median,share_removed_by_taker,censored
0.0,tous,tous,5524,22,800.2665042877197,84.34724807739258,4778.832912445068,18559.629440307617,0.8311006517016655,0.7304489500362057,0.667632150615496,0.5403692976104272,699.8195648193359,5.127547109364416,7.096964946639628,15.0,443.925,0.3856046463389338,703
0.01,tous,tous,4959,22,782.7918529510498,82.0920467376709,4580.812931060791,18002.355909347534,0.8294010889292196,0.7283726557773744,0.6664650131074813,0.538818310143174,686.347246170044,5.778421566843346,7.887766816974969,15.0,403.91999999999996,0.38825713622650265,650
0.02,tous,tous,4391,22,780.0028324127197,82.26871490478516,4443.946123123169,17589.33997154236,0.8305625142336598,0.7296743338647232,0.6679571851514461,0.5397403780460032,671.0801124572754,6.564822720801777,8.743352322996875,15.0,364.78,0.39647461194422523,590
0.0,tous,btc,2462,12,1748.5774755477905,237.66225576400757,8163.908004760742,27874.614000320435,0.904549147034931,0.8354995938261576,0.7831031681559708,0.6645004061738424,1455.4386138916016,5.0858779356923485,7.628125510394904,15.585,1174.4050000000002,0.656530408773679,456
0.01,tous,btc,2234,12,1699.5929479599,238.6043667793274,7921.394109725952,26272.931647300717,0.9064458370635631,0.8370635631154879,0.7855863921217547,0.6620411817367949,1447.2708702087402,5.689646814595068,8.394821631898237,15.0,1102.905,0.6532079646017699,426
0.02,tous,btc,2006,12,1614.2027378082275,236.96351051330566,7365.273714065552,24738.256263732917,0.9067796610169492,0.8374875373878365,0.7836490528414756,0.6600199401794616,1357.2471141815186,6.420327820004179,9.21251453841034,15.0,997.105,0.655534941249227,389
0.0,tous,eth,3062,10,425.49848556518555,50.91536045074463,2982.9176664352417,12016.35718345642,0.7720444154147615,0.6459830176355323,0.5747877204441542,0.4405617243631613,373.1951713562012,5.134879221304916,6.669885486167554,15.0,271.0,0.1925399644760213,247
0.01,tous,eth,2725,10,397.4418640136719,47.8510856628418,2767.7910327911377,11405.778884887695,0.7662385321100917,0.6392660550458715,0.5688073394495413,0.43779816513761466,346.64130210876465,5.872664985498222,7.472074906318609,15.0,260.0,0.19672131147540983,224
0.02,tous,eth,2385,10,404.5332670211792,47.82533645629883,2715.189576148987,11178.682351112375,0.7664570230607967,0.6389937106918239,0.5706498951781971,0.43857442348008385,344.17271614074707,6.660125009056489,8.348744606384964,15.0,252.45,0.20467032967032966,201
0.0,carnet,tous,1083,22,1086.5333080291748,167.72174835205078,6550.394535064697,20707.42492675782,0.8725761772853186,0.7867036011080333,0.716528162511542,0.5558633425669437,825.1161575317383,1.744550436879938,3.258383476514749,15.0,98.78999999999999,0.3771839671120247,110
