asset,horloge,horizon_s,lag_ms,corr_max,corr_lag0,n,basis_median_pb,basis_p10_pb,basis_p90_pb,basis_sd_pb
btc,rx,1.0,700,0.7138804918920226,0.48336764777293045,3403,-2.0892639832226223,-2.497275383040787,-1.7092571560048953,0.3031709239733735
btc,rx,5.0,700,0.8985956723621076,0.8552893586166235,3390,-2.0892639832226223,-2.497275383040787,-1.7092571560048953,0.3031709239733735
btc,serveur,1.0,600,0.676144004057348,0.48494178657690495,3404,-2.0879721973443566,-2.49638160762089,-1.7084786984149503,0.3020105227391631
btc,serveur,5.0,500,0.8944904469352268,0.855574221076987,3391,-2.0887839586336554,-2.494077027627384,-1.7084786984149503,0.30011793815459203
