latency_ms,n_opp,n_filled,fill_rate,shares,total,per_opp,per_share,n_groups,margin,trigger,valeur,per_opp_lo,per_opp_hi,per_hour,per_hour_lo,per_hour_hi,hours,mean_edge_fill_c,edge_per_hour
0,4959,4959,1.0,103730.92,-2441.16795098,-0.49227020588425086,-0.02353365757268903,22,0.01,tous,markout,-1.0086574437108413,-0.04119942984609416,-2844.0791661902917,-5523.503038832037,-257.08239155504896,0.8583333333333333,7.887766816974969,9540.01100735841
25,4959,4867,0.9814478725549506,166012.19,-4208.1599947800005,-0.8485904405686632,-0.025348499979308752,22,0.01,tous,markout,-1.5338524458929443,-0.23552258093275322,-4902.710673530098,-8430.028032517868,-1485.8633753968013,0.8583333333333333,8.129134256407355,15373.501816949703
50,4959,4834,0.974793305101835,176419.44,-4176.710246130001,-0.842248486817907,-0.023674886657218733,22,0.01,tous,markout,-1.573724962952421,-0.18205699783650237,-4866.070189666021,-8705.633588323692,-1154.3537103897095,0.8583333333333333,8.256519596951717,16672.71000140938
100,4959,4750,0.9578544061302682,184844.7,-4378.4985935899995,-0.8829398252853397,-0.023687444614803665,22,0.01,tous,markout,-1.692198324110984,-0.16100348807686465,-5101.163410007766,-9341.627653758353,-1040.6735015755337,0.8583333333333333,8.477551592889892,17962.996524797203
150,4959,4705,0.9487799959669289,184993.12,-4242.42546343,-0.8555001942790884,-0.02293288238735581,22,0.01,tous,markout,-1.6665195403588169,-0.12427176360532693,-4942.631607879612,-9111.717928789803,-817.2193648843675,0.8583333333333333,8.617664212374402,18225.715643974796
200,4959,4661,0.9399072393627748,186881.86,-3951.917576680001,-0.7969182449445454,-0.0211466087542151,22,0.01,tous,markout,-1.6185857498656044,-0.03547834672395039,-4604.175817491263,-8809.715184187864,-216.82464138029206,0.8583333333333333,8.72600357758137,18597.861275880652
300,4959,4608,0.9292196007259528,187560.54,-3894.6996081,-0.7853800379310345,-0.020765026631401253,22,0.01,tous,markout,-1.6464372028241354,0.020257330931807968,-4537.514106524272,-9075.683409683885,125.32417638611908,0.8583333333333333,8.914129189583072,19329.486840992107
500,4959,4512,0.9098608590441621,183184.94,-3502.412513830001,-0.7062739491490222,-0.019119543963766895,22,0.01,tous,markout,-1.5971327765178607,0.10646126440586384,-4080.4805986368947,-8676.36864817864,685.9895802731099,0.8583333333333333,9.205291680782727,19136.977877892987
750,4959,4448,0.8969550312563017,181675.11000000002,-3212.31243026,-0.6477742347771728,-0.017681631954206602,22,0.01,tous,markout,-1.5302739597527788,0.16853589867735647,-3742.4999187495146,-8344.098713545342,1013.5278072856244,0.8583333333333333,9.422352786659637,19368.05417802513
1000,4959,4398,0.8868723532970357,180934.93,-3344.034613420001,-0.6743364818350476,-0.018481973676503487,22,0.01,tous,markout,-1.5240600773717228,0.12228594454053236,-3895.9626564116516,-8387.117170863788,753.1029074979682,0.8583333333333333,9.575382094026056,19786.732194112978
2000,4959,4261,0.8592458156886469,174003.31,-4641.69100556,-0.9360135119096592,-0.026675877634511666,22,0.01,tous,markout,-1.8085884891295756,-0.1878151329334396,-5407.795346283496,-9937.695103123688,-1192.9619379530143,0.8583333333333333,10.263691279985828,20551.645786924873
