slug,fk_chainlink_pb,fk_binance_pb,diff_pb,k_chainlink,k_chainlink_arith
btc-updown-15m-1790419500,4.223748465861377,4.884209065334488,-0.6604605994731116,84125.8063916507,84125.80651215142
btc-updown-5m-1790419500,0.9595115771965368,1.3316619556036358,-0.37215037840709897,84125.8063916507,84125.80651215142
btc-updown-5m-1790419800,-0.31588907566160174,-0.0851303939342074,-0.23075868172739433,84133.87874743782,84133.87875007359
btc-updown-5m-1790420100,3.5801259643264416,3.63767750366506,-0.05755153933861834,84131.22109209532,84131.2211121857
btc-updown-5m-1790420400,-1.5632281356836586,-1.4300807928080417,-0.13314734287561691,84161.34652131934,84161.34652167956
btc-updown-5m-1790421600,-2.5776864931614796,-2.242877261391385,-0.3348092317700946,84182.42816504506,84182.4281980384
