k_hours,group,n_wallet_hours,n_active_next,share_active_next,share_active_next_lo,share_active_next_hi,share_top10_next,share_top10_next_lo,share_top10_next_hi,mean_pnl_next,mean_pnl_next_lo,mean_pnl_next_hi,share_positive_next,share_positive_next_lo,share_positive_next_hi,roi_next,roi_next_lo,roi_next_hi
1,top10,470,402,0.8553191489361702,0.8191489361702128,0.8914893617021277,0.13829787234042554,0.10851063829787234,0.16808510638297872,69.4379706451312,-63.99396936412449,249.19136657269755,0.5049751243781094,0.45160686992196925,0.5563734917043741,0.013762159127220827,-0.013891512530190603,0.04835949644372593
1,reste,145265,105452,0.7259284755446942,0.718680486070628,0.7333937781816141,0.002299246205211166,0.002150370570836644,0.0024548837642139267,-3.0253094917866394,-4.241459713518825,-2.0474929840339664,0.538719038045746,0.5286404306330924,0.5481511460737238,-0.01005414763514478,-0.013879860477195341,-0.006741975019918201
2,top10,460,359,0.7804347826086957,0.7303804347826087,0.8260869565217391,0.1,0.07173913043478261,0.1282608695652174,-83.86643283309256,-187.07361131525633,29.63086205383738,0.5153203342618384,0.45329573047349253,0.5775084114883865,-0.017637075528848745,-0.0422785131682855,0.00465021403045452
2,reste,142528,95609,0.670808542882802,0.6622657669295104,0.6799932521069947,0.002104849573417153,0.0019216929430384312,0.0022878994227516023,-2.080205497101427,-2.918654525105323,-1.2082976018614267,0.5446349193067598,0.5354794879020832,0.5532599293185554,-0.006765300990604851,-0.009585442501752844,-0.00412964466524343
6,top10,420,294,0.7,0.6428571428571429,0.7547619047619047,0.07380952380952381,0.047619047619047616,0.10476190476190476,-41.260393652758715,-130.8515260208846,49.98037858235279,0.5272108843537415,0.4511784511784512,0.6076960784313725,-0.010671620862300902,-0.03407732725329604,0.012608502995449855
6,reste,130075,77681,0.5972016144532001,0.5837955651540461,0.6111265252900229,0.001945031712473573,0.0017789770574950744,0.0021211899800714783,-1.4365232398368146,-2.5044636100278024,-0.31616210488831614,0.550958406817626,0.5405356466215839,0.5604587346714254,-0.004523000517682846,-0.007829958922537218,-0.0012346412514788008
