group,K,lookback_h,delay_s,price_estimator,n_events,n_filled,n_discarded_no_trade_10s,n_wallets,n_slots,mean_price,mean_wait_s,win_rate,pnl_gross_per_share,mean_fee_per_share,pnl_per_share,pnl_lo,pnl_hi,pnl_se,pnl_bonf_lo,pnl_bonf_hi,roi,roi_lo,roi_hi,pnl_per_share_size_weighted,pnl_sw_lo,pnl_sw_hi,leader_own_pnl_per_share_same_events,leader_own_lo,leader_own_hi,leader_own_pnl_per_share_all_events,leader_price_mean,leader_taker_share
hors_echantillon,5,1,0,first,17282,16054,1228,80,166,0.5322654834894543,1.3742369502927618,0.5281549769527843,-0.00411050653666999,0.012595018587509417,-0.01670552512417941,-0.03226667351902544,-0.0016521812469139062,0.007837252060741064,-0.04498183306777843,0.01157078281941961,-0.030660187443390205,-0.05920364032404579,-0.00309203357868563,-0.013515177136006036,-0.047945109390237974,0.017398038724162353,-0.00562905691559694,-0.021154162586547093,0.009288544814299823,-0.00608038905728272,0.526865436783236,0.672456874005958
hors_echantillon,5,1,0,vwap,17282,16054,1228,80,166,0.5347111481296917,1.3742369502927618,0.5281549769527843,-0.0065561711769073616,0.012575907059528265,-0.019132078236435625,-0.033878044058277657,-0.004635853031880297,0.007463855611938516,-0.04606119549514186,0.007797039022270608,-0.034958031722166105,-0.06184546186713182,-0.008491924899842821,-0.016465459843653142,-0.049969810055555716,0.014425416773040232,-0.00562905691559694,-0.021154162586547093,0.009288544814299823,-0.00608038905728272,0.526865436783236,0.672456874005958
hors_echantillon,5,1,0,best,17282,16054,1228,80,166,0.5316665913134296,1.3742369502927618,0.5281549769527843,-0.0035116143606453124,0.012594318323681403,-0.01610593268432672,-0.030823627729378616,-0.001576832065650826,0.0074569846162593914,-0.04301025982677839,0.010798394458124954,-0.02959230104375021,-0.05674597367887192,-0.002943785685852766,-0.012828815120139973,-0.04638991723654979,0.017806507952495033,-0.00562905691559694,-0.021154162586547093,0.009288544814299823,-0.00608038905728272,0.526865436783236,0.672456874005958
hors_echantillon,5,1,1,first,17282,15979,1303,80,166,0.5328010061817825,1.3677326491019464,0.5283810000625822,-0.004420006119200202,0.012544801078449614,-0.016964807197649815,-0.03175926977166237,-0.0014937604529050585,0.007635013928215028,-0.04451145279672755,0.010581838401427918,-0.031108348082622053,-0.058477415320212583,-0.0027425258360680967,-0.015208095124951046,-0.04953485123734411,0.018408198181880463,-0.005303257318666218,-0.02102286975892933,0.00980318123318309,-0.00608038905728272,0.5267768706635289,0.6737355335862173
hors_echantillon,5,1,1,vwap,17282,15979,1303,80,166,0.535371469802155,1.3677326491019464,0.5283810000625822,-0.006990469739572779,0.01250979742864197,-0.019500267168214756,-0.035095688599915034,-0.005842148957211047,0.007528111504729292,-0.0466612156092871,0.00766068127285759,-0.035592140732930364,-0.06375445973327072,-0.010631316783401635,-0.01781391250887463,-0.051531875216878166,0.013750636440788123,-0.005303257318666218,-0.02102286975892933,0.00980318123318309,-0.00608038905728272,0.5267768706635289,0.6737355335862173
hors_echantillon,5,1,1,best,17282,15979,1303,80,166,0.5321944135833282,1.3677326491019464,0.5283810000625822,-0.0038134135207459736,0.012545962652674799,-0.016359376173420776,-0.03180940562524104,-0.0026148366335131375,0.007526056345831795,-0.043512909731647925,0.010794157384806376,-0.030031510214938155,-0.05825534353043576,-0.0048102068936552575,-0.014436522904002075,-0.048280297926590776,0.01731291589477883,-0.005303257318666218,-0.02102286975892933,0.00980318123318309,-0.00608038905728272,0.5267768706635289,0.6737355335862173
hors_echantillon,5,1,2,first,17282,15990,1292,80,166,0.5331297027951533,1.331957473420888,0.5282051282051282,-0.0049245745900250186,0.012495949155101646,-0.01742052374512666,-0.03272448065533877,-0.0029822927616325644,0.007572340452156691,-0.04474104742096058,0.00989999993070726,-0.03192761132629979,-0.05988330293106296,-0.005413681406910548,-0.014941983456883398,-0.048486779419912376,0.015345431208359185,-0.0053127642586119905,-0.02099864487446186,0.009619999547469935,-0.00608038905728272,0.5266076304293701,0.6711030510654111
hors_echantillon,5,1,2,vwap,17282,15990,1292,80,166,0.5353859262373648,1.331957473420888,0.5282051282051282,-0.007180798032236753,0.01246156571142935,-0.019642363743666104,-0.03476213019637737,-0.004928997190588655,0.007685495703733568,-0.04737114438434245,0.008086416897010243,-0.03585370752322805,-0.06351272309486382,-0.009120031756289672,-0.017418037287911393,-0.0502492296548026,0.01393414763967582,-0.0053127642586119905,-0.02099864487446186,0.009619999547469935,-0.00608038905728272,0.5266076304293701,0.6711030510654111
hors_echantillon,5,1,2,best,17282,15990,1292,80,166,0.5325298009992182,1.331957473420888,0.5282051282051282,-0.00432467279409005,0.012497209060536632,-0.01682188185462668,-0.03188764561624138,-0.002166804141494816,0.0076939640098687735,-0.044581215606289366,0.010937451897036009,-0.03086430863817627,-0.05879358599979587,-0.004000771302968308,-0.014229066774754603,-0.046791323120606285,0.016789747934600335,-0.0053127642586119905,-0.02099864487446186,0.009619999547469935,-0.00608038905728272,0.5266076304293701,0.6711030510654111
hors_echantillon,5,1,3,first,17282,15926,1356,80,166,0.533155983174551,0.9733768680145674,0.5286324249654653,-0.004523558209085773,0.012453047405161573,-0.016976605614247346,-0.032768742068426095,-0.0021196831288491256,0.007673916803974522,-0.04466361031959619,0.010710399091101497,-0.031114964494281933,-0.059369428374540886,-0.0038900575146918986,-0.014390694926209799,-0.045460418953224745,0.01694850404062374,-0.004810943283819255,-0.020367116948877762,0.010091438347113426,-0.00608038905728272,0.5265381978511918,0.6720163037242771
