hour,rank,wallet,name,pseudonym,pnl,pnl_incl_rebate,fees,rebate_est,volume,n_markets,n_trades,win_rate,taker_share,first_t_rel_median,t_rel_median,assets
2026-09-23 21:00:00+00:00,1,0x3c58ef422754ff22c7e806336feba0064d8b776b,antsaslyku,Periodic-Scrap,1031.936810981455,1033.7941033513966,130.4867,1.8572923699416406,4494.641300018545,41,383,0.6829268292682927,0.94211004112833,92.0,194.0,"btc,eth,sol"
2026-09-23 21:00:00+00:00,2,0xc2ad03f79ca3f3c17d8c7de2612ce0c89b7d40ed,bosona,Impolite-Sister,993.231874044576,1028.0015192413036,28.533929999999998,34.7696451967277,6197.718541955424,23,150,0.4782608695652174,0.14341430543705913,64.0,192.0,"btc,eth"
2026-09-23 21:00:00+00:00,3,0x32ed2e546b187ca15e2841edc82b22c713cf8ec3,mo-money,Amazing-Mail,966.2074879838506,1001.8480450932483,22.100450000000002,35.64055710939775,5976.700221016149,24,249,0.5,0.10240433305550165,54.0,212.0,"btc,eth,sol"
2026-09-23 21:00:00+00:00,4,0xc387c2a40d389f17b723b6bba9b18b7dbd2de4f4,flippingsharks,Ambitious-Membership,933.4232859922624,946.472193011395,0.0,13.04890701913253,2801.3989310077377,21,160,0.7142857142857143,0.0,166.0,200.0,"btc,eth"
2026-09-23 21:00:00+00:00,5,0xb4077d7ecb09e5478305fb0c71bc176a5eda252c,0xB4077D7ecB09E5478305fB0c71Bc176a5EDa252c-1772320937442,Expensive-Arrest,847.5685710306493,847.5685710306493,168.55292,0.0,11088.527184059587,7,71,0.5714285714285714,1.0,32.0,104.0,btc
2026-09-23 21:00:00+00:00,6,0x6d0194729138692c6db1ca949b54ed6567f17137,Lion1123,Regal-Virus-Smock,666.6682509814025,666.6682509814025,48.76833,0.0,1493.6872820004155,6,134,0.8333333333333334,1.0,35.5,95.0,btc
2026-09-23 21:00:00+00:00,7,0x4a86dfe0f05e34b133b29b7626368e78912c501e,komsa,Perfumed-Praise-Retrospective,637.1067833055745,637.1067833055745,763.49389,0.0,37192.50568564559,8,41,0.375,1.0,79.5,110.0,btc
2026-09-23 21:00:00+00:00,8,0xf3326d8fc30f7ed01bfade12c706cb52c397b1c0,0xf3326D8Fc30F7Ed01BfAde12c706cb52c397B1c0-1780211395335,Friendly-Diam,636.3817829976327,662.7135858039982,0.0,26.331802806365403,5820.2246070023675,11,181,0.6363636363636364,0.0,40.0,184.0,btc
2026-09-23 21:00:00+00:00,9,0x89b49405e761b7357398a8a2b91a9fbaa96f4f46,0x89B49405e761b7357398A8A2B91a9FBaA96F4F46-1770905549748,Pure-Light,630.6429999593887,630.6429999593887,88.11193,0.0,3328.935095040611,9,32,0.3333333333333333,1.0,8.0,-88.0,btc
2026-09-23 21:00:00+00:00,10,0xe8d68fd271ad704a55f9bb0e4fc6276ee9adc964,Little-big,Rubbery-Chiffonier,535.8723989965576,535.8723989965576,22.21998,0.0,602.9943000034424,12,22,0.9166666666666666,1.0,-14.5,-13.5,"btc,eth"
