lookback_h,K,n_hours,n_leader_hours,share_active,share_active_lo,share_active_hi,mean_pnl_active,mean_pnl_lo,mean_pnl_hi,share_positive,share_positive_lo,share_positive_hi,roi,roi_lo,roi_hi
1,5,42,210,0.8380952380952381,0.7761904761904762,0.8952380952380953,-64.94322419235174,-195.26821058172033,68.29544169534792,0.5227272727272727,0.4486346182247822,0.603448275862069,-0.010936982835896121,-0.032902527004638644,0.01112116560493397
1,10,42,420,0.8571428571428571,0.819047619047619,0.8928571428571429,-20.4361588556904,-90.50123703743476,48.159908651396094,0.5,0.44749915120837064,0.5546519279612098,-0.004133579137505025,-0.01830893163142887,0.009435850349809177
1,20,42,840,0.8571428571428571,0.825,0.8857142857142857,-0.01430398945411058,-42.49091899226042,44.21185301975067,0.5375,0.4957130470685384,0.578431706925608,-3.4614816265344844e-06,-0.010193395229930484,0.010146265655107083
1,autres,42,550578,0.2359157103988899,0.22945336537239047,0.24230989977805142,-2.4250844829158122,-2.680419249509441,-2.1827802327011536,0.546493186542459,0.5369805934023937,0.5558594404567908,-0.010470523935538418,-0.011577852751159304,-0.00939268578932657
6,5,42,210,0.6523809523809524,0.5714285714285714,0.7285714285714285,-163.38740620322355,-347.16079076287895,16.39519852494672,0.48175182481751827,0.4014084507042254,0.5693456001622059,-0.03240610575750527,-0.07347840253995316,0.0024912716685727295
6,10,42,420,0.6595238095238095,0.580952380952381,0.7333333333333333,-107.30719301338,-211.6796816286644,-2.952585052815237,0.5234657039711191,0.46616002371520193,0.5793451521471736,-0.022540627429997705,-0.04559129024091063,0.0002165259944740246
6,20,42,840,0.694047619047619,0.6333333333333333,0.7476488095238094,-17.665159475959616,-82.6815214210899,63.19723324277338,0.5437392795883362,0.5,0.5863741986959787,-0.004277143003281393,-0.02016385151394926,0.013777118634587152
6,autres,42,550578,0.23616453981088964,0.2297720758911544,0.2425475137037804,-2.343403557598478,-2.710817932893388,-2.0326139606840363,0.546455736116345,0.536919087736305,0.5558207849636024,-0.009941032951234344,-0.011482808977151916,-0.00863590050273909
