leaderboard,rank,wallet,user_name,lb_pnl,lb_vol,our_pnl,our_volume,rank_pnl,rank_vol
day_vol,22,0xd4fa2e10c74ab94bc23414989a516b07386ddcc8,quantbarbie,-116768.78972759497,242360.08360999994,-366.32079598896496,130378.97715698897,9157.0,17.0
day_vol,23,0x576b0696fd5a9225d66fd9500fd98f5be10b0cab,Hcrystallash,-94236.05773321498,237968.8259360002,-781.1122740900875,69591.75360809009,9272.0,43.0
day_vol,24,0x9e3ed7b661a903fc97afcf49e0f014ebe869f882,0x9e3ed7b661a903fc97afcf49e0f014ebe869f882-1783406009396,-11152.754167476034,233818.71679000015,-11204.061209562231,85925.8442016527,9382.0,31.0
day_vol,25,0x4a86dfe0f05e34b133b29b7626368e78912c501e,komsa,1809.3669550000002,233175.84308900006,-470.75983659530283,177509.98062666628,9207.0,10.0
day_vol,26,0x758dac51ba3cc9a246a79787da9df11c5f425d9e,a5533,-4653.595562779501,212827.0587470001,-453.48049895737165,37078.956964957375,9200.0,104.0
day_vol,27,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,8490.120411285496,211685.121753,8501.667114634241,90711.37360211459,1.0,27.0
day_vol,28,0xefd1144fefbeaa6f181392a9ef73c2d5e275c520,benzeau,749.1268429999955,206159.43988200004,-645.3259265273456,88576.42691706379,9255.0,29.0
day_vol,29,0x9547dd1651c3c1f9d12c538361bce4338b727117,asdaf54123,-102798.486172,203532.33537600006,-15316.432500679073,102798.48617167908,9383.0,24.0
day_vol,30,0xc53375ff94e96100f2b30a4b5775db35218d69a9,dangerously-skip-permissions,-95371.52667898001,198509.02356100013,2129.923258040194,107912.21226795981,23.0,23.0
day_vol,31,0xcfddfb6e1b321fcfdcb6f9aa09b11990142ce5da,trdyugiolkw,-83371.88511073997,188932.59517699998,-1566.1949339611924,119303.2794639612,9337.0,20.0
day_vol,32,0xb945945d5bcaf7b56834d4da8cdf8f8f94b2db68,l5Zn1bWoM8eTsK,-81430.05401136499,184887.725346,-2081.1868299948787,115660.29823899489,9354.0,21.0
day_vol,33,0x32ed2e546b187ca15e2841edc82b22c713cf8ec3,mo-money,-26965.127514060005,182054.4759599999,1055.0555790600486,75853.31374993995,56.0,36.0
day_vol,34,0xc2ad03f79ca3f3c17d8c7de2612ce0c89b7d40ed,bosona,2104.6511732000026,175842.74639700013,419.4446630919393,70739.32550390805,171.0,41.0
day_vol,35,0xb1d30490fa2ec8dc55591e8c71d3d64b6e0fc279,hoodquant,-153920.89389600002,170892.24176700003,-24.95623496234367,149299.16983296233,7702.0,15.0
day_vol,36,0x3725d52f3c252e8374999cc8617292ea2608ad88,almach,-32026.733820158024,169128.897263,1177.3927170407956,71855.31827095921,49.0,39.0
day_vol,37,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,Bonereaper,-90159.17474755505,166369.4756460001,-943.0400250420188,67217.23193004202,9297.0,50.0
day_vol,38,0xe29042f5d913dcc4015aab3455c13c58514ca33f,stepahead,-58810.89738006001,165752.24774299996,43.511636042930405,88554.33244595707,895.0,30.0
day_vol,39,0x2ed94d1a460379292d2e3b46f2cf7d94b033f271,Hsilverbasher,-87874.15077067996,164146.52534200024,-232.47679100871613,62633.13137000872,9040.0,59.0
day_vol,40,0x8970b56535153baadee991ca25a178ac085636b5,averagerandomman,-50483.10710271252,163592.7627040001,30.383649995799864,30140.0775100042,1088.0,139.0
day_vol,41,0x239e726f1f4131ca78a7e5abf1fec86bfc151c10,EZTRADENL2,-81051.50049766996,157081.394076,3029.5189180344873,101461.28568396551,10.0,25.0
day_vol,42,0x95f51617e900f7d4df2894d77a73c1b2b269779f,0x95F51617E900F7d4df2894D77A73c1b2B269779F-1767804195553,-55437.13695424001,154564.38299,-1273.2742019873108,67498.4682369873,9324.0,48.0
day_vol,43,0xfc369971792d08e095da0f6fdb23fa927c60ce29,gesinimen,-148196.72018,154133.60200000007,683.5736499940165,150941.009700006,100.0,13.0
day_vol,44,0xc5e6250906f3a43348374632092a64ee2cf22d79,peipeipei,-101634.82560699999,151283.27367900006,-556.2557372110188,121751.59668623976,9239.0,18.0
day_vol,45,0xb7cd8599d690b62e5a50e9cabacbbf900d086827,ZeinST,-92835.48076,150561.24,,,,
day_vol,46,0x8bf4e27a45614d084e9b90bd6bc489c866a811d8,Paulkao1982,-341.5709650000008,149404.142885,-502.98573841510967,148413.56467241512,9218.0,16.0
day_vol,47,0x6916cc00aa1c3e75ecf4081df7cae7d2f3592fd4,x6916Cc00AA1c3e75ECf4081DF7caE7D2f3592fd4,967.7229530085388,145772.242276,,,,
day_vol,48,0xdb5ad26b68d77ae966d29e7180147272ab7a3965,0xDB5,-6690.984073618005,132803.112463,,,,
day_vol,49,0x5e60d871c2d646de185e541290689b727ef0e468,0x3664555C090fBEFHSVE94a7d216FCe860d746HD5,-66396.43859699999,126560.67126600009,-1405.5103090280857,67266.55069104533,9331.0,49.0
day_vol,50,0xc1b4bfdc36eaa5c09e7231c61e5e44c5463f624f,sir-upalot,-64628.843502859985,124202.76111600004,-512.1096499317115,77113.67076193172,9223.0,35.0
