group,t_rel_s,n_fills,share_of_group_fills,notional,share_of_group_notional
top10_heure,-60,14,0.00015695595143334418,459.9621229729166,0.0001667633262208511
top10_heure,-59,1,1.1211139388096012e-05,3.0552950001882992,1.1077241611204094e-06
top10_heure,-58,28,0.00031391190286668836,2389.8434910036167,0.0008664588447655295
top10_heure,-57,79,0.000885680011659585,623.670548006819,0.00022611726021997284
top10_heure,-56,3,3.3633418164288035e-05,5.807293000000085,2.1054853185728576e-06
top10_heure,-55,55,0.0006166126663452807,938.9752300003292,0.0003404337548095535
top10_heure,-54,54,0.0006054015269571847,796.2192120041989,0.0002886763008583286
top10_heure,-53,1,1.1211139388096012e-05,9.66,3.5023182362958966e-06
top10_heure,-52,51,0.0005717681087928966,2036.9269699975662,0.0007385058460688841
top10_heure,-51,34,0.00038117873919526444,475.0234779904836,0.00017222395337834092
top10_heure,-50,4,4.484455755238405e-05,146.86969800190298,5.324890493492089e-05
top10_heure,-49,29,0.00032512304225478433,677.2959489979663,0.00024555962252017735
top10_heure,-48,26,0.0002914896240904963,1084.7212530106092,0.0003932752614613656
top10_heure,-47,1,1.1211139388096012e-05,204.58720000000002,7.417489456239295e-05
top10_heure,-46,27,0.00030270076347859234,1288.962468038185,0.0004673247161191617
top10_heure,-45,59,0.0006614572238976647,3319.133991010503,0.001203381315261456
top10_heure,-44,0,0.0,0.0,0.0
top10_heure,-43,40,0.0004484455755238405,1931.1210330324554,0.000700144970029414
top10_heure,-42,40,0.0004484455755238405,1900.4259090351613,0.0006890161819816824
top10_heure,-41,1,1.1211139388096012e-05,25.5,9.245250002644448e-06
top10_heure,-40,36,0.0004036010179714564,2126.3132999906975,0.0007709136487200753
top10_heure,-39,64,0.0007175129208381448,3341.2684440247217,0.0012114063565080537
top10_heure,-38,2,2.2422278776192025e-05,389.30000001,0.0001411441500439975
top10_heure,-37,53,0.0005941903875690887,1519.459298008474,0.0005508933756443519
top10_heure,-36,50,0.0005605569694048006,1888.1233399960147,0.0006845557770231842
top10_heure,-35,5,5.605569694048006e-05,331.16513299979596,0.00012006684104871029
top10_heure,-34,38,0.00042602329674764846,1033.6521380063136,0.0003747597032014239
top10_heure,-33,39,0.0004372344361357445,785.4322510010172,0.00028476539296643877
top10_heure,-32,2,2.2422278776192025e-05,3.765817000000109,1.3653301815376279e-06
top10_heure,-31,72,0.0008072020359429128,1541.3429149962753,0.0005588274740762868
top10_heure,-30,69,0.0007735686177786249,1448.9738049869468,0.0005253382382112669
top10_heure,-29,1,1.1211139388096012e-05,1.54,5.58340588394998e-07
top10_heure,-28,71,0.0007959908965548168,2311.2563099827676,0.0008379663688619678
top10_heure,-27,101,0.0011323250781976972,3290.8364529938717,0.0011931217931664328
top10_heure,-26,10,0.00011211139388096013,157.9938969974358,5.728208143660195e-05
top10_heure,-25,72,0.0008072020359429128,1151.3511010080772,0.00041743250077018093
top10_heure,-24,59,0.0006614572238976647,1303.183478999277,0.0004724806691240889
top10_heure,-23,8,8.96891151047681e-05,54.29819999852039,1.968629151685919e-05
top10_heure,-22,104,0.0011659584963619853,4204.327396017778,0.0015243159948686855
top10_heure,-21,84,0.000941735708600065,1568.4366410284779,0.0005686505435143601
top10_heure,-20,15,0.00016816709082144018,269.84223101322635,9.783368184269077e-05
top10_heure,-19,101,0.0011323250781976972,2405.1452449840617,0.000872006630688203
top10_heure,-18,74,0.0008296243147191049,2091.0928129713798,0.000758144150378566
top10_heure,-17,16,0.0001793782302095362,192.49576399867277,6.979103774971664e-05
top10_heure,-16,133,0.0014910815386167697,3087.8887739700563,0.0011195413214004871
top10_heure,-15,77,0.000863257732883393,1514.0298920149116,0.0005489248965942994
top10_heure,-14,17,0.00019058936959763222,605.9255609755738,0.0002196836585965397
top10_heure,-13,77,0.000863257732883393,1931.2965170017549,0.0007002085932908896
top10_heure,-12,89,0.000997791405540545,4792.221252020215,0.0017374620997220654
top10_heure,-11,3,3.3633418164288035e-05,23.2929,8.445046423003797e-06
top10_heure,-10,75,0.0008408354541072009,2037.2343410219557,0.0007386172861459057
top10_heure,-9,94,0.001053847102481025,2742.0623660066826,0.0009941589057480204
top10_heure,-8,11,0.00012332253326905615,365.56768601149145,0.0001325397901986065
top10_heure,-7,147,0.0016480374900501138,3847.333882034026,0.0013948848463940843
top10_heure,-6,79,0.000885680011659585,2189.2367300043506,0.000793727093484786
top10_heure,-5,9,0.0001009002544928641,152.23480099770603,5.519407036574975e-05
top10_heure,-4,90,0.001009002544928641,2632.5974559724705,0.0009544714367369117
top10_heure,-3,113,0.0012668587508548495,2967.396026002904,0.0010758556124411949
