K,lookback_h,delay_s,dimension,value,n_filled,share_of_events,mean_price,win_rate,pnl_per_share,pnl_lo,pnl_hi,leader_own_pnl_per_share,leader_own_lo,leader_own_hi
10,1,0,actif,btc,30781,0.8223837131635897,0.5094546085638998,0.50735843539846,-0.014481700423724042,-0.02427569306045593,-0.005387865012222198,-0.0007810834354953242,-0.010827204623844342,0.0082696344175203
10,1,0,actif,eth,4531,0.12105586577252932,0.5392868532794527,0.541602295299051,-0.010388754937311522,-0.030635215160064025,0.011173240692080458,0.0003044202133177742,-0.01957789603510935,0.02106992907192616
10,1,0,actif,sol,2117,0.05656042106388095,0.559225025205385,0.5654227680680208,-0.006597612022379872,-0.04159316288248172,0.021878570717535892,0.006307507032526676,-0.026409959772702694,0.03504600558689951
10,1,0,duree,15m,6875,0.18368110288813486,0.5326722517074327,0.5259636363636364,-0.01930860808138088,-0.04360211585831792,0.006705117771294959,-0.007996690645713142,-0.03279154858545373,0.016934609576098172
10,1,0,duree,5m,30554,0.8163188971118651,0.5121027913296393,0.512273352097925,-0.012242362160617035,-0.020765298467471837,-0.0038476415769888605,0.0014946337414315006,-0.007109017218789806,0.00988978689980379
10,1,0,role_du_leader,maker,21856,0.5839322450506292,0.4860134203702325,0.48128660322108346,-0.016872771002288792,-0.028826304088720632,-0.005559965208759917,0.0019660836205883003,-0.010290436255832558,0.013230443000616812
10,1,0,role_du_leader,preneur,15573,0.4160677549493708,0.5577988249638862,0.5618056893341039,-0.00886332312264578,-0.019733688030929127,0.0017776739246009932,-0.003357152280559804,-0.01464832731162238,0.008282665388011723
10,1,0,prix_du_leader,"0,30–0,70",18126,0.48427689759277565,0.5131678190085402,0.5081098973849718,-0.021543361133173955,-0.03533966450730445,-0.007909749417403116,-0.005978267006746628,-0.01933004394334915,0.008456272367685314
10,1,0,prix_du_leader,"< 0,30",9166,0.2448903256832937,0.15753020042447088,0.16190268383155137,-0.004328263336503764,-0.03510594314783666,0.026047839265617396,0.008172305595038556,-0.02126708781103984,0.03901208166282648
10,1,0,prix_du_leader,"> 0,70",10137,0.27083277672393063,0.8447576908685903,0.8458123705238236,-0.007559631880505262,-0.03486851890661352,0.018122687638744805,0.002381819653406928,-0.02317862444223365,0.027262098763316055
10,1,0,moment,S à S+60 s,7893,0.2108792647412434,0.5320159167735334,0.5231217534524262,-0.02426978688864338,-0.04689427017826876,-0.0019489493238106265,-0.009674551082608654,-0.03309505430191089,0.012419365231297727
10,1,0,moment,avant S,1509,0.04031633225573753,0.5017842093196156,0.5208747514910537,0.001832428501895029,-0.043664801060030664,0.051414557371572064,0.024178609549176475,-0.024566534718722034,0.0747548097521485
10,1,0,moment,dernière minute,3061,0.08178150631862995,0.49788741106938905,0.4933028422084286,-0.012920192308163206,-0.026936637439449806,0.0011419590384198234,0.00014044674390415027,-0.013931304401700461,0.014159259667811421
10,1,0,moment,milieu,24966,0.6670228966843891,0.5138381418142354,0.5144196106705119,-0.011153361053312355,-0.02089738456919189,-0.0016964829368835642,0.0012070653508232105,-0.00840062852231763,0.010689104169933685
10,1,3,actif,btc,30679,0.825814266487214,0.5093652753773786,0.5066657974510251,-0.014936208133912839,-0.024236192487646593,-0.0061595500498570115,-0.0004076684224241226,-0.01062560316608663,0.00869194288152977
10,1,3,actif,eth,4443,0.11959623149394347,0.5413978739118613,0.5449020931802836,-0.009065862753423772,-0.02892348734272048,0.011740075426751467,0.0019625857755456843,-0.0182467751975509,0.023799006709541607
10,1,3,actif,sol,2028,0.05458950201884253,0.5654582493698718,0.5710059171597633,-0.007065456108873838,-0.03800785553914551,0.023476560458753463,0.008825900027863858,-0.022826933650810233,0.04196253105655155
10,1,3,duree,15m,6808,0.183257065948856,0.5337531683991775,0.5280552291421856,-0.018221722838763037,-0.043294700616290364,0.007635364106271747,-0.006187731438480565,-0.03144506048631234,0.02092774404984957
