group,n_wallet_hours,n_wallets,n_fills,pnl_per_wallet_hour_mean,pnl_per_wallet_hour_median,volume_per_wallet_hour_median,roi_pnl_over_volume,fees_over_volume,win_rate_markets_median,markets_per_wallet_hour_median,share_wallet_hours_24plus_markets,fills_per_wallet_hour_median,taker_share_of_volume,share_wallet_hours_maker_dominant,share_wallet_hours_taker_dominant,fill_usd_median,fill_shares_median,buy_price_vw_mean,buy_price_median,buy_volume_share_price_ge_0.90,buy_volume_share_price_le_0.10,buy_volume_share_price_0.40_0.60,share_fills_pre_open,share_fills_first_10s,share_fills_first_60s,share_fills_last_60s,taker_fills_share_5_40s,taker_fills_share_first_60s,taker_fills_share_5_40s_btc_5m,t_rel_median_s_5m,t_rel_median_s_15m,volume_share_btc,volume_share_eth,volume_share_sol,volume_share_5m
top10_heure,480,201,89197,1219.0233253100025,739.7408670043594,3119.4784509221545,0.2121444781467472,0.013752824770803761,0.7083333333333334,10.0,0.09583333333333334,79.0,0.6762261123461031,0.33125,0.5041666666666667,6.3,15.94,0.6759221781110701,0.49,0.25422192558206513,0.00854279767798756,0.26155633474621653,0.04504635806136978,0.026323755283249435,0.18518560041256993,0.1357781091292308,0.1425345752187412,0.20942703923228903,0.16254398403445197,135.0,516.0,0.9478452346555977,0.03875004881806539,0.013404716526337061,0.8272605131507129
autres,147996,13121,3446383,-6.446870444286613,0.15000000000000036,20.0005855001945,-0.02690093327748896,0.009333796866436714,0.6111111111111112,3.0,0.018676180437309117,5.0,0.506969202589307,0.24350658125895294,0.6604840671369496,3.285,6.85,0.7224827039268216,0.5,0.36649346305595965,0.010502500210613526,0.22859985039955233,0.060185127421995756,0.03159254209413173,0.18003947907124657,0.1316751504403312,0.1156772951343518,0.1766507504243653,0.1273516112766337,137.0,482.0,0.8877020063343306,0.08267854607035122,0.029619447595317972,0.8375073998344499
