cut_s,slug,flow_usd,p_market,resolved_up
30,btc-updown-5m-1790219100,-466.78021595287714,0.45254001502957697,False
30,eth-updown-5m-1790219100,-6.52,0.37666666666666665,False
30,btc-updown-5m-1790219400,41.19708799649108,0.612651093924199,False
30,eth-updown-5m-1790219400,-4.888891000392182,0.6439937873221163,False
30,btc-updown-5m-1790219700,223.66650300007151,0.7699374850927777,False
30,btc-updown-15m-1790219700,92.06945100097138,0.6788546219966782,False
30,eth-updown-5m-1790219700,-1.7667789999381567,0.9026720952024925,True
30,eth-updown-15m-1790219700,-20.361041000086953,0.7900000077777778,False
30,sol-updown-5m-1790219700,32.873652999264706,0.86,True
30,sol-updown-15m-1790219700,1.5641030000000289,0.6100000663,False
30,btc-updown-5m-1790220000,-1015.1874720001871,0.22371020473976064,False
30,eth-updown-5m-1790220000,-140.18712799942048,0.19450294641557145,False
30,btc-updown-5m-1790220300,-96.15881099927435,0.33975793071212024,False
30,eth-updown-5m-1790220300,-55.41589799885456,0.40330810683205287,False
30,sol-updown-5m-1790220300,52.5094,0.605458034488506,False
30,btc-updown-5m-1790220600,-100.3212079986983,0.4944998290926835,False
30,btc-updown-15m-1790220600,27.326247000029998,0.5094117647058823,False
30,eth-updown-5m-1790220600,-7.58510799960331,0.5199999955,False
30,eth-updown-15m-1790220600,13.680000000000003,0.53,True
30,sol-updown-15m-1790220600,4.48,0.56,True
30,btc-updown-5m-1790220900,-205.3965410067976,0.5493213218282581,False
30,eth-updown-5m-1790220900,-7.028212999714557,0.44999999107435384,False
30,btc-updown-5m-1790221200,-530.9894949992818,0.6837827790710901,True
30,eth-updown-5m-1790221200,137.80486500010812,0.6719040824097364,True
30,sol-updown-5m-1790221200,53.228500001029005,0.75,True
30,btc-updown-5m-1790221500,464.4845990033003,0.6589368144153429,False
30,btc-updown-15m-1790221500,162.04653200095055,0.5934797373913063,False
30,eth-updown-5m-1790221500,133.89900000036,0.6851774530271397,False
30,eth-updown-15m-1790221500,36.47558200080007,0.6073529412,True
30,sol-updown-5m-1790221500,43.36999999987691,0.6846968806580791,False
30,sol-updown-15m-1790221500,15.000000000346308,0.5901639267,False
30,btc-updown-5m-1790221800,-51.36461800023316,0.38576795219107807,False
30,eth-updown-5m-1790221800,13.20739099778461,0.5383142561466596,True
30,sol-updown-5m-1790221800,-6.090000000000001,0.49088307440719536,True
30,btc-updown-5m-1790222100,-152.07247300357014,0.31401953734225735,False
30,eth-updown-5m-1790222100,-157.16401599983809,0.3180484452843154,True
30,sol-updown-5m-1790222100,-36.64,0.3517647058823529,False
30,btc-updown-5m-1790222400,14.700692999678909,0.6664848426575022,False
30,btc-updown-15m-1790222400,69.30009100023275,0.6004896704474947,False
30,eth-updown-5m-1790222400,-13.0,0.4901431222287966,False
30,sol-updown-5m-1790222400,-23.55,0.40811638591117916,False
30,btc-updown-5m-1790222700,-144.07032899976127,0.6688251819137435,True
30,eth-updown-5m-1790222700,-4.698544000001233,0.693003889055262,True
30,btc-updown-5m-1790223000,-161.9982169967488,0.4405930900558131,False
30,eth-updown-5m-1790223000,23.150000000000002,0.3403866995919771,False
30,sol-updown-5m-1790223000,-2.4431370001960646,0.3322997778,False
30,btc-updown-5m-1790223300,-455.85406699681755,0.5498336935401955,False
30,btc-updown-15m-1790223300,-465.755156999637,0.5303663221723711,True
30,eth-updown-5m-1790223300,-7.949,0.5980337746273149,False
30,sol-updown-5m-1790223300,-19.119607999911764,0.6100000663,False
30,btc-updown-5m-1790223600,-404.8393319788689,0.6846751826924735,True
30,eth-updown-5m-1790223600,-21.491589999999956,0.7450980392156864,True
30,sol-updown-5m-1790223600,-36.32926000039446,0.7999999999999999,True
