hour,rank,wallet,name,pseudonym,pnl,pnl_incl_rebate,fees,rebate_est,volume,n_markets,n_trades,win_rate,taker_share,first_t_rel_median,t_rel_median,assets
2026-09-23 21:00:00+00:00,1,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,,,22.081410995483566,209.0743373544464,87.30427999999999,186.99292635896285,39515.68056600452,44,2756,0.5681818181818182,0.1043025612605125,11.0,184.0,"btc,eth,sol"
2026-09-23 21:00:00+00:00,2,0x4a86dfe0f05e34b133b29b7626368e78912c501e,komsa,Perfumed-Praise-Retrospective,637.1067833055745,637.1067833055745,763.49389,0.0,37192.50568564559,8,41,0.375,1.0,79.5,110.0,btc
2026-09-23 21:00:00+00:00,3,0x48ac40fc545cf327edd5365435c3a9f385614a7e,BoneOhio,Warlike-Fallingout,158.58717888905767,160.66433232257717,17.40229,2.077153433519495,33098.83353111094,20,162,0.85,0.701087999741721,268.5,283.0,"btc,eth"
2026-09-23 21:00:00+00:00,4,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,Lively-Authenticity,-1843.4912430676434,-1828.483285642862,623.89753,15.00795742478145,28093.249918067642,41,1265,0.3170731707317073,0.904598261083431,19.0,173.0,"btc,eth,sol"
2026-09-23 21:00:00+00:00,5,0x21f4c1a1be34a39a7bc20985df4b7e5a39fb691d,CrouchPredictions,Vague-Hourglass,407.6962160032279,497.4038009876032,4.41873,89.70758498437527,19659.10370499677,16,2316,0.8125,0.0169432952794809,7.5,154.0,btc
2026-09-23 21:00:00+00:00,6,0x322b2e7c44237c9fed01d534cd1c96687d52aa0c,yguaihdkjls,Gloomy-Drawing,-310.96978000562973,-232.45271072025753,0.0,78.5170692853722,14345.80802500563,12,1299,0.5,0.0,12.0,161.0,btc
2026-09-23 21:00:00+00:00,7,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,0xcE25E214D5cfE4f459cf67F08DF581885AAE7Fdc-1777575398144,Agile-Spacing,-753.495192062956,-742.0363799115312,289.95134,11.458812151424851,13689.008127062956,35,1166,0.2857142857142857,0.8346501454311358,22.0,175.0,"btc,eth,sol"
2026-09-23 21:00:00+00:00,8,0x9d57c42e847173d06841703825d3fe2299e456ea,Polkadot-Frog,Supportive-Matchmaker,72.41040300591794,126.76846748723219,62.032619999999994,54.358064481314265,11844.565028994082,32,2165,0.5,0.193821266916086,25.0,152.0,"btc,eth"
2026-09-23 21:00:00+00:00,9,0xae50b6122d613c661b71c3fc6775971deb25d7aa,gazddddd,Sorrowful-Element,-9986.465088385401,-9986.465088385401,455.39979,0.0,11772.734698894528,3,28,0.0,1.0,13.0,55.0,btc
2026-09-23 21:00:00+00:00,10,0x0cb038487586d1119b165466072e9baf666f3a90,,,-90.10251702690073,-68.8586531075585,173.79741,21.24386391934214,11105.6666480072,10,503,0.6,0.5343723871887753,16.0,160.0,btc
