duration,group,bin_start_s,n_fills,share_of_group_fills
15m,top10_heure,370,42,0.0027313520192495284
15m,top10_heure,375,28,0.0018209013461663523
15m,top10_heure,380,61,0.0039669636470052675
15m,top10_heure,385,44,0.0028614164011185536
15m,top10_heure,390,36,0.002341158873642453
15m,top10_heure,395,25,0.0016258047733628146
15m,top10_heure,400,50,0.003251609546725629
15m,top10_heure,405,100,0.006503219093451258
15m,top10_heure,410,47,0.0030565129739220914
15m,top10_heure,415,35,0.0022761266827079404
15m,top10_heure,420,77,0.005007478701957469
15m,top10_heure,425,77,0.005007478701957469
15m,top10_heure,430,49,0.0031865773557911165
15m,top10_heure,435,56,0.0036418026923327046
15m,top10_heure,440,69,0.004487221174481368
15m,top10_heure,445,48,0.003121545164856604
15m,top10_heure,450,64,0.004162060219808805
15m,top10_heure,455,69,0.004487221174481368
15m,top10_heure,460,54,0.0035117383104636794
15m,top10_heure,465,79,0.005137543083826494
15m,top10_heure,470,64,0.004162060219808805
15m,top10_heure,475,76,0.004942446511022956
15m,top10_heure,480,82,0.005332639656630032
15m,top10_heure,485,95,0.006178058138778695
15m,top10_heure,490,48,0.003121545164856604
15m,top10_heure,495,49,0.0031865773557911165
15m,top10_heure,500,80,0.0052025752747610066
15m,top10_heure,505,67,0.004357156792612343
15m,top10_heure,510,120,0.00780386291214151
15m,top10_heure,515,74,0.004812382129153931
15m,top10_heure,520,67,0.004357156792612343
15m,top10_heure,525,77,0.005007478701957469
15m,top10_heure,530,102,0.006633283475320283
15m,top10_heure,535,80,0.0052025752747610066
15m,top10_heure,540,117,0.007608766339337972
15m,top10_heure,545,98,0.006373154711582233
15m,top10_heure,550,70,0.004552253365415881
15m,top10_heure,555,75,0.004877414320088444
15m,top10_heure,560,85,0.0055277362294335695
15m,top10_heure,565,96,0.006243090329713208
15m,top10_heure,570,77,0.005007478701957469
15m,top10_heure,575,60,0.003901931456070755
15m,top10_heure,580,146,0.009494699876438837
15m,top10_heure,585,81,0.005267607465695519
15m,top10_heure,590,138,0.008974442348962736
