duree,instant,sigma,n,brier,logloss,auc,accuracy,pente_calibration
5m,S+30,ewma,3168,0.222397,0.63641,0.695172,0.650253,0.781593
5m,S+30,tfm,3168,0.222343,0.636476,0.694324,0.650253,0.977914
5m,S+30,park_k,3168,0.22257,0.636006,0.694289,0.650253,1.15764
5m,S+30,ewma_k,3168,0.221718,0.633336,0.695172,0.650253,1.11714
5m,S+30,tfm_k,3168,0.22338,0.637974,0.694324,0.650253,1.23781
5m,S+30,corr,3168,0.22164,0.633115,0.694794,0.647096,1.06977
5m,S+60,park,3168,0.206222,0.605316,0.745136,0.679924,0.740968
5m,S+60,ewma,3168,0.20579,0.602362,0.74596,0.679924,0.753498
5m,S+60,tfm,3168,0.205108,0.599036,0.745641,0.679924,0.965021
5m,S+60,park_k,3168,0.20603,0.598679,0.745136,0.679924,1.1576
5m,S+60,ewma_k,3168,0.204871,0.595769,0.74596,0.679924,1.09005
5m,S+60,tfm_k,3168,0.206583,0.600913,0.745641,0.679924,1.22854
5m,S+60,corr,3168,0.204675,0.595336,0.746223,0.681818,1.05987
5m,S+120,park,3168,0.171354,0.533739,0.825642,0.744003,0.715745
5m,S+120,ewma,3168,0.170975,0.526547,0.826787,0.744003,0.729044
5m,S+120,tfm,3168,0.17032,0.517353,0.826812,0.744003,0.967295
5m,S+120,park_k,3168,0.172342,0.521894,0.825642,0.744003,1.13123
5m,S+120,ewma_k,3168,0.170551,0.514511,0.826787,0.744003,1.07063
5m,S+120,tfm_k,3168,0.172573,0.521117,0.826812,0.744003,1.23436
5m,S+120,corr,3168,0.170076,0.513592,0.827482,0.746528,1.04843
5m,E-90,park,3168,0.0933487,0.31335,0.943902,0.873737,0.813354
5m,E-90,ewma,3168,0.0929933,0.308953,0.94508,0.873737,0.795887
5m,E-90,tfm,3168,0.0942725,0.305061,0.944474,0.873737,1.09212
5m,E-90,park_k,3168,0.0964609,0.313076,0.943902,0.873737,1.28467
5m,E-90,ewma_k,3168,0.0942094,0.304568,0.94508,0.873737,1.15863
5m,E-90,tfm_k,3168,0.0972617,0.314654,0.944474,0.873737,1.40521
5m,E-90,corr,3168,0.0937209,0.303035,0.945164,0.873422,1.10617
5m,E-60,park,3168,0.0566343,0.190508,0.978751,0.920139,0.91891
5m,E-60,ewma,3168,0.0567007,0.188986,0.979031,0.920139,0.885558
5m,E-60,tfm,3168,0.0574279,0.189046,0.979222,0.920139,1.22055
5m,E-60,park_k,3168,0.0594355,0.198573,0.978751,0.920139,1.42537
5m,E-60,ewma_k,3168,0.0580446,0.190959,0.979031,0.920139,1.2681
5m,E-60,tfm_k,3168,0.0599931,0.200045,0.979222,0.920139,1.56927
5m,E-60,corr,3168,0.0570845,0.187089,0.979278,0.918876,1.15732
5m,E-30,park,3168,0.0202926,0.0668813,0.997312,0.970328,1.02539
5m,E-30,ewma,3168,0.0204567,0.0664491,0.997365,0.970328,0.988434
5m,E-30,tfm,3168,0.0206269,0.0677588,0.99736,0.970328,1.29548
5m,E-30,park_k,3168,0.0211933,0.0716641,0.997312,0.970328,1.50532
5m,E-30,ewma_k,3168,0.0207389,0.0680863,0.997365,0.970328,1.3394
5m,E-30,tfm_k,3168,0.0215438,0.0729,0.99736,0.970328,1.64312
5m,E-30,corr,3168,0.0196508,0.0649494,0.997609,0.974432,1.33198
5m,E-10,park,3168,0.0167476,0.081131,0.998835,0.979482,0.675071
5m,E-10,ewma,3168,0.0167066,0.0828311,0.99888,0.979482,0.669254
5m,E-10,tfm,3168,0.0159013,0.0685179,0.998886,0.979482,0.71771
5m,E-10,park_k,3168,0.0157991,0.062208,0.998835,0.979482,0.748582
5m,E-10,ewma_k,3168,0.0159862,0.0675235,0.99888,0.979482,0.72159
5m,E-10,tfm_k,3168,0.0153374,0.0585489,0.998886,0.979482,0.766929
5m,E-10,corr,3168,0.0122341,0.0395008,0.999063,0.98327,1.1196
15m,S-45,park,1056,0.249637,0.692419,0.535893,0.525568,2.61503
15m,S-45,ewma,1056,0.249561,0.692268,0.536599,0.525568,3.49858
15m,S-45,tfm,1056,0.249589,0.692324,0.537464,0.525568,4.31623
15m,S-45,park_k,1056,0.249738,0.692623,0.535893,0.525568,3.93729
15m,S-45,ewma_k,1056,0.249671,0.692488,0.536599,0.525568,4.90762
15m,S-45,tfm_k,1056,0.249662,0.692471,0.537464,0.525568,5.38663
15m,S-45,corr,1056,0.249641,0.692428,0.533981,0.526515,2.74658
15m,S-30,park,1056,0.249653,0.692502,0.524739,0.523674,0.800591
15m,S-30,ewma,1056,0.249346,0.691869,0.528499,0.523674,1.122
15m,S-30,tfm,1056,0.249547,0.692266,0.527753,0.523674,1.13452
15m,S-30,park_k,1056,0.249655,0.69247,0.524739,0.523674,1.21111
15m,S-30,ewma_k,1056,0.249431,0.692019,0.528499,0.523674,1.58313
15m,S-30,tfm_k,1056,0.249584,0.692327,0.527753,0.523674,1.42074
15m,S-30,corr,1056,0.249384,0.691932,0.525091,0.515152,1.27063
15m,S-20,park,1056,0.249802,0.692867,0.528596,0.520833,0.551725
15m,S-20,ewma,1056,0.249388,0.691994,0.531878,0.520833,0.73869
15m,S-20,tfm,1056,0.249519,0.692236,0.532714,0.520833,0.79804
15m,S-20,park_k,1056,0.249613,0.692402,0.528596,0.520833,0.831634
15m,S-20,ewma_k,1056,0.249333,0.691834,0.531878,0.520833,1.03806
15m,S-20,tfm_k,1056,0.249501,0.692174,0.532714,0.520833,1.00105
15m,S-20,corr,1056,0.249315,0.691813,0.532183,0.523674,0.900932
15m,S-10,park,1056,0.249298,0.691785,0.538418,0.538826,0.629093
15m,S-10,ewma,1056,0.249,0.691172,0.540284,0.538826,0.70065
15m,S-10,tfm,1056,0.249007,0.691168,0.54127,0.538826,0.823204
15m,S-10,park_k,1056,0.249004,0.691153,0.538418,0.538826,0.944235
15m,S-10,ewma_k,1056,0.248815,0.690775,0.540284,0.538826,0.981025
15m,S-10,tfm_k,1056,0.248972,0.69109,0.54127,0.538826,1.03732
15m,S-10,corr,1056,0.248791,0.690729,0.539423,0.534091,0.885632
15m,S-5,park,1056,0.248839,0.690868,0.543828,0.541667,0.656538
15m,S-5,ewma,1056,0.248607,0.690392,0.544693,0.541667,0.701251
15m,S-5,tfm,1056,0.248529,0.690167,0.544147,0.541667,0.847708
15m,S-5,park_k,1056,0.248504,0.690141,0.543828,0.541667,0.987317
