duree,phase,variante,bin,p_mean,up_rate,n,p_lo,p_hi,se
15m,2,corrigée,3,0.493781,0.43843,739,0.489996,0.497077,0.0182528
15m,2,corrigée,4,0.499056,0.47226,739,0.497078,0.499998,0.0183645
15m,2,corrigée,5,0.501034,0.510811,740,0.499998,0.50349,0.0183761
15m,2,corrigée,6,0.506922,0.535859,739,0.503491,0.51051,0.0183454
15m,2,corrigée,7,0.51609,0.534506,739,0.510532,0.522373,0.0183489
15m,2,corrigée,8,0.53186,0.507442,739,0.522434,0.544491,0.0183908
15m,2,corrigée,9,0.574574,0.607578,739,0.544533,0.777642,0.017962
15m,3,brute,0,0.00524116,0.016568,845,1.95763e-118,0.067273,0.00439116
15m,3,brute,1,0.265611,0.312426,845,0.0675275,0.361924,0.0159443
15m,3,brute,2,0.402597,0.435503,845,0.361956,0.432726,0.0170568
15m,3,brute,3,0.453591,0.469822,845,0.432816,0.472731,0.0171692
15m,3,brute,4,0.489081,0.4609,844,0.472787,0.501507,0.017158
15m,3,brute,5,0.517386,0.531361,845,0.501522,0.534437,0.0171667
15m,3,brute,6,0.55609,0.530178,845,0.534473,0.580439,0.0171692
15m,3,brute,7,0.613507,0.588166,845,0.580482,0.656152,0.016931
15m,3,brute,8,0.759504,0.719527,845,0.656216,0.947892,0.015454
15m,3,brute,9,0.996468,0.992891,844,0.948442,1,0.0028919
15m,3,corrigée,0,0.0150028,0.0177515,845,2.3674e-66,0.138304,0.00454255
15m,3,corrigée,1,0.319673,0.306509,845,0.138451,0.397054,0.0158604
15m,3,corrigée,2,0.427311,0.436686,845,0.397137,0.449192,0.0170621
15m,3,corrigée,3,0.465118,0.476923,845,0.449277,0.479643,0.0171822
15m,3,corrigée,4,0.491477,0.462085,844,0.479661,0.500997,0.0171612
15m,3,corrigée,5,0.513226,0.546746,845,0.501079,0.525968,0.0171252
15m,3,corrigée,6,0.542315,0.499408,845,0.526097,0.559928,0.0172005
15m,3,corrigée,7,0.58497,0.588166,845,0.55993,0.617388,0.016931
15m,3,corrigée,8,0.702038,0.730178,845,0.617542,0.884942,0.0152695
15m,3,corrigée,9,0.989174,0.992891,844,0.885868,1,0.0028919
15m,4,brute,0,0,0,212,0,0,0
15m,4,brute,1,2.73963e-306,0,211,0,5.76973e-304,0
15m,4,brute,2,1.14074e-90,0,211,5.74164e-302,2.40111e-88,0
15m,4,brute,3,5.43937e-19,0.00473934,211,4.30994e-88,5.73491e-17,0.00472809
15m,4,brute,4,0.118636,0.123223,211,1.12917e-16,0.881889,0.0226281
15m,4,brute,5,0.992978,0.938679,212,0.884273,1,0.0164776
15m,4,brute,6,1,1,211,1,1,0
15m,4,brute,7,1,0.995261,211,1,1,0.00472809
15m,4,brute,8,1,0.995261,211,1,1,0.00472809
15m,4,brute,9,1,1,211,1,1,0
15m,4,corrigée,0,1.65282e-243,0,212,0,3.23162e-241,0
15m,4,corrigée,1,1.13802e-88,0,211,3.76539e-240,1.32135e-86,0
15m,4,corrigée,2,6.13758e-30,0,211,3.09382e-86,2.56532e-28,0
15m,4,corrigée,3,1.51642e-09,0,211,4.40743e-28,2.7657e-08,0
15m,4,corrigée,4,0.138136,0.118483,211,3.56875e-08,0.743641,0.0222486
15m,4,corrigée,5,0.969901,0.938679,212,0.74723,1,0.0164776
15m,4,corrigée,6,1,1,211,1,1,0
15m,4,corrigée,7,1,1,211,1,1,0
15m,4,corrigée,8,1,1,211,1,1,0
15m,4,corrigée,9,1,1,211,1,1,0
tous,2,brute,0,0.356099,0.401759,2957,0.0497057,0.415486,0.00901561
tous,2,brute,1,0.439309,0.456206,2957,0.415551,0.458412,0.00915951
tous,2,brute,2,0.470516,0.473791,2957,0.458451,0.480421,0.0091822
tous,2,brute,3,0.488198,0.465336,2957,0.480423,0.49462,0.00917272
tous,2,brute,4,0.498416,0.473275,2956,0.494621,0.499995,0.00918325
tous,2,brute,5,0.501343,0.506933,2957,0.499995,0.505084,0.00919396
tous,2,brute,6,0.511747,0.5465,2957,0.505085,0.519415,0.00915499
tous,2,brute,7,0.530412,0.557998,2957,0.519418,0.543535,0.00913278
tous,2,brute,8,0.562825,0.538045,2957,0.54354,0.588048,0.00916819
tous,2,brute,9,0.653335,0.620433,2956,0.588052,0.969304,0.00892564
tous,2,corrigée,0,0.383066,0.399053,2957,0.100234,0.430805,0.0090055
tous,2,corrigée,1,0.449935,0.451471,2957,0.430823,0.464413,0.00915143
tous,2,corrigée,2,0.474527,0.481907,2957,0.464417,0.482866,0.00918882
tous,2,corrigée,3,0.489043,0.463984,2957,0.482873,0.494431,0.00917096
tous,2,corrigée,4,0.498134,0.47429,2956,0.494436,0.499994,0.00918423
tous,2,corrigée,5,0.501502,0.515049,2957,0.499994,0.505188,0.00919068
tous,2,corrigée,6,0.510897,0.548867,2957,0.505189,0.517559,0.00915082
tous,2,corrigée,7,0.52615,0.545485,2957,0.517561,0.536674,0.00915672
tous,2,corrigée,8,0.552176,0.533649,2957,0.536682,0.572393,0.009174
tous,2,corrigée,9,0.625134,0.626522,2956,0.572393,0.918453,0.0088971
tous,3,brute,0,0.011001,0.0275148,3380,1.95763e-118,0.067273,0.00281363
tous,3,brute,1,0.189011,0.236165,3379,0.0673046,0.282243,0.00730656
tous,3,brute,2,0.342296,0.365197,3379,0.282275,0.38942,0.00828302
tous,3,brute,3,0.423146,0.435928,3379,0.38944,0.453361,0.00853062
tous,3,brute,4,0.47894,0.480024,3379,0.45339,0.500029,0.00859467
tous,3,brute,5,0.522381,0.536095,3380,0.50003,0.548308,0.00857782
tous,3,brute,6,0.579896,0.566144,3379,0.548327,0.616325,0.00852594
tous,3,brute,7,0.665307,0.644569,3379,0.616339,0.724329,0.00823414
tous,3,brute,8,0.822534,0.776857,3379,0.724333,0.939001,0.00716256
tous,3,brute,9,0.990312,0.971885,3379,0.939091,1,0.00284368
tous,3,corrigée,0,0.0295277,0.0263314,3380,2.3674e-66,0.131826,0.00275413
tous,3,corrigée,1,0.252797,0.236165,3379,0.131829,0.333356,0.00730656
tous,3,corrigée,2,0.379717,0.371116,3379,0.333357,0.415654,0.00831086
tous,3,corrigée,3,0.441576,0.432672,3379,0.415656,0.464438,0.0085232
tous,3,corrigée,4,0.483707,0.485943,3379,0.464463,0.500022,0.00859813
tous,3,corrigée,5,0.517355,0.530769,3380,0.500022,0.537216,0.00858396
tous,3,corrigée,6,0.561224,0.562297,3379,0.537221,0.588921,0.00853451
tous,3,corrigée,7,0.626225,0.646345,3379,0.588922,0.672932,0.00822485
tous,3,corrigée,8,0.758384,0.775377,3379,0.673036,0.875923,0.00717942
tous,3,corrigée,9,0.973272,0.973365,3379,0.876051,1,0.00276994
tous,4,brute,0,0,0,845,0,0,0
tous,4,brute,1,1.81717e-149,0,845,0,2.4622e-147,0
tous,4,brute,2,1.10187e-41,0,845,3.15671e-147,1.19883e-39,0
tous,4,brute,3,1.78011e-10,0.00118343,845,1.38723e-39,6.12789e-09,0.00118273
tous,4,brute,4,0.108966,0.133886,844,6.19044e-09,0.641522,0.0117215
tous,4,brute,5,0.958231,0.908876,845,0.644783,1,0.00990013
tous,4,brute,6,1,0.998817,845,1,1,0.00118273
tous,4,brute,7,1,1,845,1,1,0
tous,4,brute,8,1,0.997633,845,1,1,0.00167164
tous,4,brute,9,1,1,844,1,1,0
tous,4,corrigée,0,1.20635e-122,0,845,0,5.4064e-120,0
tous,4,corrigée,1,1.11621e-41,0,845,5.7318e-120,7.07109e-40,0
tous,4,corrigée,2,1.10787e-16,0,845,7.69147e-40,3.67193e-15,0
tous,4,corrigée,3,1.49001e-05,0,845,3.6756e-15,0.000227615,0
tous,4,corrigée,4,0.15047,0.131517,844,0.000235378,0.59418,0.0116332
tous,4,corrigée,5,0.912317,0.908876,845,0.595994,0.99988,0.00990013
tous,4,corrigée,6,0.999993,1,845,0.99988,1,0
tous,4,corrigée,7,1,1,845,1,1,0
tous,4,corrigée,8,1,1,845,1,1,0
tous,4,corrigée,9,1,1,844,1,1,0
