duree,instant,variante,n,brier_formule,brier_marche,d_brier,d_brier_lo,d_brier_hi,logloss_formule,logloss_marche,d_logloss,d_logloss_lo,d_logloss_hi,auc_formule,auc_marche,justesse_formule,justesse_marche,n_vwap,brier_formule_vwap,brier_marche_vwap,age_median_s,pente_calibration_formule,pente_calibration_marche
5m,S+60,brute,3136,0.206531,0.205133,0.00139777,-0.000677971,0.00340404,0.604091,0.596162,0.00792933,0.00149372,0.0148048,0.744109,0.743691,0.678253,0.680166,3131,0.206483,0.206101,0,0.746822,0.99919
5m,S+60,corrigée,3136,0.205289,0.205133,0.000156448,-0.00155268,0.00175799,0.596679,0.596162,0.000517275,-0.00406684,0.00445023,0.744311,0.743691,0.680485,0.680166,3131,0.205236,0.206101,0,1.05032,0.99919
5m,S+120,brute,3136,0.171592,0.167965,0.00362696,0.00166983,0.00561818,0.528239,0.506615,0.0216245,0.0140458,0.0301063,0.825648,0.830696,0.742985,0.746492,3126,0.1718,0.168628,0,0.725322,0.998368
5m,S+120,corrigée,3136,0.170638,0.167965,0.0026732,0.00109443,0.00415904,0.514956,0.506615,0.00834105,0.00351361,0.0124972,0.826314,0.830696,0.745536,0.746492,3126,0.170851,0.168628,0,1.04318,0.998368
5m,E-90,brute,3136,0.0934485,0.0914764,0.00197206,0.000167715,0.00397749,0.309549,0.293396,0.0161525,0.00740147,0.0261325,0.944731,0.947344,0.872768,0.871173,2953,0.0992135,0.0972237,0,0.796329,1.02831
5m,E-90,corrigée,3136,0.0941151,0.0914764,0.00263866,0.000801519,0.00469361,0.303792,0.293396,0.0103957,0.0042034,0.0170455,0.94481,0.947344,0.872449,0.871173,2953,0.0999139,0.0972237,0,1.10632,1.02831
5m,E-60,brute,3136,0.056667,0.0551725,0.00149441,-0.000481299,0.00359853,0.188904,0.183425,0.00547851,-0.00280408,0.0141288,0.979045,0.979916,0.919962,0.920281,2644,0.0672063,0.0680272,0,0.887461,1.12814
5m,E-60,corrigée,3136,0.057083,0.0551725,0.0019105,5.09925e-06,0.00381631,0.187181,0.183425,0.0037558,-0.00287589,0.00959145,0.979283,0.979916,0.918686,0.920281,2644,0.0676991,0.0680272,0,1.15979,1.12814
5m,E-30,brute,3136,0.0205779,0.0168152,0.00376269,0.00155882,0.00613953,0.0667582,0.0644113,0.00234696,-0.00460651,0.00943462,0.997338,0.997711,0.970026,0.978316,2077,0.0310633,0.0267131,2,0.984279,1.26204
5m,E-30,corrigée,3136,0.0197206,0.0168152,0.00290541,0.00115166,0.00484973,0.0651324,0.0644113,0.000721127,-0.00430804,0.00637042,0.997584,0.997711,0.974171,0.978316,2077,0.0297701,0.0267131,2,1.32465,1.26204
5m,E-10,brute,3136,0.0165583,0.00473284,0.0118254,0.00811102,0.0156069,0.0814637,0.0233338,0.0581299,0.0387408,0.0800803,0.998888,0.999609,0.979592,0.993304,1741,0.0297528,0.00841327,2,0.672229,1.42391
5m,E-10,corrigée,3136,0.0121853,0.00473284,0.00745242,0.00511292,0.00978497,0.0394331,0.0233338,0.0160993,0.0098442,0.0225699,0.999066,0.999609,0.983418,0.993304,1741,0.0219004,0.00841327,2,1.12173,1.42391
15m,S-45,brute,1037,0.249553,0.250393,-0.00084041,-0.00247307,0.000880597,0.692253,0.693945,-0.00169258,-0.0049669,0.00176053,0.538019,0.514473,0.529412,0.51109,370,0.249794,0.250516,7,3.54678,0.252656
15m,S-45,corrigée,1037,0.249629,0.250393,-0.000764458,-0.0024041,0.000950627,0.692405,0.693945,-0.00154056,-0.00482869,0.00189345,0.53559,0.514473,0.530376,0.51109,370,0.249892,0.250516,7,2.82555,0.252656
15m,S-30,brute,1041,0.249268,0.250253,-0.000984645,-0.00280485,0.000985564,0.691714,0.693661,-0.00194711,-0.00560114,0.00201831,0.530888,0.510879,0.525456,0.509126,282,0.249532,0.248136,7,1.19821,0.336478
15m,S-30,corrigée,1041,0.249319,0.250253,-0.000933986,-0.00267116,0.000966057,0.691801,0.693661,-0.00185989,-0.0053461,0.00197298,0.527378,0.510879,0.516811,0.509126,282,0.249586,0.248136,7,1.35503,0.336478
15m,S-20,brute,1046,0.249411,0.250335,-0.000924012,-0.00326414,0.00168054,0.692042,0.693829,-0.00178696,-0.00651462,0.0034274,0.532013,0.5129,0.521033,0.516252,411,0.247737,0.251042,6,0.72714,0.278448
15m,S-20,corrigée,1046,0.249335,0.250335,-0.00100039,-0.00301803,0.00131452,0.691854,0.693829,-0.00197485,-0.00605618,0.00273466,0.532225,0.5129,0.523901,0.516252,411,0.247723,0.251042,6,0.886041,0.278448
15m,S-10,brute,1046,0.249134,0.249882,-0.000747409,-0.00338487,0.00192936,0.691431,0.692926,-0.00149456,-0.00688205,0.00393539,0.537125,0.526905,0.537285,0.526769,525,0.249877,0.249301,3,0.673317,0.566949
15m,S-10,corrigée,1046,0.248901,0.249882,-0.000980975,-0.0032093,0.00128311,0.690945,0.692926,-0.00198065,-0.0064467,0.00259666,0.536419,0.526905,0.532505,0.526769,525,0.249438,0.249301,3,0.852525,0.566949
