variante,groupe,delta_s,decisions,executees,taux_execution,pnl_par_part,lo,hi,pnl_total,prix_moyen,surcout_vs_ask_estime,avantage_estime,taux_gain
corrigée,S-30,2,8,7,0.875,-0.210885,-0.579501,0.362407,-1.4762,0.480191,0.049609,0.152898,0.285714
corrigée,S-30,3,8,6,0.75,-0.165547,-0.609343,0.364459,-0.99328,0.482751,0.0630229,0.154546,0.333333
corrigée,S-30,5,8,6,0.75,-0.162711,-0.610575,0.366742,-0.976264,0.48,0.0602721,0.154546,0.333333
corrigée,S-30,10,8,5,0.625,-0.266297,-0.6016,0.304185,-1.33149,0.45,0.021536,0.142274,0.2
corrigée,S-30,-1,8,8,1,-0.207454,-0.539405,0.464814,-1.65963,0.441134,0,0.146446,0.25
corrigée,S-20,0,13,10,0.769231,0.0621423,-0.29757,0.408733,0.621423,0.520845,0.0208123,0.146864,0.6
corrigée,S-20,1,13,11,0.846154,-0.00844094,-0.334151,0.341364,-0.0928504,0.5371,0.0476557,0.144171,0.545455
corrigée,S-20,2,13,10,0.769231,0.03071,-0.324846,0.383215,0.3071,0.552809,0.0659213,0.146953,0.6
corrigée,S-20,3,13,11,0.846154,-0.033288,-0.352652,0.303226,-0.366168,0.562332,0.0728882,0.144171,0.545455
corrigée,S-20,5,13,9,0.692308,-0.054039,-0.422736,0.325456,-0.486351,0.593656,0.0934665,0.151173,0.555556
corrigée,S-20,10,13,10,0.769231,-0.106535,-0.411091,0.230831,-1.06535,0.590013,0.0851252,0.142043,0.5
corrigée,S-20,-1,13,13,1,0.0346527,-0.280909,0.398011,0.450485,0.486721,0,0.146132,0.538462
corrigée,S-10,0,45,42,0.933333,0.0367811,-0.110251,0.18784,1.5448,0.541615,0.0223329,0.133641,0.595238
corrigée,S-10,1,45,42,0.933333,0.028766,-0.118565,0.178682,1.20817,0.549649,0.0303672,0.133641,0.595238
corrigée,S-10,2,45,43,0.955556,0.00761941,-0.140546,0.155836,0.327635,0.580787,0.06662,0.133038,0.604651
corrigée,S-10,3,45,42,0.933333,-0.00582157,-0.156872,0.142131,-0.244506,0.609149,0.0924978,0.13308,0.619048
corrigée,S-10,5,45,41,0.911111,0.00722588,-0.154747,0.161768,0.296261,0.611236,0.0977448,0.132557,0.634146
corrigée,S-10,10,45,41,0.911111,0.0272504,-0.129297,0.185481,1.11727,0.615669,0.10519,0.134234,0.658537
corrigée,S-10,-1,45,45,1,0.0951908,-0.0495428,0.245311,4.28359,0.510082,0,0.132981,0.622222
corrigée,S-5,0,49,44,0.897959,-0.00164718,-0.149106,0.144429,-0.0724758,0.53033,0.0106791,0.129137,0.545455
corrigée,S-5,1,49,47,0.959184,-0.0102114,-0.163849,0.140977,-0.479936,0.546887,0.0303938,0.129042,0.553191
corrigée,S-5,2,49,46,0.938776,-0.00542134,-0.155889,0.141305,-0.249382,0.554146,0.0386191,0.12932,0.565217
corrigée,S-5,3,49,46,0.938776,-0.0146338,-0.17085,0.133688,-0.673155,0.58551,0.0695352,0.129826,0.586957
corrigée,S-5,5,49,44,0.897959,-0.0139686,-0.176556,0.143544,-0.614618,0.611786,0.0948708,0.129136,0.613636
corrigée,S-5,10,49,47,0.959184,-0.0992389,-0.253112,0.0497039,-4.66423,0.637002,0.120137,0.129963,0.553191
corrigée,S-5,-1,49,49,1,0.0378326,-0.11342,0.180658,1.8538,0.516649,0,0.129418,0.571429
corrigée,S-2,0,56,52,0.928571,0.103937,-0.0370362,0.237309,5.40472,0.533213,0.012922,0.135137,0.653846
corrigée,S-2,1,56,49,0.875,0.111224,-0.0358951,0.246412,5.45,0.545653,0.0319422,0.136767,0.673469
corrigée,S-2,2,56,51,0.910714,0.0909857,-0.0510661,0.223317,4.64027,0.559266,0.0411016,0.1362,0.666667
corrigée,S-2,3,56,53,0.946429,0.0619044,-0.0748155,0.195106,3.28093,0.582305,0.0666451,0.134458,0.660377
corrigée,S-2,5,56,55,0.982143,0.0256038,-0.103057,0.152736,1.40821,0.613147,0.0959651,0.133629,0.654545
corrigée,S-2,10,56,53,0.946429,0.013708,-0.123622,0.136735,0.726523,0.650452,0.133466,0.134903,0.679245
corrigée,S-2,-1,56,56,1,0.126386,-0.00149202,0.255383,7.07763,0.51737,0,0.134132,0.660714
corrigée,S,0,77,69,0.896104,0.127044,0.00204112,0.251215,8.76601,0.537463,0.0092797,0.137594,0.681159
corrigée,S,1,77,75,0.974026,0.112784,-0.00177224,0.228656,8.45877,0.564217,0.038803,0.136963,0.693333
corrigée,S,2,77,77,1,0.0733386,-0.0376239,0.184072,5.64707,0.599046,0.0726753,0.136375,0.688312
corrigée,S,3,77,77,1,0.0638158,-0.050218,0.17682,4.91381,0.608659,0.0822888,0.136375,0.688312
corrigée,S,5,77,74,0.961039,0.00623717,-0.111404,0.120513,0.461551,0.654364,0.126584,0.137147,0.675676
corrigée,S,10,77,74,0.961039,0.0169188,-0.0942894,0.126713,1.25199,0.657468,0.129499,0.135399,0.689189
corrigée,S,-1,77,77,1,0.145067,0.0284086,0.261734,11.1701,0.52637,0,0.136375,0.688312
corrigée,S+2,0,104,104,1,0.0367937,-0.0549992,0.128509,3.82654,0.562044,0.0354222,0.13749,0.615385
corrigée,S+2,1,104,104,1,0.0277995,-0.0653109,0.119768,2.89115,0.571132,0.0445102,0.13749,0.615385
corrigée,S+2,2,104,104,1,-0.0119809,-0.105014,0.0805037,-1.24601,0.611455,0.0848332,0.13749,0.615385
corrigée,S+2,3,104,102,0.980769,-0.0552272,-0.149227,0.0365629,-5.63317,0.647824,0.121073,0.137795,0.607843
corrigée,S+2,5,104,98,0.942308,-0.0572932,-0.148201,0.0356767,-5.61474,0.664912,0.137469,0.138878,0.622449
corrigée,S+2,10,104,97,0.932692,-0.0647049,-0.154262,0.0257413,-6.27637,0.668635,0.140766,0.138171,0.618557
corrigée,S+2,-1,104,104,1,0.0719352,-0.0208412,0.163606,7.48126,0.526622,0,0.13749,0.615385
corrigée,S+5,0,80,79,0.9875,-0.0281384,-0.143852,0.0755414,-2.22294,0.556252,0.0450694,0.139036,0.544304
corrigée,S+5,1,80,79,0.9875,-0.0410322,-0.156546,0.0615839,-3.24154,0.569347,0.0581641,0.139036,0.544304
corrigée,S+5,2,80,78,0.975,-0.0818228,-0.196999,0.0234474,-6.38218,0.617724,0.107872,0.139432,0.551282
corrigée,S+5,3,80,77,0.9625,-0.105676,-0.218875,0.0020529,-8.13702,0.649169,0.140249,0.139572,0.558442
corrigée,S+5,5,80,78,0.975,-0.116229,-0.227135,-0.0171115,-9.06584,0.652559,0.140948,0.1381,0.551282
corrigée,S+5,10,80,77,0.9625,-0.100582,-0.204693,-0.00493562,-7.74484,0.644227,0.13384,0.139593,0.558442
corrigée,S+5,-1,80,80,1,0.0220704,-0.086228,0.122374,1.76563,0.511394,0,0.138684,0.55
corrigée,S+10,0,52,52,1,0.139352,0.00707171,0.267102,7.24631,0.517813,0.0204349,0.147529,0.673077
corrigée,S+10,1,52,52,1,0.0805657,-0.0473643,0.203558,4.18942,0.576965,0.0795875,0.147529,0.673077
corrigée,S+10,2,52,52,1,0.060486,-0.0685,0.184551,3.14527,0.597398,0.10002,0.147529,0.673077
corrigée,S+10,3,52,52,1,0.0207292,-0.108299,0.143997,1.07792,0.637712,0.140334,0.147529,0.673077
corrigée,S+10,5,52,51,0.980769,0.0151853,-0.120067,0.136583,0.774451,0.636858,0.139307,0.148343,0.666667
corrigée,S+10,10,52,50,0.961538,0.0270886,-0.104007,0.146027,1.35443,0.618199,0.120697,0.149073,0.66
corrigée,S+10,-1,52,52,1,0.159528,0.029399,0.284356,8.29546,0.497378,0,0.147529,0.673077
corrigée,S+30,0,58,58,1,0.164203,0.0522647,0.276343,9.52379,0.458432,0.0132884,0.14482,0.637931
corrigée,S+30,1,58,57,0.982759,0.145196,0.0340517,0.259473,8.27616,0.48866,0.0411941,0.144991,0.649123
corrigée,S+30,2,58,57,0.982759,0.0931338,-0.0226272,0.208934,5.30863,0.540957,0.0912915,0.145543,0.649123
corrigée,S+30,3,58,58,1,0.0832616,-0.0317947,0.197661,4.82917,0.539736,0.0945927,0.14482,0.637931
corrigée,S+30,5,58,58,1,0.0738611,-0.0336083,0.18147,4.28395,0.549172,0.104029,0.14482,0.637931
corrigée,S+30,10,58,57,0.982759,0.0918353,-0.0171478,0.20058,5.23461,0.542431,0.097566,0.145418,0.649123
corrigée,S+30,-1,58,58,1,0.177453,0.0675101,0.291809,10.2923,0.445143,0,0.14482,0.637931
corrigée,S+60,0,73,67,0.917808,0.159182,0.0389962,0.280557,10.6652,0.437887,0.0123769,0.142257,0.61194
corrigée,S+60,1,73,70,0.958904,0.13322,0.0202152,0.250286,9.32541,0.451814,0.0314046,0.140922,0.6
corrigée,S+60,2,73,71,0.972603,0.102789,-0.0130724,0.218475,7.29799,0.488008,0.0694047,0.1407,0.605634
corrigée,S+60,3,73,71,0.972603,0.099215,-0.0149002,0.213515,7.04426,0.491553,0.0729503,0.1407,0.605634
corrigée,S+60,5,73,69,0.945205,0.0863782,-0.0203879,0.192236,5.96009,0.507722,0.0868854,0.141737,0.608696
corrigée,S+60,10,73,70,0.958904,0.0866975,-0.0150844,0.188848,6.06883,0.513221,0.0954922,0.141163,0.614286
corrigée,S+60,-1,73,73,1,0.168985,0.0589657,0.280299,12.3359,0.41879,0,0.140994,0.60274
corrigée,S+120,0,114,109,0.95614,0.0219941,-0.05837,0.101944,2.39736,0.368138,0.00206871,0.152425,0.40367
corrigée,S+120,1,114,111,0.973684,-0.00614961,-0.086696,0.0769333,-0.682606,0.388659,0.0293172,0.153137,0.396396
corrigée,S+120,2,114,111,0.973684,-0.0381248,-0.123092,0.0430923,-4.23185,0.429776,0.0678511,0.153184,0.405405
corrigée,S+120,3,114,111,0.973684,-0.0430686,-0.128037,0.0370792,-4.78061,0.434754,0.0702673,0.153199,0.405405
corrigée,S+120,5,114,113,0.991228,-0.0468087,-0.129906,0.0303714,-5.28938,0.422716,0.0634972,0.15239,0.389381
corrigée,S+120,10,114,101,0.885965,-0.0389461,-0.12881,0.0496146,-3.93355,0.431537,0.0566521,0.155985,0.405941
corrigée,S+120,-1,114,114,1,0.0207773,-0.0576043,0.0983844,2.36861,0.360454,0,0.152005,0.394737
corrigée,E-90,0,304,286,0.940789,0.00332758,-0.0468467,0.050778,0.951689,0.306913,0.00940846,0.155382,0.321678
corrigée,E-90,1,304,285,0.9375,-0.014143,-0.0638136,0.0326856,-4.03075,0.335595,0.0350142,0.155733,0.333333
corrigée,E-90,2,304,285,0.9375,-0.0405812,-0.0899127,0.00871324,-11.5656,0.361671,0.0620402,0.155254,0.333333
corrigée,E-90,3,304,283,0.930921,-0.0433327,-0.0926424,0.00581893,-12.2632,0.366736,0.0678224,0.155208,0.335689
corrigée,E-90,5,304,275,0.904605,-0.0550747,-0.10386,-0.00765578,-15.1456,0.373936,0.0767265,0.157031,0.330909
corrigée,E-90,10,304,275,0.904605,-0.0615639,-0.110545,-0.0143487,-16.9301,0.391672,0.0868311,0.154544,0.341818
corrigée,E-90,-1,304,304,1,0.0199374,-0.026599,0.0662288,6.06097,0.297362,0,0.154697,0.328947
corrigée,E-60,0,337,319,0.946588,0.0857381,0.0395156,0.134505,27.3505,0.36617,0.00575888,0.179306,0.46395
corrigée,E-60,1,337,324,0.961424,0.0585324,0.0124818,0.105767,18.9645,0.39261,0.0339149,0.178867,0.462963
corrigée,E-60,2,337,327,0.970326,0.0223175,-0.0193576,0.0664699,7.29783,0.42467,0.0678769,0.179064,0.458716
corrigée,E-60,3,337,328,0.973294,0.0153287,-0.0274029,0.0591291,5.02782,0.430365,0.0740507,0.178852,0.457317
corrigée,E-60,5,337,325,0.964392,0.0155738,-0.025341,0.0574563,5.06148,0.432262,0.0778173,0.17793,0.458462
corrigée,E-60,10,337,305,0.905045,0.0102934,-0.0321752,0.0528962,3.1395,0.44869,0.093092,0.180549,0.468852
corrigée,E-60,-1,337,337,1,0.0893032,0.0420575,0.135774,30.0952,0.355307,0,0.178965,0.456973
