stratégie,fenêtre_exécution,cellule,n_échantillon,n_avec_transaction,taux_gain,prix_payé_moyen,ask_supposé_moyen,pnl_par_part_prix_payé,ic95_bas,ic95_haut,pnl_par_part_ask_supposé,ic95_bas_supposé,ic95_haut_supposé
gap_m30:momentum,pre30,Tous,600,420,0.5285714285714286,0.5240386277293111,0.5067499999999999,-0.012762122253120638,-0.062004047606596224,0.03647980310035495,0.004350433095238098,-0.04491188725599973,0.053612753446475925
gap_m30:momentum,pre30,Tous 5m,300,250,0.5,0.5278546471533161,0.506,-0.045071408353316154,-0.10611444690471494,0.015971630198082627,-0.023475414000000007,-0.0848922635502948,0.037941435550294784
gap_m30:momentum,pre30,Tous 15m,300,170,0.5705882352941176,0.5184268344587154,0.5078529411764706,0.03475153377657867,-0.04155899497229403,0.11106206252545137,0.045270796470588244,-0.030970387733585396,0.12151198067476188
gap_m0_1s:momentum,open5,Tous,600,369,0.5555555555555556,0.5645571200239481,0.5065853658536585,-0.025859932219070108,-0.07970451717359557,0.02798465273545536,0.03150168346883469,-0.022462302213021056,0.08546566915069043
gap_m0_1s:momentum,open5,Tous 5m,300,210,0.580952380952381,0.5882529181894868,0.5069285714285714,-0.023862863903772465,-0.09236605859417535,0.04464033078663041,0.05655224285714286,-0.012358970976810602,0.12546345669109632
gap_m0_1s:momentum,open5,Tous 15m,300,159,0.5220125786163522,0.5332607828241801,0.506132075471698,-0.028497569616633026,-0.11013447107450057,0.053139331841234524,-0.0015839610062893055,-0.08263776421442263,0.07946984220184401
gap_m30:momentum,open5,Tous,600,345,0.5391304347826087,0.5282403487774996,0.505695652173913,-0.0059965858789488985,-0.05907641174301644,0.047083239985118645,0.01596666724637682,-0.03724114771827688,0.06917448221103051
gap_m30:momentum,open5,Tous 5m,300,197,0.5076142131979695,0.5393468209390254,0.5066497461928934,-0.048335036167451675,-0.11697217096687233,0.02030209863196898,-0.016506867005076142,-0.08633882828416975,0.053325094274017465
gap_m30:momentum,open5,Tous 15m,300,148,0.581081081081081,0.5134567338057391,0.5044256756756756,0.05035932430236898,-0.03087011008270788,0.13158875868744585,0.059191574324324314,-0.021172900068096703,0.13955604871674532
