cellule,créneaux attendus,marchés,résolus,up,taux_up,ic95_bas,ic95_haut,p_binom,égalités_chainlink,avec_eventMetadata,mouvement_médian_pb,volume_médian_usd,volume_moyen_usd,volume_total_usd
BTC 5m,2016,2016,2016,1018,0.5049603174603174,0.4831463855209589,0.5267553810334086,0.6721863635300966,0,2015,5.626731721559966,45307.64376799998,49753.17454651653,97864494.33299801
BTC 15m,672,672,672,347,0.5163690476190477,0.47859937052244855,0.5539526357464761,0.4179069325568639,0,671,10.436641572727032,25576.227586000008,29998.826681176906,20009217.396344997
ETH 5m,2016,2015,2015,1044,0.5181141439205955,0.4962829971403105,0.5398763528552512,0.10869870188415852,0,2014,8.019443573317023,3626.6185710000004,4219.555035949422,5839864.169754
ETH 15m,672,672,672,352,0.5238095238095238,0.48601998297709564,0.5613283897777038,0.23172992177366336,0,671,13.396136636793178,3638.1114039999993,4230.28088321955,2813136.7873410005
SOL 5m,2016,2016,2016,1012,0.501984126984127,0.48017495588880377,0.5237857507329431,0.8761149204190285,0,2015,10.49955392536535,1345.6314465,1577.2219240008562,1842195.207233
SOL 15m,672,672,672,352,0.5238095238095238,0.48601998297709564,0.5613283897777038,0.23172992177366336,0,671,18.236435054878456,1229.383165,1450.8918046404835,960490.3746720001
Tous 5m,6048,6047,6047,3074,0.5083512485530015,0.4957492218307847,0.52094267107879,0.19845033835193993,0,6044,7.758569740946227,5270.238015000001,23356.17475326068,105546553.709985
Tous 15m,2016,2016,2016,1051,0.5213293650793651,0.49950304110400523,0.5430745550797748,0.05831762003151683,0,2013,13.56844405971366,3699.8748344999995,11927.203890851553,23782844.558358
Tous,8064,8063,8063,4125,0.5115961800818554,0.500682346144036,0.5224989693289244,0.03831456615121354,0,8057,8.791095601947179,4697.822179999999,19857.116270281436,129329398.26834299
