actif,décalage_s,n,rmse_variation_pb,sd_écart_niveau_pb,accord_issue
BTC,-10,2686,0.7946021062695022,2.18664331647738,0.9702159344750558
BTC,-9,2686,0.6992476642080232,2.1717809194235382,0.9743112434847356
BTC,-8,2686,0.6079195452152362,2.1592702111809636,0.9758004467609829
BTC,-7,2686,0.523440116951486,2.1498025439523314,0.9772896500372301
BTC,-6,2686,0.44975548721998443,2.1431563313302373,0.9798957557706627
BTC,-5,2686,0.3936047797245126,2.139759768418656,0.9813849590469099
BTC,-4,2686,0.36240267835026185,2.139378772486866,0.9828741623231572
BTC,-3,2686,0.3650167562696211,2.1417423414315193,0.9821295606850335
BTC,-2,2686,0.3997645379981555,2.14772758780653,0.9828741623231572
BTC,-1,2686,0.46076138771755926,2.1568555256327544,0.9821295606850335
BTC,0,2686,0.5393091568509285,2.1693608904152213,0.9810126582278481
BTC,1,2684,0.6270730437393025,2.185105005296393,0.9798807749627422
BTC,2,2684,0.7196317935971197,2.202930197008248,0.9783904619970194
BTC,3,2684,0.8165174004615725,2.2229516947422057,0.9765275707898659
BTC,4,2684,0.9164891476858031,2.245559092085868,0.9742921013412816
BTC,5,2684,1.0181607008670008,2.270279721561733,0.9731743666169895
BTC,6,2684,1.1210960661616247,2.2971141213329687,0.9720566318926974
BTC,7,2684,1.2249508130095141,2.3262123278483857,0.9683308494783904
BTC,8,2684,1.3292441439508147,2.3575990030206455,0.9657228017883756
BTC,9,2684,1.4330950770152142,2.3906480240075645,0.9631147540983607
BTC,10,2684,1.5366942667251484,2.4251308455344835,0.9616244411326379
ETH,-10,2685,1.0160367426707795,2.1864157520905283,0.9813780260707635
ETH,-9,2685,0.8779471457983582,2.1577048768979794,0.9836126629422719
ETH,-8,2685,0.7460540771031943,2.1342348522297536,0.986219739292365
ETH,-7,2685,0.6222749521166934,2.1155880464079897,0.9888268156424581
ETH,-6,2685,0.5113631134436589,2.101947804865067,0.991806331471136
ETH,-5,2685,0.42601576733286517,2.093977324184165,0.9925512104283054
ETH,-4,2685,0.38400583014522516,2.091478921625873,0.9929236499068901
ETH,-3,2685,0.4001797010234639,2.0946778474879677,0.9932960893854749
ETH,-2,2685,0.47022379841793116,2.1043422839364165,0.9925512104283054
ETH,-1,2685,0.5754954814726457,2.1199002061665997,0.9914338919925512
ETH,0,2685,0.701216993684804,2.1414308858276945,0.9884543761638733
ETH,1,2683,0.8353689831228442,2.168312704925747,0.9869549012299664
ETH,2,2683,0.9723969789883565,2.1991840924069397,0.9843458814759597
ETH,3,2683,1.1132831342014862,2.2341753006129013,0.9821095788296683
ETH,4,2683,1.2587969240330625,2.2743047703267503,0.9806187103988073
ETH,5,2683,1.406035992658869,2.318433798448707,0.9791278419679463
ETH,6,2683,1.5544608776905433,2.366696875716323,0.9765188222139396
ETH,7,2683,1.7058652150885028,2.4198379067294913,0.9739098024599329
ETH,8,2683,1.857128956942862,2.4760228457694717,0.9701826313827805
ETH,9,2683,2.0063843822403866,2.5346954344919466,0.9672008945210585
ETH,10,2683,2.1564427433418856,2.596546382174794,0.9616101379053299
SOL,-10,2686,1.330488812305493,2.26765588069404,0.9825018615040954
SOL,-9,2686,1.1468229077421832,2.2146026680748068,0.9847356664184661
SOL,-8,2686,0.9667345534135129,2.1688416913232103,0.9865971705137752
SOL,-7,2686,0.7926427773658823,2.1305055263216253,0.9884586746090841
SOL,-6,2686,0.6288371164659136,2.1005328014966724,0.9903201787043932
SOL,-5,2686,0.4909497185697735,2.080036961504752,0.9921816827997022
SOL,-4,2686,0.4068468388669178,2.069412638936336,0.9936708860759493
SOL,-3,2686,0.4101756090951011,2.06869485798995,0.9940431868950111
SOL,-2,2686,0.5012503198098242,2.078702454357503,0.9929262844378257
SOL,-1,2686,0.6433174451381172,2.0984590755341666,0.9910647803425168
SOL,0,2686,0.8095354939135248,2.1278041922027087,0.9903201787043932
SOL,1,2684,0.9826543678901793,2.165665320958298,0.9891952309985097
SOL,2,2684,1.1562020321422322,2.2103234604128734,0.9880774962742176
SOL,3,2684,1.3354331900245324,2.2617039530394965,0.9865871833084948
SOL,4,2684,1.515893034847141,2.319688889020754,0.9843517138599106
SOL,5,2684,1.6965768963740693,2.383299140190299,0.9821162444113264
SOL,6,2684,1.8765130513889492,2.451574627242861,0.9802533532041728
SOL,7,2684,2.0600964634576218,2.525741060971331,0.9765275707898659
SOL,8,2684,2.242447798152027,2.604153949366933,0.9754098360655737
SOL,9,2684,2.4215323148933465,2.6855912709285397,0.9724292101341282
SOL,10,2684,2.599516670068907,2.770094920291634,0.9709388971684053
