cellule,stratégie,coupure,n,accuracy,ic95_bas,ic95_haut,ic95_cluster_bas,ic95_cluster_haut,p_binom,part_up_prédit,description,auc_variable,part_variable_nulle
BTC 5m,always_up,—,2016,0.5049603174603174,0.4831463855209589,0.5267553810334086,0.48283609416479717,0.5270845407558377,0.6721863635300966,1.0,toujours Up,,
BTC 5m,always_down,—,2016,0.49503968253968256,0.4732446189665915,0.5168536144790411,0.4729154592441623,0.5171639058352028,0.6721863635300966,0.0,toujours Down,,
BTC 5m,market_pre,S−30s (marché),2016,0.5079365079365079,0.48611858639375777,0.52972424009323,0.4863799262503553,0.5294930896226605,0.48993644060028985,0.5218253968253969,"prix du marché à S−30 s > 0,5 → Up (égalité → Up)",0.5246455583071841,
BTC 5m,mom5_m60:momentum,S−60s (1m),2016,0.5089285714285714,0.4871094914331245,0.5307136883647369,0.48698308314467764,0.5308740597124652,0.43568565564342,0.5,"momentum — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.5010768098082216,0.000992063492063492
BTC 5m,mom5_m60:retournement,S−60s (1m),2016,0.49206349206349204,0.47027575990676984,0.5138814136062422,0.47002985942885395,0.5140971246981302,0.48993644060028985,0.5009920634920635,"retournement — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.49892319019177844,0.000992063492063492
BTC 5m,mom15_m60:momentum,S−60s (1m),2016,0.4885912698412698,0.46681306600726646,0.5104128709176884,0.4672197820227616,0.509962757659778,0.3162326108439123,0.5173611111111112,"momentum — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.48405652168777635,0.0
BTC 5m,mom15_m60:retournement,S−60s (1m),2016,0.5114087301587301,0.48958712908231156,0.5331869339927334,0.4900372423402219,0.5327802179772384,0.3162326108439123,0.4826388888888889,"retournement — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.5159434783122236,0.0
BTC 5m,mom5_m30:momentum,S−30s (1s),2016,0.5124007936507936,0.490578334189498,0.5341760821964207,0.49121014164767235,0.5335914456539148,0.2751297576065377,0.5124007936507936,"momentum — rendement des 5 dernières min, prix 1s à S−30 s",0.5126333216531294,0.001488095238095238
BTC 5m,mom5_m30:retournement,S−30s (1s),2016,0.4880952380952381,0.4663184811863215,0.5099172790831967,0.4668584048468521,0.5093320713436241,0.29520229624749766,0.48908730158730157,"retournement — rendement des 5 dernières min, prix 1s à S−30 s",0.48736667834687053,0.001488095238095238
BTC 5m,mom15_m30:momentum,S−30s (1s),2016,0.49404761904761907,0.47225491357950744,0.5158629665552517,0.4722259247368513,0.5158693133583868,0.6084864943951922,0.5168650793650794,"momentum — rendement des 15 dernières min, prix 1s à S−30 s",0.493212357918194,0.0
BTC 5m,mom15_m30:retournement,S−30s (1s),2016,0.5059523809523809,0.4841370334447483,0.5277450864204926,0.4841306866416132,0.5277740752631487,0.6084864943951922,0.48313492063492064,"retournement — rendement des 15 dernières min, prix 1s à S−30 s",0.506787642081806,0.0
