cellule,instant,décile,n,prix_moyen,freq_up,ic95_bas,ic95_haut
Tous 5m,S−30 s (avant ouverture),"0,3–0,4",3,0.38166666666666665,0.6666666666666666,0.2076549551264879,0.9385096847238394
Tous 5m,S−30 s (avant ouverture),"0,4–0,5",2342,0.4857493595217763,0.5055508112724167,0.4853091995069927,0.5257742427851042
Tous 5m,S−30 s (avant ouverture),"0,5–0,6",3697,0.5075263727346497,0.51014335948066,0.49402687336172607,0.5262387872923263
Tous 5m,S−30 s (avant ouverture),"0,6–0,7",5,0.627,0.4,0.1176182311592533,0.769280067791163
Tous 5m,S (dernier point ≤ S),"0,3–0,4",3,0.38166666666666665,0.6666666666666666,0.2076549551264879,0.9385096847238394
Tous 5m,S (dernier point ≤ S),"0,4–0,5",2342,0.4857258753202392,0.5046968403074296,0.4844562734449174,0.5249220238791645
Tous 5m,S (dernier point ≤ S),"0,5–0,6",3697,0.5075426021098187,0.5106843386529618,0.49456765369856287,0.5267788421903723
Tous 5m,S (dernier point ≤ S),"0,6–0,7",5,0.627,0.4,0.1176182311592533,0.769280067791163
Tous 5m,S+1 min,"0,1–0,2",27,0.16962962962962963,0.14814814814814814,0.059158318596448906,0.32479063346829484
Tous 5m,S+1 min,"0,2–0,3",247,0.25987854251012144,0.3522267206477733,0.29533408998535565,0.4136456007836396
Tous 5m,S+1 min,"0,3–0,4",942,0.35656581740976645,0.38004246284501064,0.3495912850731041,0.41146807201163405
Tous 5m,S+1 min,"0,4–0,5",1824,0.4520120614035088,0.45778508771929827,0.4350332581569913,0.48071436461294687
Tous 5m,S+1 min,"0,5–0,6",1793,0.5434829894032348,0.5415504740658115,0.5184223213010271,0.564500959192924
Tous 5m,S+1 min,"0,6–0,7",936,0.6415438034188035,0.6623931623931624,0.6314883269762566,0.6919704345852662
Tous 5m,S+1 min,"0,7–0,8",242,0.7382231404958677,0.71900826446281,0.6592940353554255,0.7718779062525043
Tous 5m,S+1 min,"0,8–0,9",33,0.8286363636363636,0.7575757575757576,0.5897505131450971,0.8716843865335271
Tous 5m,S+2 min,"0,0–0,1",121,0.07338842975206612,0.09917355371900827,0.05764466621957911,0.16537073890179066
Tous 5m,S+2 min,"0,1–0,2",479,0.15331941544885178,0.162839248434238,0.13247922222431602,0.19856433326054695
Tous 5m,S+2 min,"0,2–0,3",734,0.2517438692098093,0.28065395095367845,0.24935468192847338,0.3142372868626601
Tous 5m,S+2 min,"0,3–0,4",804,0.35032960199004975,0.3694029850746269,0.33673548720816776,0.4033125618153041
Tous 5m,S+2 min,"0,4–0,5",885,0.4519717514124294,0.4406779661016949,0.408294450414711,0.473574265000949
Tous 5m,S+2 min,"0,5–0,6",879,0.5455802047781569,0.5449374288964732,0.5118922000583452,0.5775915759667083
Tous 5m,S+2 min,"0,6–0,7",790,0.6497911392405064,0.6303797468354431,0.5961638489392402,0.6633337636827237
Tous 5m,S+2 min,"0,7–0,8",737,0.7481546811397557,0.7544097693351425,0.7220666964426539,0.7841143819417133
Tous 5m,S+2 min,"0,8–0,9",491,0.8438594704684318,0.890020366598778,0.8592603983953919,0.914724650557647
Tous 5m,S+2 min,"0,9–1,0",127,0.9271653543307087,0.952755905511811,0.9007548495742497,0.9781705074987301
Tous 5m,S+5 min,"0,0–0,1",2284,0.015874343257443083,0.014448336252189142,0.010306332467851013,0.02022095578497209
Tous 5m,S+5 min,"0,1–0,2",236,0.14671398305084746,0.15677966101694915,0.11593384538933339,0.20862036038647863
Tous 5m,S+5 min,"0,2–0,3",177,0.24225988700564968,0.24858757062146894,0.19071024304774203,0.31714635631877536
Tous 5m,S+5 min,"0,3–0,4",141,0.34665957446808515,0.3900709219858156,0.31349641502575776,0.47247667557804673
Tous 5m,S+5 min,"0,4–0,5",122,0.45059016393442614,0.45901639344262296,0.3731922187986254,0.5473428030065647
Tous 5m,S+5 min,"0,5–0,6",194,0.5302319587628866,0.5309278350515464,0.4607846741177426,0.5998699101557368
Tous 5m,S+5 min,"0,6–0,7",129,0.6529844961240311,0.7054263565891473,0.6217387574005973,0.7772326491467494
Tous 5m,S+5 min,"0,7–0,8",177,0.7503446327683616,0.7288135593220338,0.6589747048885616,0.7889310866992146
Tous 5m,S+5 min,"0,8–0,9",232,0.8548685344827586,0.8793103448275862,0.8310983332445381,0.9151652606252458
Tous 5m,S+5 min,"0,9–1,0",2355,0.9834477707006369,0.9859872611464968,0.9803866533165764,0.990004915154999
Tous 15m,S−30 s (avant ouverture),"0,3–0,4",1,0.395,0.0,0.0,0.7934567085261071
Tous 15m,S−30 s (avant ouverture),"0,4–0,5",1031,0.48377788554801165,0.489815712900097,0.4593956612734425,0.5203113779487922
Tous 15m,S−30 s (avant ouverture),"0,5–0,6",984,0.5125965447154471,0.5548780487804879,0.5236718218825384,0.5856574471014769
Tous 15m,S (dernier point ≤ S),"0,3–0,4",1,0.395,0.0,0.0,0.7934567085261071
Tous 15m,S (dernier point ≤ S),"0,4–0,5",1031,0.48376818622696416,0.489815712900097,0.4593956612734425,0.5203113779487922
Tous 15m,S (dernier point ≤ S),"0,5–0,6",984,0.5125914634146341,0.5548780487804879,0.5236718218825384,0.5856574471014769
Tous 15m,S+1 min,"0,3–0,4",98,0.36928571428571433,0.3979591836734694,0.3066643027632052,0.49695229399096996
Tous 15m,S+1 min,"0,4–0,5",856,0.4601635514018692,0.48364485981308414,0.4503149350655108,0.5171209275398809
Tous 15m,S+1 min,"0,5–0,6",909,0.5378657865786579,0.5445544554455446,0.5120593627651667,0.576674542438102
Tous 15m,S+1 min,"0,6–0,7",144,0.6334027777777779,0.6666666666666666,0.5862234638042094,0.7384483471069279
Tous 15m,S+1 min,"0,7–0,8",8,0.7381249999999999,0.75,0.40926987910258916,0.9285223111419724
Tous 15m,S+1 min,"0,8–0,9",1,0.805,1.0,0.20654329147389294,1.0
Tous 15m,S+2 min,"0,1–0,2",9,0.17333333333333334,0.1111111111111111,0.019890371327130535,0.4350062147680601
Tous 15m,S+2 min,"0,2–0,3",98,0.25892857142857145,0.24489795918367346,0.1704485358593521,0.3385929560260857
Tous 15m,S+2 min,"0,3–0,4",300,0.3558,0.38666666666666666,0.3333226507857144,0.44287652668043903
Tous 15m,S+2 min,"0,4–0,5",509,0.45403732809430253,0.4911591355599214,0.4479573369184832,0.5344933847078435
Tous 15m,S+2 min,"0,5–0,6",556,0.5455935251798562,0.5413669064748201,0.49980565206013233,0.5823604463505611
Tous 15m,S+2 min,"0,6–0,7",399,0.6420050125313284,0.6115288220551378,0.5628566801029452,0.6580738295564345
Tous 15m,S+2 min,"0,7–0,8",122,0.7359016393442622,0.7540983606557377,0.6707043800471448,0.821978484760677
Tous 15m,S+2 min,"0,8–0,9",21,0.8338095238095239,1.0,0.8453561767357979,0.9999999999999999
Tous 15m,S+2 min,"0,9–1,0",2,0.9025000000000001,1.0,0.34237195288961925,1.0
Tous 15m,S+5 min,"0,0–0,1",31,0.0714516129032258,0.06451612903225806,0.017874407775063147,0.20718988318746434
Tous 15m,S+5 min,"0,1–0,2",165,0.1565757575757576,0.17575757575757575,0.12525114851619204,0.24101877548358044
Tous 15m,S+5 min,"0,2–0,3",216,0.25210648148148146,0.25,0.19696185278631023,0.3117753470885088
Tous 15m,S+5 min,"0,3–0,4",279,0.3532795698924731,0.36200716845878134,0.3078419489961743,0.41992086948597246
Tous 15m,S+5 min,"0,4–0,5",291,0.45067010309278344,0.46735395189003437,0.41082637312983394,0.5247322454640145
