cellule,instant,n,prix_moyen,prix_sd,part_0.45_0.55,part_0.505,écart_moyen_à_0.5,part_décidé_0.1_0.9,accuracy,brier,brier_ref_0.25,bss_climato,log_loss,auc,auc_ic_bas,auc_ic_haut
BTC 5m,S−30 s (avant ouverture),2016,0.49894593253968256,0.020508850678481984,0.9682539682539683,0.2951388888888889,0.014437003968253976,0.0,0.5079365079365079,0.24941209077380952,0.25,0.002253439688807868,0.6919707074281152,0.5246455583071841,0.49947672650368374,0.5498143901106844
BTC 5m,S (dernier point ≤ S),2016,0.49896825396825395,0.02056284886575581,0.9682539682539683,0.29464285714285715,0.014479166666666677,0.0,0.5099206349206349,0.2493522569444444,0.25,0.0024927985637287486,0.6918509842702655,0.526880381588324,0.5017190212318902,0.5520417419447577
BTC 5m,S+1 min,2015,0.49913895781637724,0.11581557672104006,0.33449131513647645,0.04466501240694789,0.09235980148883376,0.0,0.5925558312655087,0.23832296526054592,0.25,0.04660458622921804,0.6693921296725506,0.6254618472312813,0.6012457561055657,0.6496779383569968
BTC 5m,S+2 min,2016,0.5004241071428571,0.21456732664069203,0.16765873015873015,0.013392857142857142,0.18070684523809527,0.027281746031746032,0.6785714285714286,0.20496737351190478,0.25,0.18004980727663578,0.5958307214190942,0.7441193782456859,0.7227616157205113,0.7654771407708604
BTC 5m,S+5 min,2016,0.5038405257936508,0.43989545226405996,0.028273809523809524,0.000496031746031746,0.4207482638888889,0.7638888888888888,0.9255952380952381,0.05346025458829366,0.25,0.7861379335567008,0.17513817611168891,0.9813428428566368,0.9753808452533033,0.9873048404599702
BTC 15m,S−30 s (avant ouverture),672,0.49535714285714283,0.024215386153205596,0.9345238095238095,0.19345238095238096,0.018110119047619055,0.0,0.5044642857142857,0.24975885416666663,0.25,-0.00010731456439794229,0.6926600789172037,0.5215428951452007,0.4779044019915617,0.5651813882988397
BTC 15m,S (dernier point ≤ S),672,0.49535714285714283,0.024215386153205596,0.9345238095238095,0.19345238095238096,0.018110119047619055,0.0,0.5044642857142857,0.24975885416666663,0.25,-0.00010731456439794229,0.6926600789172037,0.5215428951452007,0.4779044019915617,0.5651813882988397
BTC 15m,S+1 min,672,0.5049702380952381,0.06151707752135873,0.6205357142857143,0.06845238095238096,0.04799107142857143,0.0,0.5520833333333334,0.24639270833333332,0.25,0.013371715362447412,0.6857900714564463,0.5658878297495012,0.5227063858501628,0.6090692736488397
BTC 15m,S+2 min,672,0.5089732142857143,0.1253293218835127,0.31398809523809523,0.03422619047619048,0.10150297619047619,0.0,0.6056547619047619,0.23305625,0.25,0.0667747851917535,0.6577393608862462,0.6446375526490802,0.6033250645302614,0.685950040767899
BTC 15m,S+5 min,672,0.5099255952380952,0.21238846912633222,0.13690476190476192,0.01488095238095238,0.18004464285714286,0.026785714285714284,0.6860119047619048,0.2010331101190476,0.25,0.19500477942806482,0.5873824072341678,0.7546397694524496,0.7183745167077408,0.7909050221971584
BTC 15m,S+10 min,672,0.5204077380952381,0.32304241064549266,0.06696428571428571,0.008928571428571428,0.2901949404761905,0.28869047619047616,0.7991071428571429,0.1362232373511905,0.25,0.45452241706051866,0.4176298958570486,0.8893770782531589,0.8642773668606131,0.9144767896457048
ETH 5m,S−30 s (avant ouverture),2015,0.4982803970223325,0.0159865350442845,0.9900744416873449,0.23821339950372208,0.011009925558312662,0.0,0.5062034739454094,0.2497695657568238,0.25,-0.00039126539866862764,0.6926873448498791,0.5231320359387762,0.49794717407962424,0.5483168977979281
ETH 5m,S (dernier point ≤ S),2015,0.4982903225806452,0.01596895513017414,0.9900744416873449,0.2392059553349876,0.01099503722084368,0.0,0.5057071960297767,0.24974911910669972,0.25,-0.00030937131309882737,0.6926463835430332,0.5233959144698163,0.49821197067485345,0.5485798582647791
ETH 5m,S+1 min,2014,0.49860476663356507,0.11699707537124548,0.3411122144985104,0.02432969215491559,0.09299404170804369,0.0,0.5913604766633564,0.23789895729890767,0.25,0.04711774795591883,0.6684312165398886,0.6264975115535016,0.602331997494516,0.6506630256124872
ETH 5m,S+2 min,2015,0.49942928039702233,0.22382135697329406,0.15384615384615385,0.011910669975186104,0.18840694789081885,0.04913151364764268,0.6883374689826303,0.1976545905707196,0.25,0.20834259620961915,0.5771239564399385,0.7633631047504055,0.7427533276073592,0.7839728818934517
ETH 5m,S+5 min,2015,0.5096009925558312,0.4426446981467478,0.032754342431761785,0.0004962779156327543,0.42392208436724566,0.7677419354838709,0.9285359801488834,0.050610163275434245,0.25,0.7972932966122929,0.17007127063626548,0.9821248189842601,0.976357621292114,0.9878920166764061
ETH 15m,S−30 s (avant ouverture),672,0.49813988095238093,0.020827688895434418,0.9702380952380952,0.21875,0.016116071428571438,0.0,0.5461309523809523,0.24851696428571424,0.25,0.0036728977272728613,0.6901767644674396,0.5571333451704545,0.5138269287270866,0.6004397616138225
ETH 15m,S (dernier point ≤ S),672,0.49812500000000004,0.020840659417298662,0.9702380952380952,0.21875,0.01613095238095239,0.0,0.5461309523809523,0.24850267857142852,0.25,0.0037301704545456005,0.6901481463693326,0.5574218750000001,0.5141193990373398,0.6007243509626603
ETH 15m,S+1 min,672,0.5057886904761905,0.06788899058971229,0.5863095238095238,0.050595238095238096,0.05299107142857143,0.0,0.5610119047619048,0.24383199404761904,0.25,0.022455369318181817,0.6807208718668399,0.5877530184659091,0.5449653219420587,0.6305407149897595
ETH 15m,S+2 min,672,0.5149330357142856,0.13301626351157195,0.3005952380952381,0.026785714285714284,0.10686755952380952,0.002976190476190476,0.5892857142857143,0.2337307663690476,0.25,0.06295210937500006,0.6579267738441986,0.632022372159091,0.5903485842917373,0.6736961600264446
ETH 15m,S+5 min,672,0.5153497023809523,0.23306402931057507,0.13988095238095238,0.010416666666666666,0.1982366071428571,0.050595238095238096,0.6889880952380952,0.20049296874999997,0.25,0.19620546164772734,0.5848197819385519,0.7555308948863636,0.7193994540057046,0.7916623357670226
ETH 15m,S+10 min,672,0.5234553571428572,0.3424955919320244,0.07589285714285714,0.002976190476190476,0.30812797619047616,0.3898809523809524,0.8258928571428571,0.12654489732142857,0.25,0.49267000255681814,0.39235723546157547,0.9024857954545455,0.8790167763757492,0.9259548145333419
SOL 5m,S−30 s (avant ouverture),2016,0.5001587301587301,0.011678046812053776,0.9930555555555556,0.1746031746031746,0.005406746031746035,0.0,0.4975198412698413,0.25011649305555556,0.25,-0.0004817268475505454,0.6933957039003146,0.5087860022361149,0.4835820147580007,0.5339899897142292
SOL 5m,S (dernier point ≤ S),2016,0.5001289682539682,0.011720831876530778,0.9930555555555556,0.1746031746031746,0.005436507936507941,0.0,0.498015873015873,0.25008772321428574,0.25,-0.0003666456702833276,0.6933380759321038,0.5095212037226589,0.48431809450641805,0.5347243129388997
SOL 5m,S+1 min,2015,0.4963349875930521,0.12312881267240633,0.3409429280397022,0.021339950372208438,0.09748138957816378,0.0,0.5761786600496278,0.2403800124069479,0.25,0.03846076801709486,0.6738253013293698,0.6148486359104504,0.5904606290563343,0.6392366427645664
SOL 5m,S+2 min,2016,0.5009573412698413,0.22529319450330346,0.1552579365079365,0.010416666666666666,0.1900644841269841,0.04712301587301587,0.6825396825396826,0.2007030009920635,0.25,0.19717535392028718,0.5842688391783445,0.7548378619907721,0.7338176362239628,0.7758580877575814
SOL 5m,S+5 min,2016,0.5006369047619047,0.4414440370233432,0.03422619047619048,0.000992063492063492,0.4219821428571429,0.7723214285714286,0.9161706349206349,0.05685743353174604,0.25,0.7725666844715997,0.1883909681612421,0.9777239854810008,0.971187263597209,0.9842607073647927
SOL 15m,S−30 s (avant ouverture),672,0.4999032738095237,0.011196571276163273,1.0,0.14732142857142858,0.009263392857142864,0.0,0.5461309523809523,0.24909095982142854,0.25,0.0013716974431818851,0.6913291175718232,0.5598188920454545,0.516549846559194,0.6030879375317151
SOL 15m,S (dernier point ≤ S),672,0.49989583333333326,0.011188182258764848,1.0,0.14732142857142858,0.009255952380952389,0.0,0.5461309523809523,0.2490982142857143,0.25,0.0013426136363635655,0.6913436356893015,0.5595614346590909,0.5162887390731701,0.6028341302450118
SOL 15m,S+1 min,672,0.5025297619047618,0.06872155316920549,0.5967261904761905,0.047619047619047616,0.05191964285714286,0.0,0.5223214285714286,0.24844226190476187,0.25,0.003972386363636393,0.6898650251449903,0.5367764559659092,0.493237230961191,0.5803156809706274
SOL 15m,S+2 min,672,0.5138690476190476,0.13046797847418082,0.29017857142857145,0.022321428571428572,0.10684523809523812,0.0,0.5684523809523809,0.2383198660714286,0.25,0.04455399147727257,0.6682165757564286,0.6148925781250001,0.5727360680337256,0.6570490882162746
SOL 15m,S+5 min,672,0.5194866071428572,0.23349894091630843,0.14136904761904762,0.008928571428571428,0.19857886904761904,0.0625,0.6919642857142857,0.1953039806547619,0.25,0.21700858664772726,0.5722527906656795,0.7683860085227273,0.7330585785312723,0.8037134385141823
SOL 15m,S+10 min,672,0.5241138392857143,0.3433530193382106,0.06994047619047619,0.002976190476190476,0.3104263392857143,0.38095238095238093,0.8080357142857143,0.1319335003720238,0.25,0.4710666030539773,0.40750986770770287,0.89423828125,0.8697993819264696,0.9186771805735305
Tous 5m,S−30 s (avant ouverture),6047,0.4991284934678353,0.016473332536115267,0.9837936166694229,0.23598478584422028,0.010284438564577484,0.0,0.503886224574169,0.24976604928063503,0.25,0.0006570127569727191,0.6926845849364348,0.5182571357353899,0.5037166276324655,0.5327976438383143
Tous 5m,S (dernier point ≤ S),6047,0.4991293203241276,0.016499335242107414,0.9837936166694229,0.23615015710269555,0.01030345625930214,0.0,0.5045477096080702,0.24972969654374072,0.25,0.0008024642816577554,0.6926118088650882,0.519465528074072,0.5049268379718017,0.5340042181763422
Tous 5m,S+1 min,6044,0.49802614162806086,0.11867731233455127,0.3388484447385837,0.030112508272667107,0.09427862342819324,0.0,0.586697551290536,0.23886747187293186,0.25,0.04424712753209814,0.6705498996658181,0.6223041519072748,0.6083021975970283,0.6363061062175214
Tous 5m,S+2 min,6047,0.500270382007607,0.22124210784132775,0.1589217793947412,0.011906730610219943,0.18639242599636188,0.04117744336034397,0.6831486687613693,0.20110889283942449,0.25,0.1953399498845717,0.5857425973856313,0.754110788026964,0.7419888869882331,0.7662326890656949
Tous 5m,S+5 min,6047,0.5046919960310898,0.4412718653827821,0.031751281627253186,0.000661485033901108,0.4222172151480073,0.7679841243591864,0.9234331073259467,0.053643118612535144,0.25,0.7853676488310485,0.1778680941270554,0.9804192514675015,0.976903964771466,0.983934538163537
Tous 15m,S−30 s (avant ouverture),2016,0.4978000992063492,0.019620701580505356,0.9682539682539683,0.1865079365079365,0.014496527777777785,0.0,0.5322420634920635,0.24912225942460314,0.25,0.001694278234891211,0.6913886536521555,0.5443875312433756,0.5193088456678057,0.5694662168189455
Tous 15m,S (dernier point ≤ S),2016,0.4977926587301587,0.019623343208649998,0.9682539682539683,0.1865079365079365,0.014499007936507945,0.0,0.5322420634920635,0.24911991567460315,0.25,0.0017036703263115793,0.6913839536586126,0.5444121808492283,0.5193336481365995,0.569490713561857
Tous 15m,S+1 min,2016,0.5044295634920635,0.06610257461872236,0.6011904761904762,0.05555555555555555,0.05096726190476191,0.0,0.5451388888888888,0.24622232142857142,0.25,0.013315177551111002,0.6854586561560921,0.5633662487736822,0.5384276001982651,0.5883048973490994
Tous 15m,S+2 min,2016,0.5125917658730159,0.12960559185795328,0.30158730158730157,0.027777777777777776,0.10507192460317459,0.000992063492063492,0.5877976190476191,0.23503562748015872,0.25,0.05814353051374721,0.6612942368289577,0.6302914076403918,0.6062084410476675,0.6543743742331162
Tous 15m,S+5 min,2016,0.5149206349206349,0.22645283614542422,0.13938492063492064,0.011408730158730158,0.19228670634920633,0.04662698412698413,0.6889880952380952,0.19894335317460315,0.25,0.20277582484976076,0.5814849932794663,0.7594937956942069,0.7387708036445064,0.7802167877439075
Tous 15m,S+10 min,2016,0.5226589781746032,0.33626464032994285,0.07093253968253968,0.00496031746031746,0.3029164186507936,0.3531746031746032,0.8110119047619048,0.1315672116815476,0.25,0.47277172051290905,0.40583233300877564,0.8953486193755762,0.881302949490531,0.9093942892606214
Tous,S−30 s (avant ouverture),8063,0.4987963537144983,0.017322275459360235,0.9799082227458762,0.2236140394394146,0.011337591467195839,0.0,0.510976063499938,0.24960508185538882,0.25,0.0010423476722531966,0.6923605619339409,0.5252513350878003,0.5126695146896302,0.5378331554859704
Tous,S (dernier point ≤ S),8063,0.4987951134813345,0.017341691108210246,0.9799082227458762,0.22373806275579808,0.011352474265161857,0.0,0.5114721567654719,0.24957723241969487,0.25,0.0011538053665144377,0.6923048069928007,0.5261607645782354,0.5135805629053283,0.5387409662511424
Tous,S+1 min,8060,0.4996277915632754,0.10798730776980629,0.4044665012406948,0.03647642679900744,0.08344540942928039,0.0,0.576302729528536,0.24070709677419355,0.25,0.03663627572292172,0.6742789385100355,0.6103502214007932,0.5981409372773229,0.6225595055242635
Tous,S+2 min,8063,0.5033511100086816,0.20232362453712718,0.19459258340568028,0.01587498449708545,0.16605977923849685,0.031129852412253505,0.6593079498945802,0.20959162842614412,0.25,0.16118229835788045,0.6046328497876834,0.7285068870523415,0.7176051770923317,0.7394085970123512
Tous,S+5 min,8063,0.5072494729009053,0.398579014146372,0.058663028649386086,0.0033486295423539626,0.3647274587622474,0.5876224730249286,0.8648145851420067,0.08997268240729257,0.25,0.6399155861606569,0.2787848333917535,0.9505148283238684,0.9456655508768219,0.9553641057709148
Tous,S+10 min,2016,0.5226589781746032,0.33626464032994285,0.07093253968253968,0.00496031746031746,0.3029164186507936,0.3531746031746032,0.8110119047619048,0.1315672116815476,0.25,0.47277172051290905,0.40583233300877564,0.8953486193755762,0.881302949490531,0.9093942892606214
