slug15,S,phase,t0_rel_s,rx0,duree_vie_ms,censure,n_etats,marge_debut,marge_max,portefeuille,prix_jambes,tailles_meilleur_niveau,taille_min_meilleur_niveau,V_sources,profit_10,lots_10,profit_50,lots_50,profit_100,lots_100,profit_max,lots_max,profit_lat_0,fraction_lat_0,orphelines_lat_0,profit_lat_100,fraction_lat_100,orphelines_lat_100,profit_lat_300,fraction_lat_300,orphelines_lat_300,profit_lat_1000,fraction_lat_1000,orphelines_lat_1000,profit_lat_3000,fraction_lat_3000,orphelines_lat_3000
btc-updown-15m-1790419500,1790419500,après clôture #2,643.578,1790420143578390738,0.735302,False,3,0.012462,0.012462,15m Up + 5m#3 Down,0.250 / 0.710,1.0 / 8.0,1,"rtds,rtds,rtds",0.012462,1,0.012462,1,0.012462,1,0.012462,1,0.012462,1,0,0,0,1,0,0,1,0,0,1,0,0,1
btc-updown-15m-1790419500,1790419500,après clôture #2,643.58,1790420143580165911,0.531402,False,2,0.012462,0.012462,15m Up + 5m#3 Down,0.250 / 0.710,5.0 / 21.0,5,"rtds,rtds,rtds",0.0623101,5,0.0623101,5,0.0623101,5,0.0623101,5,0.0623101,1,0,0,0,5,0,0,5,0,0,5,0,0,5
