slug,duree,ecart_pb,n_achats_apres,n_marge_pos_apres,parts_marge_pos_apres,profit_apres,prix_min_apres,delai_median_s_apres,n_achats_avant,n_marge_pos_avant,parts_marge_pos_avant,profit_avant,prix_min_avant,delai_median_s_avant
btc-updown-5m-1788495900,5m,11.8285,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788496200,15m,-26.7657,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788496200,5m,-7.07292,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788496500,5m,-17.8787,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788496800,5m,-1.83123,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788497100,15m,3.70252,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788497100,5m,2.25711,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788497400,5m,2.49352,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788497700,5m,-1.04818,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788498000,15m,-9.81902,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788498000,5m,-7.97235,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788498300,5m,6.76933,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788498600,5m,-8.61164,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788498900,15m,6.28398,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788498900,5m,14.1279,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788499200,5m,-0.308835,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788499500,5m,-7.52422,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788499800,15m,-9.20655,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788499800,5m,-5.9414,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788500100,5m,-5.88076,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788500400,5m,2.61521,0,0,0,0,,,0,0,0,0,,
