label,n_pairs,share_both,share_one,share_none,pnl_per_pair_c,pnl_per_pair_ic_lo,pnl_per_pair_ic_hi
0.49/S+0,2470,0.3651821862348178,0.5611336032388664,0.07368421052631578,-2.838056680161942,-4.3667571782016275,-1.342176902225256
0.48/S+0,3381,0.2111801242236025,0.6486246672582077,0.1401952085181899,-2.2502218278615778,-3.660774785956657,-0.8008244934175696
0.49/S+30,2470,0.622672064777328,0.35910931174089067,0.018218623481781375,-3.8408906882591083,-5.017916894243859,-2.6134827744761093
0.48/S+30,3381,0.5004436557231589,0.4815143448683821,0.018041999408459037,-4.192842354333036,-5.424947705640759,-2.9842267689208555
