slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-15m-1788571800,15m,1re moitié,signal,0.49/S+0,up,0.49,1788571770.0,1788571800.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788573600,15m,1re moitié,signal,0.49/S+0,up,0.49,1788573570.0,1788573600.0,70.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788579900,15m,1re moitié,signal,0.49/S+0,down,0.49,1788579870.0,1788579900.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788581700,15m,1re moitié,signal,0.49/S+0,up,0.49,1788581670.0,1788581700.0,70.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788583500,15m,1re moitié,signal,0.49/S+0,up,0.49,1788583470.0,1788583500.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788589800,15m,1re moitié,signal,0.49/S+0,up,0.49,1788589770.0,1788589800.0,70.0,True,False,False,,,,1.0,1.0,,,,,hgb_m5
btc-updown-15m-1788595200,15m,1re moitié,signal,0.49/S+0,up,0.49,1788595170.0,1788595200.0,70.0,True,False,False,,,,0.0,0.0,,,,,hgb_m5
btc-updown-15m-1788599700,15m,1re moitié,signal,0.49/S+0,down,0.49,1788599670.0,1788599700.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788602400,15m,1re moitié,signal,0.49/S+0,up,0.49,1788602370.0,1788602400.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788603300,15m,1re moitié,signal,0.49/S+0,up,0.49,1788603270.0,1788603300.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
