strategie,n_markets,n_positions,win_rate,pnl_per_share_c,pnl_ic_lo,pnl_ic_hi,pnl_total_usd
preneur hgb_ind1s (marge 2.75 c),4224,1370,0.5489051094890511,2.3190751824817517,-0.532854026782,5.315984939793186,3177.1329999999994
preneur logit_tw (marge 0.50 c),4224,2447,0.5353494074376788,1.8609775234981607,-0.21122820385466565,3.961174648832413,4553.812000000001
preneur gap_m30 (toujours en position),4224,4224,0.5262784090909091,0.35484919507575735,-1.2041773910984856,1.926510268702649,1498.8829999999994
"borne haute maker hgb_ind1s (achat au bid, exécution supposée certaine)",4224,4224,0.5182291666666666,2.298532196969697,0.6698153409090909,3.9588393702651503,9709.000000000004
