quintile_train,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,adverse_selection_ic_lo,adverse_selection_ic_hi,strategy_label,q5_minus_q1_c,q5_minus_q1_ic_lo,q5_minus_q1_ic_hi
1,36,36,4,0.2222222222222222,1.0,0.0,21.5,29.75,36,3.0000000000000004,13.5,0.34986000000000006,108.0,0.625,0.6785714285714286,-5.35714285714286,0.09754130605822188,0.3777927927927927,-5.225,11.072903726708066,-24.0,51.0,-51.6688596491228,37.079741379310285,(a) 0.49/S+0,-2.8607142857142858,-11.439726654980879,5.881046457591828
2,324,324,62,0.25617283950617287,0.9156626506024096,0.08433734939759036,16.0,22.0,324,-0.515432098765432,-2.0120481927710867,0.3498600000000001,-167.0,0.46987951807228917,0.5850622406639004,-11.518272259161128,0.20937139423076923,0.3054664696016383,-3.3732337785612585,2.3181358410649424,-12.636363636363637,8.83481753099352,-24.271737905922024,1.2603777637759137,(a) 0.49/S+0,-2.8607142857142858,-11.439726654980879,5.881046457591828
3,414,414,49,0.34299516908212563,0.852112676056338,0.14788732394366197,16.0,23.0,414,-1.8309178743961354,-5.338028169014085,0.3498600000000001,-758.0,0.43661971830985913,0.5882352941176471,-15.161557580778794,0.2974257425742574,0.38852661709659386,-4.6302594318881365,1.0230606758832563,-13.464142895227939,3.1739130434782608,-24.761908262762574,-5.162937265777065,(a) 0.49/S+0,-2.8607142857142858,-11.439726654980879,5.881046457591828
4,379,379,39,0.32189973614775724,0.819672131147541,0.18032786885245902,15.0,22.0,379,2.696569920844328,8.377049180327868,0.3496248711778785,1022.0,0.5737704918032787,0.6147859922178989,-4.101550041462021,0.27621050458226765,0.36676176773271624,-0.29718868470089316,5.709667484300063,-0.909136635303864,17.666666666666668,-15.41313529679247,7.317244425864965,(a) 0.49/S+0,-2.8607142857142858,-11.439726654980879,5.881046457591828
5,280,280,33,0.31785714285714284,0.7528089887640449,0.24719101123595505,16.0,22.0,280,0.13928571428571448,0.4382022471910124,0.34986,39.0,0.4943820224719101,0.5706806282722513,-7.62986058003412,0.2606818181818182,0.3758407632391123,-3.036434331797235,3.117458933393339,-9.2413500154464,10.211744639376212,-19.7695800125535,3.859013165989902,(a) 0.49/S+0,-2.8607142857142858,-11.439726654980879,5.881046457591828
1,207,121,35,0.3719806763285024,0.974025974025974,0.025974025974025976,40.0,55.0,207,-2.3961352657004826,-6.441558441558443,0.34944000000000014,-496.0,0.4155844155844156,0.5769230769230769,-16.133866133866125,0.30051691843635214,0.43980124630093326,-6.57880649940495,1.8705071763484733,-18.003731343283583,4.942948263642797,-35.36932343692194,2.8582383064090333,(b) 0.48/S+0,0.6686196824413557,-3.888254597617223,4.905782758977579
2,2093,1194,295,0.47491638795986624,0.9627766599597586,0.03722334004024145,37.0,49.0,2093,-1.1524128045867168,-2.4265593561368193,0.34944000000000014,-2412.0,0.4557344064386318,0.5414012738853503,-8.566686744671854,0.4553672286378478,0.492690282288387,-2.3427373755184506,0.03240886235072168,-4.941685785836995,0.06828093171384039,-13.74548883276134,-3.5730010373550773,(b) 0.48/S+0,0.6686196824413557,-3.888254597617223,4.905782758977579
3,2252,1260,270,0.4955595026642984,0.9525089605734767,0.047491039426523295,38.0,50.0,2252,-0.8738898756660736,-1.7634408602150518,0.3494400000000001,-1968.0,0.46236559139784944,0.551056338028169,-8.869074663031956,0.47836248901021666,0.512516975692452,-2.075051630981452,0.3793483989260411,-4.15771955361475,0.7663737280295999,-13.692825655414019,-4.078227102617342,(b) 0.48/S+0,0.6686196824413557,-3.888254597617223,4.905782758977579
4,1722,985,248,0.5069686411149826,0.9404352806414662,0.05956471935853379,38.0,49.0,1722,-0.8734030197444823,-1.72279495990836,0.3494400000000002,-1504.0,0.4627720504009164,0.5477031802120141,-8.493112981109775,0.48861680505323213,0.5261027018811244,-2.122392842907126,0.4992048076380374,-4.25768722882475,0.9892105067341296,-13.741140368436525,-2.8683905038555135,(b) 0.48/S+0,0.6686196824413557,-3.888254597617223,4.905782758977579
5,1123,663,203,0.5164737310774711,0.9155172413793103,0.08448275862068966,37.0,48.0,1123,-1.7275155832591267,-3.344827586206895,0.3494400000000001,-1940.0,0.44655172413793104,0.567219152854512,-12.066742871658093,0.49387874708141905,0.5388899825021872,-3.431449965406972,0.014465150444387835,-6.752311262956871,0.02750861655601611,-19.03000003041532,-5.3366661449041155,(b) 0.48/S+0,0.6686196824413557,-3.888254597617223,4.905782758977579
