cellule,strategy,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,adverse_selection_ic_lo,adverse_selection_ic_hi
Tous,signal,1433,1433,187,0.3098394975575715,0.8378378378378378,0.16216216216216217,16.0,23.0,1433,0.1702721563154223,0.5495495495495489,0.34979539253085845,244.0,0.4954954954954955,0.5935288169868554,-9.803332149135995,0.2852068658355711,0.33220840961436243,-1.3269384561891515,1.644969045107494,-4.216088849298142,5.299131016042778,-15.368633205504132,-4.207849996019294
BTC 5m,signal,1127,1127,166,0.3566992014196983,0.8233830845771144,0.17661691542288557,15.0,22.0,1127,0.53416149068323,1.4975124378109435,0.34985999999999995,602.0,0.5049751243781094,0.6082758620689656,-10.330073769085612,0.3289950798100578,0.3859211135466072,-1.1496858842215538,2.2206454185524933,-3.3001284625650107,6.291580400276049,-16.67612395524395,-4.162468153031711
BTC 15m,signal,306,306,21,0.13725490196078433,0.9761904761904762,0.023809523809523808,24.0,29.75,306,-1.1699346405228759,-8.523809523809524,0.34917700675478996,-358.0,0.40476190476190477,0.553030303030303,-14.826839826839821,0.09900990099009901,0.1743499909877433,-3.2869134678844394,0.9340148998613215,-24.0,7.25,-30.663330103462375,1.4155242727987447
côté Up,signal,318,318,45,0.25157232704402516,1.0,0.0,17.5,25.0,318,-0.06289308176100607,-0.24999999999999967,0.34986,-20.0,0.4875,0.5966386554621849,-10.913865546218487,0.204252770776188,0.3012884615384615,-2.7692071026722926,2.7012930425257484,-10.842105263157896,11.256410256410257,-23.38738543856654,1.9512755386935565
côté Down,signal,1115,1115,142,0.32645739910313903,0.8021978021978022,0.1978021978021978,16.0,22.0,1115,0.2367713004484307,0.7252747252747249,0.34978119308709116,264.0,0.49725274725274726,0.59254327563249,-9.529052837974273,0.29973462863527733,0.3537495004277462,-1.3833501207938241,1.9234021004062358,-4.235731871913145,5.875068124015984,-15.754426130456055,-3.307041644921679
